sequence,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF/mBFiBTjBOpB0l?BywB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgBXiBTjBllB0m?B2wB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgB2mBTjB0lB3r?BFsB,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF0hBTjBOpBllBir?BXsB
TILJSZO,O,O,X,O
TILJSOZ,O,O,X,O
TILJZSO,X,O,X,O
TILJZOS,X,O,X,O
TILJOSZ,O,O,X,O
TILJOZS,X,O,X,O
TILSJZO,O,O,X,X
TILSJOZ,O,O,X,X
TILSZJO,X,X,O,X
TILSZOJ,X,O,O,X
TILSOJZ,O,O,X,X
TILSOZJ,X,O,O,X
TILZJSO,X,O,X,O
TILZJOS,X,O,O,O
TILZSJO,X,X,O,X
TILZSOJ,X,O,O,X
TILZOJS,X,O,O,O
TILZOSJ,X,O,O,X
TILOJSZ,O,O,X,O
TILOJZS,X,O,X,O
TILOSJZ,O,O,X,X
TILOSZJ,X,O,O,X
TILOZJS,X,O,O,O
TILOZSJ,X,O,O,X
TIJLSZO,O,O,X,O
TIJLSOZ,O,O,X,O
TIJLZSO,X,O,X,O
TIJLZOS,X,O,X,O
TIJLOSZ,O,O,X,O
TIJLOZS,X,O,X,O
TIJSLZO,X,O,X,O
TIJSLOZ,X,O,X,O
TIJSZLO,X,O,X,X
TIJSZOL,X,O,X,O
TIJSOLZ,X,O,X,O
TIJSOZL,X,O,X,O
TIJZLSO,X,O,X,O
TIJZLOS,X,O,X,O
TIJZSLO,X,O,X,X
TIJZSOL,X,O,X,O
TIJZOLS,X,O,X,O
TIJZOSL,X,O,X,O
TIJOLSZ,O,O,X,O
TIJOLZS,X,O,X,O
TIJOSLZ,X,O,X,O
TIJOSZL,X,O,X,O
TIJOZLS,X,O,X,O
TIJOZSL,X,O,X,O
TISLJZO,X,O,X,X
TISLJOZ,X,O,X,X
TISLZJO,X,X,O,X
TISLZOJ,X,O,O,X
TISLOJZ,X,O,X,X
TISLOZJ,X,O,O,X
TISJLZO,X,O,X,X
TISJLOZ,X,O,X,X
TISJZLO,X,O,X,X
TISJZOL,X,O,X,X
TISJOLZ,X,O,X,X
TISJOZL,X,O,X,X
TISZLJO,X,X,O,X
TISZLOJ,X,O,O,X
TISZJLO,X,X,O,X
TISZJOL,X,X,O,X
TISZOLJ,X,O,O,X
TISZOJL,X,X,O,X
TISOLJZ,X,O,X,X
TISOLZJ,X,O,O,X
TISOJLZ,X,O,X,X
TISOJZL,X,O,X,X
TISOZLJ,X,O,O,X
TISOZJL,X,X,O,X
TIZLJSO,X,O,X,X
TIZLJOS,X,O,O,X
TIZLSJO,X,X,O,X
TIZLSOJ,X,O,O,X
TIZLOJS,X,O,O,X
TIZLOSJ,X,O,O,X
TIZJLSO,X,O,X,X
TIZJLOS,X,O,O,O
TIZJSLO,X,O,X,X
TIZJSOL,X,O,X,O
TIZJOLS,X,O,O,O
TIZJOSL,X,O,X,O
TIZSLJO,X,X,O,X
TIZSLOJ,X,O,O,X
TIZSJLO,X,X,O,X
TIZSJOL,X,X,O,X
TIZSOLJ,X,O,O,X
TIZSOJL,X,X,O,X
TIZOLJS,X,O,O,X
TIZOLSJ,X,O,O,X
TIZOJLS,X,O,O,O
TIZOJSL,X,O,X,O
TIZOSLJ,X,O,O,X
TIZOSJL,X,X,O,X
TIOLJSZ,O,O,X,O
TIOLJZS,X,O,X,O
TIOLSJZ,O,O,X,X
TIOLSZJ,X,O,O,X
TIOLZJS,X,O,O,O
TIOLZSJ,X,O,O,X
TIOJLSZ,O,O,X,O
TIOJLZS,X,O,X,O
TIOJSLZ,X,O,X,O
TIOJSZL,X,O,X,O
TIOJZLS,X,O,X,O
TIOJZSL,X,O,X,O
TIOSLJZ,X,O,X,X
TIOSLZJ,X,O,O,X
TIOSJLZ,X,O,X,X
TIOSJZL,X,O,X,X
TIOSZLJ,X,O,O,X
TIOSZJL,X,X,O,X
TIOZLJS,X,O,O,X
TIOZLSJ,X,O,O,X
TIOZJLS,X,O,O,O
TIOZJSL,X,O,X,O
TIOZSLJ,X,O,O,X
TIOZSJL,X,X,O,X
TLIJSZO,O,O,X,O
TLIJSOZ,O,O,X,O
TLIJZSO,X,O,X,O
TLIJZOS,X,O,X,O
TLIJOSZ,O,O,X,O
TLIJOZS,X,O,X,O
TLISJZO,O,O,X,X
TLISJOZ,O,O,X,X
TLISZJO,X,X,O,X
TLISZOJ,X,O,O,X
TLISOJZ,O,O,X,X
TLISOZJ,X,O,O,X
TLIZJSO,X,O,X,O
TLIZJOS,X,O,O,O
TLIZSJO,X,X,O,X
TLIZSOJ,X,O,O,X
TLIZOJS,X,O,O,O
TLIZOSJ,X,O,O,X
TLIOJSZ,O,O,X,O
TLIOJZS,X,O,X,O
TLIOSJZ,O,O,X,X
TLIOSZJ,X,O,O,X
TLIOZJS,X,O,O,O
TLIOZSJ,X,O,O,X
TLJISZO,O,O,X,O
TLJISOZ,O,O,X,O
TLJIZSO,O,O,X,O
TLJIZOS,O,O,X,O
TLJIOSZ,O,O,X,O
TLJIOZS,O,O,X,O
TLJSIZO,O,O,X,O
TLJSIOZ,O,O,X,O
TLJSZIO,O,O,X,O
TLJSZOI,O,O,X,O
TLJSOIZ,O,O,X,O
TLJSOZI,O,O,X,O
TLJZISO,O,O,X,O
TLJZIOS,O,O,X,O
TLJZSIO,O,O,X,O
TLJZSOI,O,O,X,O
TLJZOIS,O,O,X,O
TLJZOSI,O,O,X,O
TLJOISZ,O,O,X,O
TLJOIZS,O,O,X,O
TLJOSIZ,O,O,X,O
TLJOSZI,O,O,X,O
TLJOZIS,O,O,X,O
TLJOZSI,O,O,X,O
TLSIJZO,O,O,X,X
TLSIJOZ,O,O,X,X
TLSIZJO,X,X,O,X
TLSIZOJ,X,O,O,X
TLSIOJZ,O,O,X,X
TLSIOZJ,X,O,O,X
TLSJIZO,O,O,X,O
TLSJIOZ,O,O,X,O
TLSJZIO,O,O,X,O
TLSJZOI,O,O,X,O
TLSJOIZ,O,O,X,O
TLSJOZI,O,O,X,O
TLSZIJO,X,X,O,X
TLSZIOJ,X,O,O,X
TLSZJIO,O,X,O,O
TLSZJOI,O,X,O,O
TLSZOIJ,X,O,O,X
TLSZOJI,O,X,O,O
TLSOIJZ,O,O,X,X
TLSOIZJ,X,O,O,X
TLSOJIZ,O,O,X,O
TLSOJZI,O,O,X,O
TLSOZIJ,X,O,O,X
TLSOZJI,O,X,O,O
TLZIJSO,X,O,X,O
TLZIJOS,X,O,O,O
TLZISJO,O,X,O,X
TLZISOJ,O,O,O,X
TLZIOJS,X,O,O,O
TLZIOSJ,O,O,O,X
TLZJISO,O,O,X,O
TLZJIOS,O,O,O,O
TLZJSIO,O,O,X,O
TLZJSOI,O,O,X,O
TLZJOIS,O,O,O,O
TLZJOSI,O,O,X,O
TLZSIJO,O,X,O,X
TLZSIOJ,O,O,O,X
TLZSJIO,O,X,O,O
TLZSJOI,O,X,O,O
TLZSOIJ,O,O,O,X
TLZSOJI,O,X,O,O
TLZOIJS,X,O,O,O
TLZOISJ,O,O,O,X
TLZOJIS,O,O,O,O
TLZOJSI,O,O,X,O
TLZOSIJ,O,O,O,X
TLZOSJI,O,X,O,O
TLOIJSZ,O,O,X,O
TLOIJZS,X,O,X,O
TLOISJZ,O,O,X,X
TLOISZJ,X,O,O,X
TLOIZJS,X,O,O,O
TLOIZSJ,X,O,O,X
TLOJISZ,O,O,X,O
TLOJIZS,O,O,X,O
TLOJSIZ,O,O,X,O
TLOJSZI,O,O,X,O
TLOJZIS,O,O,X,O
TLOJZSI,O,O,X,O
TLOSIJZ,O,O,X,X
TLOSIZJ,X,O,O,X
TLOSJIZ,O,O,X,O
TLOSJZI,O,O,X,O
TLOSZIJ,X,O,O,X
TLOSZJI,O,X,O,O
