sequence,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmBUrBisB3qB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmB3qBisBUrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFzgB+mB?iiBcoB1vBXsB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFamBfnB?TjB+qB0nB1wB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFiiBcoB?+qBTmBXsBFrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFWmBiiB?coB3qBFsBTrB
TILJSZO,X,O,X,O,X,X
TILJSOZ,X,O,X,O,X,X
TILJZSO,O,X,O,O,X,X
TILJZOS,O,X,O,O,X,X
TILJOSZ,X,O,X,O,X,X
TILJOZS,O,X,O,O,X,X
TILSJZO,X,O,O,O,X,O
TILSJOZ,X,O,O,O,X,X
TILSZJO,O,O,O,X,X,O
TILSZOJ,O,O,O,X,X,O
TILSOJZ,X,O,O,O,X,X
TILSOZJ,O,O,O,X,X,X
TILZJSO,O,X,O,X,X,O
TILZJOS,O,X,O,X,X,X
TILZSJO,O,O,O,X,X,O
TILZSOJ,O,O,O,X,X,O
TILZOJS,O,X,O,X,X,X
TILZOSJ,O,O,O,X,X,O
TILOJSZ,X,O,X,O,X,X
TILOJZS,O,X,O,O,X,X
TILOSJZ,X,O,O,O,X,X
TILOSZJ,O,O,O,X,X,X
TILOZJS,O,X,O,X,X,X
TILOZSJ,O,O,O,X,X,X
TIJLSZO,X,O,X,O,X,X
TIJLSOZ,X,O,X,O,X,X
TIJLZSO,O,X,O,O,X,X
TIJLZOS,O,X,O,O,X,X
TIJLOSZ,X,O,X,O,X,X
TIJLOZS,O,X,O,O,X,X
TIJSLZO,X,X,O,O,X,O
TIJSLOZ,X,X,O,O,X,X
TIJSZLO,X,X,O,O,O,O
TIJSZOL,X,X,O,O,O,O
TIJSOLZ,X,X,O,O,X,X
TIJSOZL,X,X,O,O,O,O
TIJZLSO,X,X,O,O,O,O
TIJZLOS,X,X,O,O,X,X
TIJZSLO,X,X,O,O,O,O
TIJZSOL,X,X,O,O,O,O
TIJZOLS,X,X,O,O,X,X
TIJZOSL,X,X,O,O,X,X
TIJOLSZ,X,O,X,O,X,X
TIJOLZS,O,X,O,O,X,X
TIJOSLZ,X,X,O,O,X,X
TIJOSZL,X,X,O,O,X,X
TIJOZLS,X,X,O,O,X,X
TIJOZSL,X,X,O,O,X,X
TISLJZO,X,O,O,O,X,O
TISLJOZ,X,O,O,O,X,X
TISLZJO,O,O,O,X,X,O
TISLZOJ,O,O,O,X,X,O
TISLOJZ,X,O,O,O,X,X
TISLOZJ,O,O,O,X,X,X
TISJLZO,X,O,O,O,X,O
TISJLOZ,X,O,O,O,X,X
TISJZLO,X,X,O,O,O,O
TISJZOL,X,X,O,O,O,O
TISJOLZ,X,O,O,O,X,X
TISJOZL,X,X,O,O,O,O
TISZLJO,X,X,O,X,O,O
TISZLOJ,X,X,O,X,X,O
TISZJLO,X,X,O,O,O,O
TISZJOL,X,X,O,O,O,O
TISZOLJ,X,X,O,X,X,O
TISZOJL,X,X,O,O,X,O
TISOLJZ,X,O,O,O,X,X
TISOLZJ,O,O,O,X,X,X
TISOJLZ,X,O,O,O,X,X
TISOJZL,X,X,O,O,X,O
TISOZLJ,X,X,O,X,X,O
TISOZJL,X,X,O,O,X,O
TIZLJSO,O,X,O,X,O,O
TIZLJOS,O,X,O,X,X,X
TIZLSJO,O,O,O,X,O,O
TIZLSOJ,O,O,O,X,X,O
TIZLOJS,O,X,O,X,X,X
TIZLOSJ,O,O,O,X,X,O
TIZJLSO,O,X,O,O,O,O
TIZJLOS,O,X,O,O,X,X
TIZJSLO,X,X,O,O,O,O
TIZJSOL,X,X,O,O,O,O
TIZJOLS,O,X,O,O,X,X
TIZJOSL,X,X,O,O,X,X
TIZSLJO,X,X,O,X,O,O
TIZSLOJ,X,X,O,X,X,O
TIZSJLO,X,X,O,O,O,O
TIZSJOL,X,X,O,O,O,O
TIZSOLJ,X,X,O,X,X,O
TIZSOJL,X,X,O,O,X,O
TIZOLJS,O,X,O,X,X,X
TIZOLSJ,O,O,O,X,X,O
TIZOJLS,O,X,O,O,X,X
TIZOJSL,X,X,O,O,X,X
TIZOSLJ,X,X,O,X,X,O
TIZOSJL,X,X,O,O,X,O
TIOLJSZ,X,O,X,O,X,X
TIOLJZS,O,X,O,O,X,X
TIOLSJZ,X,O,O,O,X,X
TIOLSZJ,O,O,O,X,X,X
TIOLZJS,O,X,O,X,X,X
TIOLZSJ,O,O,O,X,X,X
TIOJLSZ,X,O,X,O,X,X
TIOJLZS,O,X,O,O,X,X
TIOJSLZ,X,X,O,O,X,X
TIOJSZL,X,X,O,O,X,X
TIOJZLS,X,X,O,O,X,X
TIOJZSL,X,X,O,O,X,X
TIOSLJZ,X,O,O,O,X,X
TIOSLZJ,O,O,O,X,X,X
TIOSJLZ,X,O,O,O,X,X
TIOSJZL,X,X,O,O,X,O
TIOSZLJ,X,X,O,X,X,O
TIOSZJL,X,X,O,O,X,O
TIOZLJS,O,X,O,X,X,X
TIOZLSJ,O,O,O,X,X,O
TIOZJLS,O,X,O,O,X,X
TIOZJSL,X,X,O,O,X,X
TIOZSLJ,X,X,O,X,X,O
TIOZSJL,X,X,O,O,X,O
TLIJSZO,X,O,X,O,X,X
TLIJSOZ,X,O,X,O,X,X
TLIJZSO,O,X,O,O,X,X
TLIJZOS,O,X,O,O,X,X
TLIJOSZ,X,O,X,O,X,X
TLIJOZS,O,X,O,O,X,X
TLISJZO,X,O,O,O,X,O
TLISJOZ,X,O,O,O,X,X
TLISZJO,O,O,O,X,X,O
TLISZOJ,O,O,O,X,X,O
TLISOJZ,X,O,O,O,X,X
TLISOZJ,O,O,O,X,X,X
TLIZJSO,O,X,O,X,X,O
TLIZJOS,O,X,O,X,X,X
TLIZSJO,O,O,O,X,X,O
TLIZSOJ,O,O,O,X,X,O
TLIZOJS,O,X,O,X,X,X
TLIZOSJ,O,O,O,X,X,O
TLIOJSZ,X,O,X,O,X,X
TLIOJZS,O,X,O,O,X,X
TLIOSJZ,X,O,O,O,X,X
TLIOSZJ,O,O,O,X,X,X
