sequence,v115@GhA8HeB8FeG8EeB8Jex/IvhF0hBliBTkB/qBarBWxB,v115@GhA8HeB8FeG8EeB8JeKEJvhFzfBRhB3iBFmB0qBWxB,v115@GhA8HeB8FeG8EeB8JeOEJvhFxgBliBzkBqqB/rBUsB,v115@GhA8HeB8FeG8EeB8Jei/IvhF3gBRiB1pB8qB+rBTsB,v115@GhA8HeB8FeG8EeB8JeT/IvhFymBxpB0rB/qBusBFrB
TILJSZO,X,X,O,O,X
TILJSOZ,X,X,O,X,X
TILJZSO,X,X,O,O,X
TILJZOS,X,X,O,O,X
TILJOSZ,X,X,O,X,X
TILJOZS,X,X,O,O,X
TILSJZO,X,X,O,O,X
TILSJOZ,X,X,O,X,X
TILSZJO,X,X,O,O,X
TILSZOJ,X,X,O,O,X
TILSOJZ,X,X,O,X,X
TILSOZJ,X,X,O,O,X
TILZJSO,X,X,O,O,X
TILZJOS,X,X,O,O,X
TILZSJO,O,X,X,O,X
TILZSOJ,O,X,X,O,X
TILZOJS,X,X,O,X,X
TILZOSJ,O,X,X,O,X
TILOJSZ,X,X,O,X,X
TILOJZS,X,X,O,O,X
TILOSJZ,X,X,O,X,X
TILOSZJ,X,X,O,O,X
TILOZJS,X,X,O,X,X
TILOZSJ,O,X,X,O,X
TIJLSZO,X,X,O,O,X
TIJLSOZ,X,X,O,X,X
TIJLZSO,O,X,O,O,X
TIJLZOS,O,X,O,O,X
TIJLOSZ,X,X,O,X,X
TIJLOZS,O,X,O,O,X
TIJSLZO,O,X,O,O,X
TIJSLOZ,O,X,O,X,X
TIJSZLO,O,X,O,O,X
TIJSZOL,O,X,X,O,X
TIJSOLZ,O,X,O,X,X
TIJSOZL,O,X,X,X,X
TIJZLSO,O,X,X,O,X
TIJZLOS,O,X,X,O,X
TIJZSLO,O,X,X,O,X
TIJZSOL,O,X,X,O,X
TIJZOLS,O,X,X,O,X
TIJZOSL,O,X,X,O,X
TIJOLSZ,O,X,O,X,X
TIJOLZS,O,X,O,O,X
TIJOSLZ,O,X,O,X,X
TIJOSZL,O,X,X,X,X
TIJOZLS,O,X,O,O,X
