sequence,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFGgBihBFjBz?kB3rBUsB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFGgBihBFjBz?kBUsB3rB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFqkBTgB2mBF?jB3rBUsB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFqkBTgB2mBF?jBUsB3rB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFCgBmhBFjBX?lBUsBTrB
TILJSZO,O,O,O,X,X
TILJSOZ,O,O,O,O,X
TILJZSO,O,O,X,O,X
TILJZOS,O,O,O,O,X
TILJOSZ,O,O,O,O,X
TILJOZS,O,O,O,O,X
TILSJZO,O,O,O,X,O
TILSJOZ,O,O,O,O,X
TILSZJO,O,X,O,O,O
TILSZOJ,O,X,O,O,O
TILSOJZ,O,O,O,O,X
TILSOZJ,O,X,O,O,O
TILZJSO,O,O,X,O,O
TILZJOS,O,O,O,O,X
TILZSJO,X,O,O,O,O
TILZSOJ,X,O,O,O,O
TILZOJS,O,O,O,O,X
TILZOSJ,X,O,O,O,X
TILOJSZ,O,O,O,O,X
TILOJZS,O,O,O,O,X
TILOSJZ,O,O,O,O,X
TILOSZJ,O,X,O,O,X
TILOZJS,O,O,O,O,X
TILOZSJ,X,O,O,O,X
TIJLSZO,O,O,O,X,X
TIJLSOZ,O,O,O,O,X
TIJLZSO,O,O,X,O,X
TIJLZOS,O,O,O,O,X
TIJLOSZ,O,O,O,O,X
TIJLOZS,O,O,O,O,X
TIJSLZO,O,O,O,X,O
TIJSLOZ,O,O,O,O,X
TIJSZLO,O,O,O,X,O
TIJSZOL,X,X,X,X,O
TIJSOLZ,O,X,O,X,X
TIJSOZL,O,X,X,X,X
TIJZLSO,O,O,X,O,O
TIJZLOS,O,O,O,O,X
TIJZSLO,O,O,X,O,O
TIJZSOL,X,X,X,X,O
TIJZOLS,X,O,X,O,X
TIJZOSL,X,O,X,X,O
TIJOLSZ,O,O,O,O,X
TIJOLZS,O,O,O,O,X
TIJOSLZ,O,O,X,X,X
TIJOSZL,O,O,X,X,X
TIJOZLS,O,O,X,X,X
TIJOZSL,O,O,X,X,X
TISLJZO,O,O,O,X,O
TISLJOZ,O,O,O,O,X
TISLZJO,O,X,O,O,O
TISLZOJ,O,X,O,O,O
TISLOJZ,O,O,O,O,X
TISLOZJ,O,X,O,O,O
TISJLZO,O,O,O,X,O
TISJLOZ,O,O,O,O,X
TISJZLO,O,O,O,X,O
TISJZOL,X,X,X,X,O
TISJOLZ,O,X,O,X,X
TISJOZL,O,X,X,X,X
TISZLJO,O,O,O,O,O
TISZLOJ,O,O,O,O,O
TISZJLO,O,O,O,O,O
TISZJOL,X,X,X,X,O
TISZOLJ,O,O,X,X,O
TISZOJL,O,O,X,X,O
TISOLJZ,O,O,O,X,X
TISOLZJ,O,X,O,X,O
TISOJLZ,O,O,O,X,X
TISOJZL,O,O,X,X,X
TISOZLJ,O,O,X,X,O
TISOZJL,O,O,X,X,O
TIZLJSO,O,O,X,O,O
TIZLJOS,O,O,O,O,X
TIZLSJO,X,O,O,O,O
TIZLSOJ,X,O,O,O,O
TIZLOJS,O,O,O,O,X
TIZLOSJ,X,O,O,O,X
TIZJLSO,O,O,X,O,O
TIZJLOS,O,O,O,O,X
TIZJSLO,O,O,X,O,O
TIZJSOL,X,X,X,X,O
TIZJOLS,X,O,X,O,X
TIZJOSL,X,O,X,X,O
TIZSLJO,O,O,O,O,O
TIZSLOJ,O,O,O,O,O
TIZSJLO,O,O,O,O,O
TIZSJOL,X,X,X,X,O
TIZSOLJ,O,O,X,X,O
TIZSOJL,O,O,X,X,O
TIZOLJS,O,O,X,O,X
TIZOLSJ,X,O,X,O,X
TIZOJLS,O,O,X,O,X
TIZOJSL,O,O,X,X,O
TIZOSLJ,O,O,X,X,O
TIZOSJL,O,O,X,X,O
TIOLJSZ,O,O,O,O,X
TIOLJZS,O,O,O,O,X
TIOLSJZ,O,O,O,O,X
TIOLSZJ,O,X,O,O,X
TIOLZJS,O,O,O,O,X
TIOLZSJ,X,O,O,O,X
TIOJLSZ,O,O,O,O,X
TIOJLZS,O,O,O,O,X
TIOJSLZ,O,O,X,X,X
TIOJSZL,O,O,X,X,X
TIOJZLS,O,O,X,X,X
TIOJZSL,O,O,X,X,X
TIOSLJZ,O,O,O,X,X
TIOSLZJ,O,X,O,X,O
TIOSJLZ,O,O,O,X,X
TIOSJZL,O,O,X,X,X
TIOSZLJ,O,O,X,X,O
TIOSZJL,O,O,X,X,O
TIOZLJS,O,O,X,O,X
TIOZLSJ,X,O,X,O,X
TIOZJLS,O,O,X,O,X
TIOZJSL,O,O,X,X,O
TIOZSLJ,O,O,X,X,O
TIOZSJL,O,O,X,X,O
TLIJSZO,O,O,O,X,X
TLIJSOZ,O,O,O,O,X
TLIJZSO,O,O,X,O,X
TLIJZOS,O,O,O,O,X
TLIJOSZ,O,O,O,O,X
TLIJOZS,O,O,O,O,X
TLISJZO,O,O,O,X,O
TLISJOZ,O,O,O,O,X
TLISZJO,O,X,O,O,O
TLISZOJ,O,X,O,O,O
TLISOJZ,O,O,O,O,X
TLISOZJ,O,X,O,O,O
TLIZJSO,O,O,X,O,O
TLIZJOS,O,O,O,O,X
TLIZSJO,X,O,O,O,O
TLIZSOJ,X,O,O,O,O
TLIZOJS,O,O,O,O,X
TLIZOSJ,X,O,O,O,X
TLIOJSZ,O,O,O,O,X
TLIOJZS,O,O,O,O,X
TLIOSJZ,O,O,O,O,X
TLIOSZJ,O,X,O,O,X
TLIOZJS,O,O,O,O,X
TLIOZSJ,X,O,O,O,X
TLJISZO,O,O,O,X,X
TLJISOZ,O,O,O,O,X
TLJIZSO,O,O,X,O,X
TLJIZOS,O,O,O,O,X
TLJIOSZ,O,O,O,O,X
TLJIOZS,O,O,O,O,X
TLJSIZO,O,O,O,X,X
TLJSIOZ,O,O,O,O,X
TLJSZIO,O,X,O,X,X
TLJSZOI,X,X,O,X,X
TLJSOIZ,O,X,O,O,X
TLJSOZI,X,X,O,X,X
TLJZISO,O,O,X,O,X
TLJZIOS,O,O,O,O,X
TLJZSIO,X,O,X,O,X
TLJZSOI,X,X,X,O,X
TLJZOIS,X,O,O,O,X
TLJZOSI,X,X,X,O,X
TLJOISZ,O,O,O,O,X
TLJOIZS,O,O,O,O,X
TLJOSIZ,O,O,O,O,X
TLJOSZI,X,X,O,X,X
TLJOZIS,O,O,O,O,X
TLJOZSI,X,X,X,O,X
TLSIJZO,O,O,O,X,O
TLSIJOZ,O,O,O,O,X
TLSIZJO,O,X,O,O,O
TLSIZOJ,O,X,O,O,O
TLSIOJZ,O,O,O,O,X
TLSIOZJ,O,X,O,O,O
TLSJIZO,O,O,O,X,O
TLSJIOZ,O,O,O,O,X
TLSJZIO,O,X,O,X,O
TLSJZOI,X,X,O,X,O
TLSJOIZ,O,X,O,O,X
TLSJOZI,O,X,O,X,X
TLSZIJO,O,X,O,O,O
TLSZIOJ,O,X,O,O,O
TLSZJIO,O,X,O,O,O
TLSZJOI,X,X,O,O,O
TLSZOIJ,O,X,O,O,O
TLSZOJI,O,X,O,O,O
TLSOIJZ,O,O,O,O,X
TLSOIZJ,O,X,O,O,O
TLSOJIZ,O,O,O,O,X
TLSOJZI,O,X,O,X,X
TLSOZIJ,O,X,O,O,O
TLSOZJI,O,X,O,O,O
TLZIJSO,O,O,X,O,O
TLZIJOS,O,O,O,O,X
TLZISJO,X,O,O,O,O
TLZISOJ,X,O,O,O,O
TLZIOJS,O,O,O,O,X
TLZIOSJ,X,O,O,O,X
TLZJISO,O,O,X,O,O
TLZJIOS,O,O,O,O,X
TLZJSIO,X,O,X,O,O
TLZJSOI,X,X,X,O,O
TLZJOIS,X,O,O,O,X
TLZJOSI,X,O,X,O,X
TLZSIJO,X,O,O,O,O
TLZSIOJ,X,O,O,O,O
TLZSJIO,X,O,O,O,O
TLZSJOI,X,X,O,O,O
TLZSOIJ,X,O,O,O,O
TLZSOJI,X,O,O,O,O
TLZOIJS,O,O,O,O,X
TLZOISJ,X,O,O,O,X
TLZOJIS,O,O,O,O,X
TLZOJSI,X,O,X,O,X
TLZOSIJ,X,O,O,O,X
TLZOSJI,X,O,O,O,X
TLOIJSZ,O,O,O,O,X
TLOIJZS,O,O,O,O,X
TLOISJZ,O,O,O,O,X
TLOISZJ,O,X,O,O,X
TLOIZJS,O,O,O,O,X
TLOIZSJ,X,O,O,O,X
TLOJISZ,O,O,O,O,X
TLOJIZS,O,O,O,O,X
TLOJSIZ,O,O,O,O,X
TLOJSZI,O,X,O,X,X
TLOJZIS,O,O,O,O,X
TLOJZSI,X,O,X,O,X
TLOSIJZ,O,O,O,O,X
TLOSIZJ,O,X,O,O,X
TLOSJIZ,O,O,O,O,X
TLOSJZI,O,X,O,X,X
TLOSZIJ,O,X,O,O,X
TLOSZJI,O,X,O,O,X
TLOZIJS,O,O,O,O,X
TLOZISJ,X,O,O,O,X
TLOZJIS,O,O,O,O,X
TLOZJSI,X,O,X,O,X
TLOZSIJ,X,O,O,O,X
TLOZSJI,X,O,O,O,X
TJILSZO,O,O,O,X,X
TJILSOZ,O,O,O,O,X
TJILZSO,O,O,X,O,X
TJILZOS,O,O,O,O,X
TJILOSZ,O,O,O,O,X
TJILOZS,O,O,O,O,X
TJISLZO,O,O,O,X,O
TJISLOZ,O,O,O,O,X
TJISZLO,O,O,O,X,O
TJISZOL,X,X,X,X,O
TJISOLZ,O,X,O,X,X
TJISOZL,O,X,X,X,X
TJIZLSO,O,O,X,O,O
TJIZLOS,O,O,O,O,X
TJIZSLO,O,O,X,O,O
TJIZSOL,X,X,X,X,O
TJIZOLS,X,O,X,O,X
TJIZOSL,X,O,X,X,O
TJIOLSZ,O,O,O,O,X
TJIOLZS,O,O,O,O,X
TJIOSLZ,O,O,X,X,X
TJIOSZL,O,O,X,X,X
TJIOZLS,O,O,X,X,X
TJIOZSL,O,O,X,X,X
TJLISZO,O,O,O,X,X
TJLISOZ,O,O,O,O,X
TJLIZSO,O,O,X,O,X
TJLIZOS,O,O,O,O,X
TJLIOSZ,O,O,O,O,X
TJLIOZS,O,O,O,O,X
TJLSIZO,O,O,O,X,X
TJLSIOZ,O,O,O,O,X
TJLSZIO,O,X,O,X,X
TJLSZOI,X,X,O,X,X
TJLSOIZ,O,X,O,O,X
TJLSOZI,X,X,O,X,X
TJLZISO,O,O,X,O,X
TJLZIOS,O,O,O,O,X
TJLZSIO,X,O,X,O,X
TJLZSOI,X,X,X,O,X
TJLZOIS,X,O,O,O,X
TJLZOSI,X,X,X,O,X
TJLOISZ,O,O,O,O,X
TJLOIZS,O,O,O,O,X
TJLOSIZ,O,O,O,O,X
TJLOSZI,X,X,O,X,X
TJLOZIS,O,O,O,O,X
TJLOZSI,X,X,X,O,X
TJSILZO,O,O,O,X,O
TJSILOZ,O,O,O,O,X
TJSIZLO,O,O,O,X,O
TJSIZOL,X,X,X,X,O
TJSIOLZ,O,X,O,X,X
TJSIOZL,O,X,X,X,X
TJSLIZO,O,O,O,X,O
TJSLIOZ,O,O,O,O,X
TJSLZIO,O,X,O,X,O
TJSLZOI,X,X,O,X,O
TJSLOIZ,O,X,O,O,X
TJSLOZI,O,X,O,X,X
TJSZILO,O,O,O,X,O
TJSZIOL,X,X,X,X,O
