sequence,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFlgB3hBGjB8?rBatBRvB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFlgB3hBCjB8?rBOtBRvB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFSmBxnBXnBO?tBVvBUrB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFSmBxiBXnBO?tBVvBUrB
TILJSZO,O,X,X,X
TILJSOZ,O,X,X,X
TILJZSO,O,O,X,X
TILJZOS,O,O,X,X
TILJOSZ,O,X,X,X
TILJOZS,O,O,X,X
TILSJZO,O,X,X,X
TILSJOZ,O,X,X,X
TILSZJO,O,O,X,X
TILSZOJ,O,O,X,X
TILSOJZ,O,X,X,X
TILSOZJ,O,O,X,X
TILZJSO,O,O,X,X
TILZJOS,O,O,X,X
TILZSJO,O,O,X,X
TILZSOJ,O,O,X,X
TILZOJS,O,O,X,X
TILZOSJ,O,O,X,X
TILOJSZ,O,X,O,X
TILOJZS,O,O,X,X
TILOSJZ,O,X,O,X
TILOSZJ,O,O,X,X
TILOZJS,O,O,X,X
TILOZSJ,O,O,X,X
TIJLSZO,X,O,X,X
TIJLSOZ,X,O,X,X
TIJLZSO,O,O,X,X
TIJLZOS,O,O,X,X
TIJLOSZ,X,O,X,X
TIJLOZS,O,O,X,X
TIJSLZO,X,O,X,X
TIJSLOZ,X,O,X,X
TIJSZLO,O,O,X,X
TIJSZOL,O,O,X,X
TIJSOLZ,X,O,X,X
TIJSOZL,O,O,X,X
TIJZLSO,O,O,X,X
TIJZLOS,O,O,X,X
TIJZSLO,O,O,X,X
TIJZSOL,O,O,X,X
TIJZOLS,O,O,X,X
TIJZOSL,O,O,X,X
TIJOLSZ,X,O,X,X
TIJOLZS,O,O,X,X
TIJOSLZ,X,O,X,X
TIJOSZL,O,O,X,X
TIJOZLS,O,O,X,X
TIJOZSL,O,O,X,X
TISLJZO,X,X,X,X
TISLJOZ,X,X,X,X
TISLZJO,X,X,X,X
TISLZOJ,X,X,X,X
TISLOJZ,X,X,X,X
TISLOZJ,X,X,X,X
TISJLZO,X,X,X,X
TISJLOZ,X,X,X,X
TISJZLO,X,X,X,X
TISJZOL,X,X,X,X
TISJOLZ,X,X,X,X
TISJOZL,X,X,X,X
TISZLJO,X,X,X,X
TISZLOJ,X,X,X,X
TISZJLO,X,X,X,X
TISZJOL,X,X,X,X
TISZOLJ,X,X,X,X
TISZOJL,X,X,X,X
TISOLJZ,X,X,X,X
TISOLZJ,X,X,X,X
TISOJLZ,X,X,X,X
TISOJZL,X,X,X,X
TISOZLJ,X,X,X,X
TISOZJL,X,X,X,X
TIZLJSO,O,X,X,X
TIZLJOS,O,X,X,X
TIZLSJO,O,X,X,X
TIZLSOJ,O,O,X,X
TIZLOJS,O,X,X,X
TIZLOSJ,O,O,X,X
TIZJLSO,X,O,X,X
TIZJLOS,X,O,X,X
TIZJSLO,X,O,X,X
TIZJSOL,O,O,X,X
TIZJOLS,X,O,X,X
TIZJOSL,O,O,X,X
TIZSLJO,O,X,X,X
TIZSLOJ,O,O,X,X
TIZSJLO,X,O,X,X
TIZSJOL,O,O,X,X
TIZSOLJ,O,O,X,X
TIZSOJL,O,O,X,X
TIZOLJS,O,X,X,X
TIZOLSJ,O,O,X,X
TIZOJLS,X,O,X,X
TIZOJSL,O,O,X,X
TIZOSLJ,O,O,X,X
TIZOSJL,O,O,X,X
TIOLJSZ,O,X,O,X
TIOLJZS,O,O,X,X
TIOLSJZ,O,X,O,X
TIOLSZJ,O,O,X,X
TIOLZJS,O,O,X,X
TIOLZSJ,O,O,X,X
TIOJLSZ,X,O,X,X
TIOJLZS,O,O,X,X
TIOJSLZ,X,O,X,X
TIOJSZL,O,O,X,X
TIOJZLS,O,O,X,X
