sequence,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBfnBxiBu?sBctBFrB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBTjBilBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFfnBTjBilBW?tBFrB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFXhBxiBCnBT?oBmqB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFxhB6oB3lBc?rBTnBetB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBilBUnBT?oBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBGjBRnBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFRhB+oBfrB0?mBlnBzsB
TILJSZO,X,O,O,O,O,X,X,X
TILJSOZ,X,O,O,O,O,X,O,X
TILJZSO,X,O,O,O,O,O,X,X
TILJZOS,X,O,O,O,O,O,O,X
TILJOSZ,X,X,O,O,O,X,O,X
TILJOZS,X,X,O,O,O,O,O,X
TILSJZO,X,O,O,O,O,X,O,X
TILSJOZ,O,O,O,O,O,X,O,X
TILSZJO,O,O,O,O,O,O,O,X
TILSZOJ,O,O,X,O,O,O,O,X
TILSOJZ,O,O,O,O,X,X,O,X
TILSOZJ,O,O,X,O,X,O,O,X
TILZJSO,O,O,O,O,O,O,X,X
TILZJOS,O,O,O,O,O,O,O,X
TILZSJO,O,O,O,O,O,O,X,X
TILZSOJ,O,O,X,O,O,O,X,X
TILZOJS,O,O,X,O,O,O,O,X
TILZOSJ,O,O,X,O,O,O,X,X
TILOJSZ,X,X,O,O,X,X,O,X
TILOJZS,X,X,O,O,X,O,O,X
TILOSJZ,O,O,O,O,X,X,O,X
TILOSZJ,O,O,X,O,X,O,O,X
TILOZJS,O,O,X,O,X,O,O,X
TILOZSJ,O,O,X,O,X,O,X,X
TIJLSZO,X,O,O,X,O,X,X,X
TIJLSOZ,X,O,O,X,O,X,O,X
TIJLZSO,X,O,O,X,O,O,X,X
TIJLZOS,X,O,O,X,O,O,O,X
TIJLOSZ,X,X,O,X,O,X,O,X
TIJLOZS,X,X,O,X,O,O,O,X
TIJSLZO,X,O,O,X,O,X,X,X
TIJSLOZ,X,O,O,X,O,X,O,X
TIJSZLO,X,O,X,X,O,X,X,X
TIJSZOL,X,O,X,X,O,X,X,X
TIJSOLZ,X,O,O,X,O,X,O,X
TIJSOZL,X,O,X,X,O,X,X,X
TIJZLSO,X,O,O,X,O,X,X,X
TIJZLOS,X,X,O,X,O,X,O,X
TIJZSLO,X,O,X,X,O,X,X,X
TIJZSOL,X,O,X,X,X,X,X,X
TIJZOLS,X,X,O,X,O,X,O,X
TIJZOSL,X,O,X,X,O,X,X,X
TIJOLSZ,X,X,O,X,O,X,O,X
TIJOLZS,X,X,O,X,O,O,O,X
TIJOSLZ,X,X,O,X,O,X,O,X
TIJOSZL,X,X,X,X,O,X,X,X
TIJOZLS,X,X,O,X,O,X,O,X
TIJOZSL,X,X,X,X,O,X,X,X
TISLJZO,X,O,O,X,O,X,O,X
TISLJOZ,O,O,O,X,O,X,O,X
TISLZJO,O,O,O,X,O,O,O,X
TISLZOJ,O,O,X,X,O,O,O,X
TISLOJZ,O,O,O,X,X,X,O,X
TISLOZJ,O,O,X,X,X,O,O,X
TISJLZO,X,O,O,X,O,X,O,X
TISJLOZ,O,O,O,X,O,X,O,X
TISJZLO,X,O,X,X,O,X,O,X
TISJZOL,X,O,X,X,O,X,O,X
TISJOLZ,O,O,O,X,O,X,O,X
TISJOZL,X,O,X,X,O,X,O,X
TISZLJO,O,O,X,X,O,X,O,X
TISZLOJ,O,O,X,X,O,X,O,X
TISZJLO,O,O,X,X,O,X,O,X
TISZJOL,O,O,X,X,O,X,O,X
TISZOLJ,O,O,X,X,O,X,O,X
TISZOJL,O,O,X,X,O,X,O,X
TISOLJZ,O,O,X,X,X,X,O,X
TISOLZJ,O,O,X,X,X,O,O,X
TISOJLZ,O,O,X,X,O,X,O,X
TISOJZL,X,O,X,X,O,X,O,X
TISOZLJ,O,O,X,X,O,X,O,X
TISOZJL,O,O,X,X,O,X,O,X
TIZLJSO,O,O,O,O,O,O,X,X
TIZLJOS,O,O,O,O,O,O,O,X
TIZLSJO,O,O,O,O,O,O,X,X
TIZLSOJ,O,O,X,O,O,O,X,X
TIZLOJS,O,O,X,O,O,O,O,X
TIZLOSJ,O,O,X,O,O,O,X,X
TIZJLSO,O,O,O,X,O,O,X,X
TIZJLOS,O,O,O,X,O,O,O,X
TIZJSLO,O,O,X,X,O,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X
TIZJOLS,O,X,O,X,O,O,O,X
TIZJOSL,O,O,X,X,O,X,X,X
TIZSLJO,O,O,X,X,O,X,X,X
TIZSLOJ,O,O,X,X,O,X,X,X
TIZSJLO,O,O,X,X,O,X,X,X
