sequence,v115@RhA8EeB8BeD8AeE8JeT/IvhFxgBymBGjBXlBUoBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFRgBzhBGjBilBUoBFrB,v115@RhA8EeB8BeD8AeE8JemAJvhFzhBfoB6oBxkB0kBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBFhBxiBCnBToBmqB,v115@RhA8EeB8BeD8AeE8Jex/IvhFXhB8mBCjBlkBToBmqB,v115@RhA8EeB8BeD8AeE8JeT/IvhFelBSoBRmBfrBlrBUtB
TILJSZO,O,X,O,X,X,X
TILJSOZ,O,X,O,X,X,X
TILJZSO,O,X,X,X,O,X
TILJZOS,O,X,X,X,O,X
TILJOSZ,X,X,O,X,X,O
TILJOZS,O,X,X,X,X,O
TILSJZO,O,O,O,X,X,X
TILSJOZ,O,O,O,X,X,X
TILSZJO,O,O,O,X,O,X
TILSZOJ,O,O,O,X,O,X
TILSOJZ,O,O,O,X,X,X
TILSOZJ,O,O,O,X,X,X
TILZJSO,O,O,X,X,O,X
TILZJOS,O,O,X,X,O,X
TILZSJO,O,O,X,X,O,X
TILZSOJ,O,O,X,X,O,X
TILZOJS,O,O,X,X,O,X
TILZOSJ,O,O,X,X,O,X
TILOJSZ,X,X,O,X,X,O
TILOJZS,O,X,X,X,O,O
TILOSJZ,O,O,O,X,X,X
TILOSZJ,O,O,O,X,O,X
TILOZJS,O,O,X,X,O,X
TILOZSJ,O,O,X,X,O,X
TIJLSZO,X,X,O,X,X,X
TIJLSOZ,X,X,O,X,X,X
TIJLZSO,X,X,X,X,O,X
TIJLZOS,X,X,X,X,O,X
TIJLOSZ,X,X,O,X,X,O
TIJLOZS,X,X,X,X,X,O
TIJSLZO,X,X,O,X,X,X
TIJSLOZ,X,X,O,X,X,X
TIJSZLO,X,X,O,X,X,X
TIJSZOL,X,X,O,X,X,X
TIJSOLZ,X,X,O,X,X,X
TIJSOZL,X,X,O,X,X,X
TIJZLSO,X,X,X,X,O,X
TIJZLOS,X,X,X,X,O,X
TIJZSLO,X,X,O,X,O,X
TIJZSOL,X,X,O,X,O,X
TIJZOLS,X,X,X,X,O,X
TIJZOSL,X,X,O,X,O,X
TIJOLSZ,X,X,O,X,X,O
TIJOLZS,X,X,X,X,O,O
TIJOSLZ,X,X,O,X,X,X
TIJOSZL,X,X,O,X,X,X
TIJOZLS,X,X,X,X,O,X
