sequence,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFUgBFhB6nB3?mBzpBWwB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFFgB0hB6nB3?lBWvBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFGgB6nB8pBl?mB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8Jei/IvhFclBxhB/rBG?nBTpB1vB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFclB6nBlmBu?pB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhF6nB0lBlmBX?lBTrBxuB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhFxgB6nBlmB3?pBUrBTqB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JexAJvhF6nBTlB0pBX?rBOpBlrB
TILJSZO,O,O,O,X,O,O,X,X
TILJSOZ,O,O,X,X,X,X,X,X
TILJZSO,O,O,O,X,X,O,X,X
TILJZOS,O,O,X,X,X,O,X,X
TILJOSZ,X,O,X,X,X,X,X,X
TILJOZS,X,O,X,X,X,O,X,X
TILSJZO,O,O,O,X,O,O,X,X
TILSJOZ,O,O,X,X,X,X,X,X
TILSZJO,O,O,O,X,O,O,X,X
TILSZOJ,O,O,O,X,O,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X
TILSOZJ,O,O,O,X,O,X,X,X
TILZJSO,O,O,O,X,X,O,O,X
TILZJOS,O,O,X,X,X,O,X,X
TILZSJO,O,O,O,X,O,O,O,X
TILZSOJ,O,O,O,X,O,X,O,X
TILZOJS,O,O,X,X,X,O,X,X
TILZOSJ,O,O,X,X,X,X,O,X
TILOJSZ,O,O,X,X,X,X,X,X
TILOJZS,O,O,X,X,X,O,X,X
TILOSJZ,O,O,X,X,X,X,X,X
TILOSZJ,O,O,O,X,O,X,X,X
TILOZJS,O,O,X,X,X,O,X,X
TILOZSJ,O,O,X,X,X,X,X,X
TIJLSZO,O,O,O,X,O,O,X,X
TIJLSOZ,O,O,X,X,X,X,X,X
TIJLZSO,O,O,O,X,X,O,X,X
TIJLZOS,O,O,X,X,X,O,X,X
TIJLOSZ,X,O,X,X,X,X,X,X
TIJLOZS,X,O,X,X,X,O,X,X
TIJSLZO,O,O,O,X,O,O,X,X
TIJSLOZ,O,O,X,X,X,X,X,X
TIJSZLO,O,O,O,X,O,O,X,X
TIJSZOL,O,O,O,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,X
TIJZLSO,O,O,O,X,X,O,X,X
TIJZLOS,O,O,X,X,X,O,X,X
TIJZSLO,O,O,O,X,X,O,X,X
TIJZSOL,O,O,O,X,X,X,X,X
TIJZOLS,O,O,X,X,X,O,X,X
TIJZOSL,X,O,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,X,X,X,X
TIJOLZS,X,O,X,X,X,O,X,X
TIJOSLZ,X,O,X,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,X
TIJOZLS,X,O,X,X,X,O,X,X
TIJOZSL,X,O,X,X,X,X,X,X
TISLJZO,O,O,O,X,O,O,X,X
TISLJOZ,O,O,X,X,X,X,X,X
TISLZJO,O,O,O,O,O,O,X,X
TISLZOJ,O,O,O,O,O,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X
TISLOZJ,O,O,O,X,O,X,X,X
TISJLZO,O,O,O,O,O,O,X,X
TISJLOZ,O,O,X,X,X,X,X,X
TISJZLO,O,O,O,O,O,O,X,X
TISJZOL,O,O,O,O,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,X
TISJOZL,O,O,X,O,X,X,X,X
TISZLJO,O,O,O,O,O,O,X,X
TISZLOJ,O,O,O,O,O,X,X,X
TISZJLO,O,X,O,O,O,O,X,X
TISZJOL,X,X,O,O,X,X,X,X
TISZOLJ,O,X,O,O,O,X,X,X
TISZOJL,X,X,O,X,X,X,X,X
TISOLJZ,O,X,X,X,X,X,X,X
TISOLZJ,O,O,O,X,O,X,X,X
TISOJLZ,O,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,X
TISOZLJ,O,O,O,O,O,X,X,X
TISOZJL,O,X,O,X,X,X,X,X
TIZLJSO,O,O,O,X,X,O,O,X
TIZLJOS,O,O,X,X,X,O,X,X
TIZLSJO,O,O,O,O,O,O,O,X
TIZLSOJ,O,O,O,O,O,X,O,X
TIZLOJS,O,O,X,X,X,O,X,X
TIZLOSJ,O,O,X,X,X,X,O,X
TIZJLSO,O,O,O,X,X,O,O,X
TIZJLOS,O,O,X,X,X,O,X,X
TIZJSLO,O,O,O,X,X,O,O,X
TIZJSOL,O,O,O,X,X,X,O,X
TIZJOLS,O,O,X,X,X,O,X,X
TIZJOSL,X,O,X,X,X,X,X,X
TIZSLJO,O,O,O,O,O,O,O,X
TIZSLOJ,O,O,O,O,O,X,O,X
TIZSJLO,O,X,O,O,O,O,O,X
TIZSJOL,X,X,O,O,X,X,O,X
TIZSOLJ,O,X,O,O,O,X,O,X
TIZSOJL,X,X,O,X,X,X,O,X
TIZOLJS,O,O,X,X,X,O,X,X
TIZOLSJ,O,O,X,X,X,X,O,X
TIZOJLS,O,O,X,X,X,O,X,X
TIZOJSL,O,O,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,O,X
TIZOSJL,O,O,X,X,X,X,O,X
TIOLJSZ,O,O,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,O,X,X
TIOLSJZ,O,O,X,X,X,X,X,X
TIOLSZJ,O,O,O,X,O,X,X,X
TIOLZJS,O,O,X,X,X,O,X,X
TIOLZSJ,O,O,X,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,O,X,X
TIOJSLZ,O,O,X,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X,X
TIOJZLS,O,O,X,X,X,O,X,X
TIOJZSL,O,O,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,O,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X,X
