sequence,v115@HhA8IeB8CeA8AeB8AeB8CeD8Ke0/IvhFlgBanBziB5?oBXmB2vB,v115@HhA8IeB8CeA8AeB8AeB8CeD8Ke0/IvhFXhBmiB5oBF?nBTlByvB,v115@HhA8IeB8CeA8AeB8AeB8CeD8Ke0/IvhFXhBxiBFnB6?tBmqBTqB,v115@HhA8IeB8CeA8AeB8AeB8CeD8Ke0/IvhFXhBxiBFnB6?tBOqBzqB
TILJSZO,O,O,O,O
TILJSOZ,O,O,O,X
TILJZSO,O,O,O,O
TILJZOS,O,O,O,O
TILJOSZ,O,O,O,O
TILJOZS,O,O,O,O
TILSJZO,O,O,O,O
TILSJOZ,O,O,O,X
TILSZJO,O,O,O,O
TILSZOJ,O,O,O,O
TILSOJZ,O,O,O,O
TILSOZJ,O,O,O,O
TILZJSO,O,O,O,O
TILZJOS,O,O,O,O
TILZSJO,O,O,O,O
TILZSOJ,O,O,O,O
TILZOJS,O,O,O,O
TILZOSJ,O,O,O,O
TILOJSZ,O,O,O,O
TILOJZS,O,O,O,O
TILOSJZ,O,O,O,O
TILOSZJ,O,O,O,O
TILOZJS,O,O,O,O
TILOZSJ,O,O,O,O
TIJLSZO,O,O,O,X
TIJLSOZ,O,O,O,X
TIJLZSO,O,O,O,X
TIJLZOS,O,O,O,X
TIJLOSZ,O,O,O,X
TIJLOZS,O,O,O,X
TIJSLZO,O,O,O,X
TIJSLOZ,O,O,O,X
TIJSZLO,O,O,O,X
TIJSZOL,O,O,X,X
TIJSOLZ,O,O,X,X
TIJSOZL,O,O,X,X
TIJZLSO,O,O,O,X
TIJZLOS,O,O,O,X
TIJZSLO,O,O,O,X
TIJZSOL,O,O,X,X
TIJZOLS,O,O,X,X
TIJZOSL,O,O,X,X
TIJOLSZ,O,O,X,X
TIJOLZS,O,O,X,X
TIJOSLZ,O,O,X,X
TIJOSZL,O,O,X,X
TIJOZLS,O,O,X,X
TIJOZSL,O,O,X,X
TISLJZO,O,O,O,O
TISLJOZ,O,O,O,X
TISLZJO,O,O,O,O
TISLZOJ,O,O,O,O
TISLOJZ,O,O,O,X
TISLOZJ,O,O,O,O
TISJLZO,O,O,O,X
TISJLOZ,O,O,O,X
TISJZLO,O,O,O,X
TISJZOL,O,O,X,X
TISJOLZ,O,O,X,X
TISJOZL,O,O,X,X
TISZLJO,O,O,O,O
TISZLOJ,O,O,O,O
TISZJLO,O,O,X,X
TISZJOL,O,O,X,X
TISZOLJ,O,X,X,X
TISZOJL,O,O,X,X
TISOLJZ,O,O,X,X
TISOLZJ,O,O,X,X
TISOJLZ,O,O,X,X
TISOJZL,O,O,X,X
TISOZLJ,O,X,X,X
TISOZJL,O,O,X,X
TIZLJSO,O,O,O,O
TIZLJOS,O,O,O,O
TIZLSJO,O,O,O,O
TIZLSOJ,O,O,O,O
TIZLOJS,O,O,O,O
TIZLOSJ,O,O,O,O
TIZJLSO,O,O,O,X
TIZJLOS,O,O,O,X
TIZJSLO,O,O,O,X
TIZJSOL,O,O,X,X
TIZJOLS,O,O,X,X
TIZJOSL,O,O,X,X
TIZSLJO,O,O,O,O
TIZSLOJ,O,O,O,O
TIZSJLO,O,O,X,X
TIZSJOL,O,O,X,X
TIZSOLJ,O,X,X,X
TIZSOJL,O,O,X,X
TIZOLJS,O,O,X,O
TIZOLSJ,O,O,X,O
TIZOJLS,O,O,X,X
TIZOJSL,O,O,X,X
TIZOSLJ,O,X,X,O
TIZOSJL,O,O,X,X
TIOLJSZ,O,O,X,O
TIOLJZS,O,O,X,O
