sequence,v115@IhA8IeC8GeE8AeC8JeZEJvhFUgBFhBXiB6oBznBmrB,v115@IhA8IeC8GeE8AeC8JeZEJvhFUgBamBFiBTjBfsBWyB
TILJSZO,O,O
TILJSOZ,O,O
TILJZSO,O,O
TILJZOS,O,O
TILJOSZ,O,O
TILJOZS,O,O
TILSJZO,X,O
TILSJOZ,X,O
TILSZJO,X,O
TILSZOJ,X,O
TILSOJZ,X,O
TILSOZJ,X,O
TILZJSO,O,O
TILZJOS,O,O
TILZSJO,X,O
TILZSOJ,O,O
TILZOJS,O,X
TILZOSJ,O,X
TILOJSZ,O,X
TILOJZS,O,X
TILOSJZ,O,X
TILOSZJ,O,X
TILOZJS,O,X
TILOZSJ,O,X
TIJLSZO,O,O
TIJLSOZ,O,O
TIJLZSO,O,O
TIJLZOS,O,O
TIJLOSZ,O,O
TIJLOZS,O,O
TIJSLZO,O,O
TIJSLOZ,O,O
TIJSZLO,O,O
TIJSZOL,O,O
TIJSOLZ,O,O
TIJSOZL,O,O
TIJZLSO,O,O
TIJZLOS,O,O
TIJZSLO,O,O
TIJZSOL,O,O
TIJZOLS,O,O
TIJZOSL,O,O
TIJOLSZ,O,O
TIJOLZS,O,O
TIJOSLZ,O,O
TIJOSZL,O,O
TIJOZLS,O,O
TIJOZSL,O,O
TISLJZO,X,O
TISLJOZ,X,O
TISLZJO,X,O
TISLZOJ,X,O
TISLOJZ,X,O
TISLOZJ,X,O
TISJLZO,X,O
TISJLOZ,X,O
TISJZLO,X,O
TISJZOL,X,O
TISJOLZ,X,O
TISJOZL,X,O
TISZLJO,X,O
TISZLOJ,X,O
TISZJLO,X,O
TISZJOL,X,O
TISZOLJ,X,O
TISZOJL,X,O
TISOLJZ,X,O
TISOLZJ,X,O
TISOJLZ,X,O
TISOJZL,X,O
TISOZLJ,X,O
TISOZJL,X,O
TIZLJSO,O,O
TIZLJOS,O,O
TIZLSJO,X,O
TIZLSOJ,O,O
TIZLOJS,O,X
TIZLOSJ,O,X
TIZJLSO,O,O
TIZJLOS,O,O
TIZJSLO,O,O
TIZJSOL,O,O
TIZJOLS,O,O
TIZJOSL,O,O
TIZSLJO,X,O
TIZSLOJ,O,O
TIZSJLO,X,O
TIZSJOL,X,O
TIZSOLJ,O,O
TIZSOJL,O,O
TIZOLJS,O,X
TIZOLSJ,O,X
TIZOJLS,O,X
TIZOJSL,O,X
TIZOSLJ,O,X
TIZOSJL,O,X
TIOLJSZ,O,X
TIOLJZS,O,X
TIOLSJZ,O,X
TIOLSZJ,O,X
