sequence,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFUgBGhBTiB6?oBVrBXsB,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFFgB8lB+mBT?iB6oBXsB,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFUgBGhB6oBV?rBTnBXsB
TILJSZO,O,X,X
TILJSOZ,O,X,X
TILJZSO,O,X,X
TILJZOS,X,X,O
TILJOSZ,X,X,X
TILJOZS,X,X,O
TILSJZO,O,X,X
TILSJOZ,O,X,X
TILSZJO,O,O,X
TILSZOJ,O,X,X
TILSOJZ,O,X,X
TILSOZJ,O,X,X
TILZJSO,O,O,X
TILZJOS,X,X,O
TILZSJO,O,O,X
TILZSOJ,O,X,X
TILZOJS,X,X,O
TILZOSJ,X,X,X
TILOJSZ,X,X,X
TILOJZS,X,X,O
TILOSJZ,X,X,X
TILOSZJ,X,X,X
TILOZJS,X,X,O
TILOZSJ,X,X,X
TIJLSZO,O,X,X
TIJLSOZ,O,X,X
TIJLZSO,O,X,X
TIJLZOS,X,X,O
TIJLOSZ,X,X,X
TIJLOZS,X,X,O
TIJSLZO,O,X,X
TIJSLOZ,O,X,X
TIJSZLO,O,X,X
TIJSZOL,O,X,X
TIJSOLZ,O,X,X
TIJSOZL,O,X,X
TIJZLSO,O,X,X
TIJZLOS,X,X,O
TIJZSLO,O,X,X
TIJZSOL,O,X,X
TIJZOLS,X,X,O
TIJZOSL,X,X,X
TIJOLSZ,X,X,X
TIJOLZS,X,X,O
TIJOSLZ,X,X,X
TIJOSZL,X,X,X
TIJOZLS,X,X,O
TIJOZSL,X,X,X
TISLJZO,O,X,X
TISLJOZ,O,X,X
TISLZJO,O,O,X
TISLZOJ,O,X,X
TISLOJZ,O,X,X
TISLOZJ,O,X,X
TISJLZO,O,X,X
TISJLOZ,O,X,X
TISJZLO,O,X,X
TISJZOL,O,X,X
TISJOLZ,O,X,X
TISJOZL,O,X,X
TISZLJO,O,O,X
TISZLOJ,O,X,X
TISZJLO,O,O,X
TISZJOL,O,O,X
TISZOLJ,O,X,X
TISZOJL,O,X,X
TISOLJZ,O,X,X
TISOLZJ,O,X,X
TISOJLZ,O,X,X
TISOJZL,O,X,X
TISOZLJ,O,X,X
TISOZJL,O,X,X
TIZLJSO,O,O,X
TIZLJOS,X,X,O
TIZLSJO,O,O,X
TIZLSOJ,O,X,X
TIZLOJS,X,X,O
TIZLOSJ,X,X,X
TIZJLSO,O,O,X
TIZJLOS,X,X,O
TIZJSLO,O,O,X
TIZJSOL,O,O,X
TIZJOLS,X,X,O
TIZJOSL,X,X,X
TIZSLJO,O,O,X
TIZSLOJ,O,X,X
TIZSJLO,O,O,X
TIZSJOL,O,O,X
TIZSOLJ,O,X,X
TIZSOJL,O,X,X
TIZOLJS,X,X,O
TIZOLSJ,X,X,X
TIZOJLS,X,X,O
TIZOJSL,X,X,X
TIZOSLJ,X,X,X
TIZOSJL,X,X,X
TIOLJSZ,X,X,X
TIOLJZS,X,X,O
TIOLSJZ,X,X,X
TIOLSZJ,X,X,X
TIOLZJS,X,X,O
TIOLZSJ,X,X,X
TIOJLSZ,X,X,X
TIOJLZS,X,X,O
TIOJSLZ,X,X,X
TIOJSZL,X,X,X
TIOJZLS,X,X,O
TIOJZSL,X,X,X
TIOSLJZ,X,X,X
TIOSLZJ,X,X,X
TIOSJLZ,X,X,X
TIOSJZL,X,X,X
TIOSZLJ,X,X,X
TIOSZJL,X,X,X
TIOZLJS,X,X,O
TIOZLSJ,X,X,X
TIOZJLS,X,X,O
TIOZJSL,X,X,X
TIOZSLJ,X,X,X
TIOZSJL,X,X,X
TLIJSZO,O,X,X
TLIJSOZ,O,X,X
TLIJZSO,O,X,X
TLIJZOS,X,X,O
TLIJOSZ,X,X,X
TLIJOZS,X,X,O
TLISJZO,O,X,X
TLISJOZ,O,X,X
TLISZJO,O,O,X
TLISZOJ,O,X,X
TLISOJZ,O,X,X
TLISOZJ,O,X,X
TLIZJSO,O,O,X
TLIZJOS,X,X,O
TLIZSJO,O,O,X
TLIZSOJ,O,X,X
TLIZOJS,X,X,O
TLIZOSJ,X,X,X
TLIOJSZ,X,X,X
TLIOJZS,X,X,O
TLIOSJZ,X,X,X
TLIOSZJ,X,X,X
TLIOZJS,X,X,O
TLIOZSJ,X,X,X
TLJISZO,O,X,X
TLJISOZ,O,X,X
TLJIZSO,O,X,X
TLJIZOS,X,X,O
TLJIOSZ,X,X,X
TLJIOZS,X,X,O
TLJSIZO,O,X,X
TLJSIOZ,O,X,X
TLJSZIO,O,X,X
TLJSZOI,O,X,X
TLJSOIZ,O,X,X
TLJSOZI,O,X,X
TLJZISO,O,X,X
TLJZIOS,X,X,O
TLJZSIO,O,X,X
TLJZSOI,O,X,X
TLJZOIS,X,X,O
TLJZOSI,X,X,X
TLJOISZ,X,X,X
TLJOIZS,X,X,O
TLJOSIZ,X,X,X
TLJOSZI,X,X,X
TLJOZIS,X,X,O
TLJOZSI,X,X,X
TLSIJZO,O,X,X
TLSIJOZ,O,X,X
TLSIZJO,O,O,X
TLSIZOJ,O,X,X
TLSIOJZ,O,X,X
TLSIOZJ,O,X,X
TLSJIZO,O,X,X
TLSJIOZ,O,X,X
TLSJZIO,O,X,X
TLSJZOI,O,X,X
TLSJOIZ,O,X,X
TLSJOZI,O,X,X
TLSZIJO,O,O,X
TLSZIOJ,O,X,X
TLSZJIO,O,O,X
TLSZJOI,O,O,X
TLSZOIJ,O,X,X
