sequence,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFlgBumB3iB5?oB8qBywB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhF6lB3iB5oB0?mBVwBmrB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFXhB5oBFnBG?rB0qBisB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFmgBfnBliB5?oBqqB0rB
TILJSZO,O,O,X,X
TILJSOZ,O,O,O,X
TILJZSO,O,O,X,O
TILJZOS,O,O,X,O
TILJOSZ,O,O,O,X
TILJOZS,O,O,X,O
TILSJZO,O,O,X,X
TILSJOZ,O,O,X,X
TILSZJO,O,O,X,X
TILSZOJ,O,O,X,X
TILSOJZ,O,O,O,X
TILSOZJ,O,O,X,X
TILZJSO,O,O,X,O
TILZJOS,O,O,X,O
TILZSJO,O,O,X,O
TILZSOJ,O,O,X,O
TILZOJS,O,O,X,O
TILZOSJ,O,O,X,O
TILOJSZ,O,O,O,X
TILOJZS,O,O,X,O
TILOSJZ,O,O,O,X
TILOSZJ,O,O,X,X
TILOZJS,O,O,X,O
TILOZSJ,O,O,X,O
TIJLSZO,X,O,X,X
TIJLSOZ,X,O,O,X
TIJLZSO,X,O,X,O
TIJLZOS,X,O,X,O
TIJLOSZ,X,O,O,X
TIJLOZS,X,O,X,O
TIJSLZO,X,O,X,X
TIJSLOZ,X,O,O,X
TIJSZLO,O,O,X,X
TIJSZOL,O,O,O,X
TIJSOLZ,X,O,O,X
TIJSOZL,O,O,O,X
TIJZLSO,O,O,X,X
TIJZLOS,O,O,X,X
TIJZSLO,O,O,X,X
TIJZSOL,O,O,O,X
TIJZOLS,O,O,X,X
TIJZOSL,O,O,O,X
TIJOLSZ,X,O,O,X
TIJOLZS,X,O,X,O
TIJOSLZ,X,O,O,X
TIJOSZL,O,O,O,X
TIJOZLS,O,O,X,X
TIJOZSL,O,O,O,X
TISLJZO,O,O,X,X
TISLJOZ,O,O,X,X
TISLZJO,O,O,X,X
TISLZOJ,O,O,X,X
TISLOJZ,O,O,O,X
TISLOZJ,O,O,X,X
TISJLZO,O,O,X,X
TISJLOZ,O,O,O,X
TISJZLO,O,O,X,X
TISJZOL,O,O,O,X
TISJOLZ,O,O,O,X
TISJOZL,O,O,O,X
TISZLJO,O,O,X,X
TISZLOJ,O,O,X,X
TISZJLO,O,O,X,X
TISZJOL,O,O,X,X
TISZOLJ,O,O,X,X
TISZOJL,O,O,O,X
TISOLJZ,O,O,O,X
TISOLZJ,O,O,X,X
TISOJLZ,O,O,O,X
TISOJZL,O,O,O,X
TISOZLJ,O,O,X,X
TISOZJL,O,O,O,X
TIZLJSO,O,O,X,X
TIZLJOS,O,O,X,X
TIZLSJO,O,O,X,X
TIZLSOJ,O,O,X,X
TIZLOJS,O,O,X,X
TIZLOSJ,O,O,X,X
TIZJLSO,O,O,X,X
TIZJLOS,O,O,X,X
TIZJSLO,O,O,X,X
TIZJSOL,O,O,O,X
TIZJOLS,O,O,X,X
TIZJOSL,O,O,O,X
TIZSLJO,O,O,X,X
TIZSLOJ,O,O,X,X
TIZSJLO,O,O,X,X
TIZSJOL,O,O,X,X
TIZSOLJ,O,O,X,X
TIZSOJL,O,O,O,X
TIZOLJS,O,O,X,X
TIZOLSJ,O,O,X,X
TIZOJLS,O,O,X,X
TIZOJSL,O,O,O,X
TIZOSLJ,O,O,X,X
TIZOSJL,O,O,O,X
TIOLJSZ,O,O,O,X
TIOLJZS,O,O,X,O
TIOLSJZ,O,O,O,X
TIOLSZJ,O,O,X,X
TIOLZJS,O,O,X,O
TIOLZSJ,O,O,X,O
TIOJLSZ,X,O,O,X
TIOJLZS,X,O,X,O
TIOJSLZ,X,O,O,X
TIOJSZL,O,O,O,X
TIOJZLS,O,O,X,X
TIOJZSL,O,O,O,X
TIOSLJZ,O,O,O,X
TIOSLZJ,O,O,X,X
