sequence,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFlgBumB3iB5?oB8qBywB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhF6lB3iB5oB0?mBVwBmrB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFXhB5oBFnBG?rB0qBisB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFmgBfnBliB5?oBqqB0rB
TILJSZO,X,X,X,X
TILJSOZ,X,X,X,X
TILJZSO,X,X,X,X
TILJZOS,X,X,X,X
TILJOSZ,X,X,X,X
TILJOZS,X,X,X,X
TILSJZO,X,X,X,X
TILSJOZ,X,X,X,X
TILSZJO,X,X,X,X
TILSZOJ,X,O,X,X
TILSOJZ,X,X,X,X
TILSOZJ,X,O,X,X
TILZJSO,X,X,X,X
TILZJOS,X,X,X,X
TILZSJO,X,X,X,X
TILZSOJ,X,O,X,X
TILZOJS,X,X,X,X
TILZOSJ,X,O,X,X
TILOJSZ,X,X,X,X
TILOJZS,X,X,X,X
TILOSJZ,X,X,X,X
TILOSZJ,X,O,X,X
TILOZJS,X,X,X,X
TILOZSJ,X,O,X,X
TIJLSZO,X,X,X,X
TIJLSOZ,X,X,X,X
TIJLZSO,X,X,X,X
TIJLZOS,X,X,X,X
TIJLOSZ,X,X,X,X
TIJLOZS,X,X,X,X
TIJSLZO,X,X,X,X
TIJSLOZ,X,X,X,X
TIJSZLO,X,X,X,X
TIJSZOL,X,X,X,X
TIJSOLZ,X,X,O,X
TIJSOZL,X,X,O,X
TIJZLSO,X,X,X,X
TIJZLOS,X,X,X,X
TIJZSLO,X,X,X,X
TIJZSOL,X,X,X,X
TIJZOLS,X,X,X,X
TIJZOSL,X,X,X,X
TIJOLSZ,X,X,X,X
TIJOLZS,X,X,X,X
TIJOSLZ,X,X,O,X
TIJOSZL,X,X,O,X
TIJOZLS,X,X,X,X
TIJOZSL,X,X,X,X
TISLJZO,X,X,X,X
TISLJOZ,X,X,X,X
TISLZJO,X,X,X,X
TISLZOJ,X,O,X,X
TISLOJZ,X,X,X,X
TISLOZJ,X,O,X,X
TISJLZO,X,X,X,X
TISJLOZ,X,X,X,X
TISJZLO,X,X,X,X
TISJZOL,X,X,X,X
TISJOLZ,X,X,X,X
TISJOZL,X,X,X,X
TISZLJO,X,X,X,X
TISZLOJ,X,O,X,X
TISZJLO,X,X,X,X
TISZJOL,O,X,X,X
TISZOLJ,X,O,X,X
TISZOJL,O,X,X,X
TISOLJZ,X,X,X,X
TISOLZJ,X,O,X,X
TISOJLZ,X,X,O,X
TISOJZL,X,X,O,X
TISOZLJ,X,O,X,X
TISOZJL,O,X,X,X
TIZLJSO,O,X,X,X
TIZLJOS,O,X,X,X
TIZLSJO,O,X,X,X
TIZLSOJ,O,O,X,X
TIZLOJS,O,X,X,X
TIZLOSJ,O,O,X,X
TIZJLSO,X,X,X,X
TIZJLOS,X,X,X,X
TIZJSLO,X,X,X,X
TIZJSOL,X,X,X,X
TIZJOLS,X,X,X,X
TIZJOSL,X,X,X,X
TIZSLJO,X,X,X,X
TIZSLOJ,X,O,X,X
TIZSJLO,X,X,X,X
TIZSJOL,O,X,X,X
TIZSOLJ,X,O,X,X
TIZSOJL,O,X,X,X
TIZOLJS,O,X,X,X
TIZOLSJ,O,O,X,X
TIZOJLS,X,X,X,X
TIZOJSL,X,X,X,X
TIZOSLJ,X,O,X,X
TIZOSJL,O,X,X,X
TIOLJSZ,X,X,X,X
TIOLJZS,X,X,X,X
