sequence,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFFjBmlBfsB6?sBctBTqB,v115@9gC8GeB8HeB8HeB8BeB8CeA8Je3AJvhFcmBxiBVsBG?oBTqByxB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFSnBTjBOqB8?qBFsBXtB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFSnBTjB2qBU?sBFtB3qB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeGBJvhFxiBilBToB3?qBFsB0sB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JezBJvhFFjBilB+sBc?tBRrB3qB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFGjBKqBzlBf?sBVtB0sB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeFCJvhFXjBxlBStBU?mBTqB2xB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFmlBfsBlnBc?tBTqBCtB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFTjBWsBiqBX?tBcsBlqB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeuFJvhFFjBKqBxmBc?tB3mBTsB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeuFJvhF1mBXjBKqBc?tBxrBTsB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFWsBToBiqBc?sBlqBXtB
TILJSZO,X,O,O,X,X,X,O,X,X,X,X,X,X
TILJSOZ,X,O,O,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,O,O,X,X,O,X,X,X,X,X,X,X
TILJZOS,X,O,O,X,X,O,X,X,X,X,X,X,X
TILJOSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
TILJOZS,X,O,X,X,X,O,O,X,X,X,X,X,X
TILSJZO,X,X,O,X,X,X,O,X,X,X,X,X,X
TILSJOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TILSZJO,X,O,O,X,X,X,O,X,X,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TILSOZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
TILZJSO,X,O,O,X,X,O,X,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,O,X,X,X,X,X,X,X
TILZSJO,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,O,X,X,X,X,X,X,X
TILZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
TILOJZS,X,O,X,X,X,O,O,X,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
