sequence,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gB1mBmiB5oBcs?BTrB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF1lBmhBziB5oBcr?BXsB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gBFiB8nB5oBOr?BzrB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gBcmBmiB5oBTn?B1wB
TILJSZO,X,X,X,X
TILJSOZ,X,X,X,X
TILJZSO,X,X,X,O
TILJZOS,X,X,X,X
TILJOSZ,X,X,X,X
TILJOZS,X,X,X,X
TILSJZO,X,X,X,X
TILSJOZ,X,X,X,X
TILSZJO,X,O,X,X
TILSZOJ,X,O,X,X
TILSOJZ,X,X,X,X
TILSOZJ,X,O,X,X
TILZJSO,X,X,X,O
TILZJOS,X,O,X,X
TILZSJO,X,X,X,O
TILZSOJ,X,X,X,O
TILZOJS,X,O,X,O
TILZOSJ,X,X,X,O
TILOJSZ,X,X,X,X
TILOJZS,X,X,X,O
TILOSJZ,X,X,X,X
TILOSZJ,X,O,X,X
TILOZJS,X,O,X,O
TILOZSJ,X,X,X,O
TIJLSZO,X,X,X,X
TIJLSOZ,X,X,X,X
TIJLZSO,X,X,X,O
TIJLZOS,X,X,X,X
TIJLOSZ,X,X,X,X
TIJLOZS,X,X,X,X
TIJSLZO,X,X,X,X
TIJSLOZ,X,X,X,X
TIJSZLO,X,X,X,X
TIJSZOL,X,X,X,X
TIJSOLZ,X,X,X,X
TIJSOZL,X,X,X,X
TIJZLSO,X,X,X,O
TIJZLOS,X,X,X,X
TIJZSLO,X,X,X,O
TIJZSOL,X,X,X,X
TIJZOLS,X,X,X,X
TIJZOSL,X,X,X,X
TIJOLSZ,X,X,X,X
TIJOLZS,X,X,X,X
TIJOSLZ,X,X,X,X
TIJOSZL,X,X,X,X
TIJOZLS,X,X,X,X
TIJOZSL,X,X,X,X
TISLJZO,X,X,X,X
TISLJOZ,X,X,X,X
TISLZJO,X,O,X,X
TISLZOJ,X,O,X,X
TISLOJZ,X,X,X,X
TISLOZJ,X,O,X,X
TISJLZO,X,X,X,X
TISJLOZ,X,X,X,X
TISJZLO,X,X,X,X
TISJZOL,X,X,X,X
TISJOLZ,X,X,X,X
TISJOZL,X,X,X,X
TISZLJO,X,O,X,X
TISZLOJ,X,O,X,X
TISZJLO,X,O,X,X
TISZJOL,X,O,X,X
TISZOLJ,X,O,X,X
TISZOJL,X,O,X,X
TISOLJZ,X,X,X,X
TISOLZJ,X,O,X,X
TISOJLZ,X,X,X,X
TISOJZL,X,X,X,X
TISOZLJ,X,O,X,X
TISOZJL,X,O,X,X
TIZLJSO,X,X,X,O
TIZLJOS,X,O,X,X
TIZLSJO,X,X,X,O
TIZLSOJ,X,X,X,O
TIZLOJS,X,O,X,O
TIZLOSJ,X,X,X,O
TIZJLSO,X,X,X,O
TIZJLOS,X,O,X,X
TIZJSLO,X,X,X,O
TIZJSOL,X,X,X,X
TIZJOLS,X,O,X,X
TIZJOSL,X,X,X,X
TIZSLJO,X,X,X,O
TIZSLOJ,X,X,X,O
TIZSJLO,X,X,X,O
TIZSJOL,X,X,X,X
TIZSOLJ,X,X,X,O
TIZSOJL,X,X,X,O
TIZOLJS,X,O,X,O
TIZOLSJ,X,X,X,O
TIZOJLS,X,O,X,O
TIZOJSL,X,X,X,O
TIZOSLJ,X,X,X,O
TIZOSJL,X,X,X,O
TIOLJSZ,X,X,X,X
TIOLJZS,X,X,X,O
TIOLSJZ,X,X,X,X
