sequence,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBXhBTjBW?qByvBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukBFhBTjBK?qBfrBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBOmBTjBf?qBqqBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBOmBTjBX?lB1vBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBTjBmlBF?qBUtBXrB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukB1lBTjBi?qBUtBXrB
TILJSZO,O,O,O,O,O,O
TILJSOZ,O,O,O,O,X,X
TILJZSO,O,O,O,O,O,O
TILJZOS,O,O,O,O,O,O
TILJOSZ,O,O,O,O,X,X
TILJOZS,O,X,X,X,O,O
TILSJZO,O,O,O,O,O,O
TILSJOZ,O,O,O,O,X,X
TILSZJO,O,O,O,O,O,O
TILSZOJ,O,O,O,O,O,O
TILSOJZ,O,O,O,O,X,X
TILSOZJ,O,O,O,O,X,X
TILZJSO,O,O,O,O,O,O
TILZJOS,O,O,O,O,O,O
TILZSJO,O,O,O,O,O,O
TILZSOJ,O,O,O,O,O,O
TILZOJS,O,O,O,O,O,O
TILZOSJ,O,O,O,O,O,O
TILOJSZ,O,O,O,O,X,X
TILOJZS,O,X,X,X,O,O
TILOSJZ,O,O,O,O,X,X
TILOSZJ,O,O,O,O,X,X
TILOZJS,X,X,X,X,O,O
TILOZSJ,X,X,X,X,O,O
TIJLSZO,O,O,O,O,O,X
TIJLSOZ,O,O,O,O,X,X
TIJLZSO,O,O,O,O,O,O
TIJLZOS,O,O,O,O,O,O
TIJLOSZ,O,O,O,O,X,X
TIJLOZS,O,X,X,X,O,X
TIJSLZO,O,O,O,O,O,X
TIJSLOZ,O,O,O,O,X,X
TIJSZLO,O,O,O,O,O,X
TIJSZOL,O,O,O,O,O,X
TIJSOLZ,O,O,O,O,X,X
TIJSOZL,O,X,X,O,X,X
TIJZLSO,O,O,O,O,O,O
TIJZLOS,O,O,O,O,O,O
TIJZSLO,O,O,O,O,O,X
TIJZSOL,O,O,O,O,O,X
TIJZOLS,O,O,O,O,O,O
TIJZOSL,O,O,O,O,O,X
TIJOLSZ,O,O,O,O,X,X
TIJOLZS,O,X,X,X,O,X
TIJOSLZ,O,O,O,O,X,X
TIJOSZL,O,X,X,O,X,X
TIJOZLS,O,X,X,O,O,X
TIJOZSL,O,X,X,O,O,X
TISLJZO,O,O,O,O,O,X
TISLJOZ,O,O,O,O,X,X
TISLZJO,O,O,O,O,O,X
TISLZOJ,O,O,O,O,O,X
TISLOJZ,O,O,O,O,X,X
TISLOZJ,O,O,O,O,X,X
TISJLZO,O,O,O,O,O,X
TISJLOZ,O,O,O,O,X,X
TISJZLO,O,O,O,O,O,X
TISJZOL,O,O,O,O,O,X
TISJOLZ,O,O,O,O,X,X
TISJOZL,O,X,X,O,X,X
TISZLJO,O,O,O,O,O,X
TISZLOJ,O,O,O,O,O,X
TISZJLO,O,O,O,O,O,X
TISZJOL,O,O,O,O,O,X
TISZOLJ,O,O,O,O,O,X
TISZOJL,O,O,O,O,O,X
TISOLJZ,O,O,O,O,X,X
TISOLZJ,O,O,O,O,X,X
TISOJLZ,O,O,O,O,X,X
TISOJZL,O,X,X,O,X,X
TISOZLJ,O,O,X,O,X,X
TISOZJL,O,O,X,O,X,X
TIZLJSO,O,O,O,O,O,O
TIZLJOS,O,O,O,O,O,O
TIZLSJO,O,O,O,O,O,O
TIZLSOJ,O,O,O,O,O,O
TIZLOJS,O,O,O,O,O,O
TIZLOSJ,O,O,O,O,O,O
TIZJLSO,O,O,O,O,O,O
TIZJLOS,O,O,O,O,O,O
TIZJSLO,O,O,O,O,O,X
TIZJSOL,O,O,O,O,O,X
TIZJOLS,O,O,O,O,O,O
TIZJOSL,O,O,O,O,O,X
TIZSLJO,O,O,O,O,O,X
TIZSLOJ,O,O,O,O,O,X
TIZSJLO,O,O,O,O,O,X
TIZSJOL,O,O,O,O,O,X
TIZSOLJ,O,O,O,O,O,X
TIZSOJL,O,O,O,O,O,X
TIZOLJS,O,O,O,O,O,O
TIZOLSJ,O,O,O,O,O,O
TIZOJLS,O,O,O,O,O,O
TIZOJSL,O,O,O,O,O,X
TIZOSLJ,O,O,O,O,O,X
TIZOSJL,O,O,O,O,O,X
TIOLJSZ,O,O,O,O,X,X
TIOLJZS,O,X,X,X,O,X
TIOLSJZ,O,O,O,O,X,X
TIOLSZJ,O,O,O,O,X,X
TIOLZJS,X,X,X,X,O,X
TIOLZSJ,X,X,X,X,O,X
TIOJLSZ,O,O,O,O,X,X
TIOJLZS,O,X,X,X,O,X
TIOJSLZ,O,O,O,O,X,X
TIOJSZL,O,X,X,O,X,X
TIOJZLS,X,X,X,O,O,X
TIOJZSL,O,X,X,O,O,X
TIOSLJZ,O,O,O,O,X,X
TIOSLZJ,O,O,O,O,X,X
TIOSJLZ,O,O,O,O,X,X
TIOSJZL,O,X,X,O,X,X
TIOSZLJ,X,O,X,O,X,X
TIOSZJL,O,O,X,O,X,X
TIOZLJS,X,X,X,O,O,X
TIOZLSJ,X,O,X,O,O,X
TIOZJLS,X,X,X,O,O,X
TIOZJSL,X,O,X,O,O,X
TIOZSLJ,X,O,X,O,O,X
TIOZSJL,X,O,X,O,O,X
TLIJSZO,O,O,O,O,O,O
TLIJSOZ,O,O,O,O,X,X
TLIJZSO,O,O,O,O,O,O
TLIJZOS,O,O,O,O,O,O
TLIJOSZ,O,O,O,O,X,X
TLIJOZS,O,X,X,X,O,O
TLISJZO,O,O,O,O,O,O
TLISJOZ,O,O,O,O,X,X
TLISZJO,O,O,O,O,O,O
TLISZOJ,O,O,O,O,O,O
TLISOJZ,O,O,O,O,X,X
TLISOZJ,O,O,O,O,X,X
TLIZJSO,O,O,O,O,O,O
TLIZJOS,O,O,O,O,O,O
TLIZSJO,O,O,O,O,O,O
TLIZSOJ,O,O,O,O,O,O
TLIZOJS,O,O,O,O,O,O
TLIZOSJ,O,O,O,O,O,O
TLIOJSZ,O,O,O,O,X,X
TLIOJZS,O,X,X,X,O,O
TLIOSJZ,O,O,O,O,X,X
TLIOSZJ,O,O,O,O,X,X
TLIOZJS,X,X,X,X,O,O
TLIOZSJ,X,X,X,X,O,O
TLJISZO,O,O,O,O,O,O
TLJISOZ,O,O,O,O,X,X
TLJIZSO,O,O,O,O,O,O
TLJIZOS,O,O,O,O,O,O
TLJIOSZ,O,O,O,O,X,X
TLJIOZS,O,X,X,X,O,O
TLJSIZO,O,O,O,O,O,O
TLJSIOZ,O,O,O,O,X,X
TLJSZIO,O,O,O,O,O,O
TLJSZOI,O,O,O,O,O,O
TLJSOIZ,O,O,O,O,X,X
TLJSOZI,O,O,O,O,X,X
TLJZISO,O,O,O,O,O,O
TLJZIOS,O,O,O,O,O,O
TLJZSIO,O,O,O,O,O,O
TLJZSOI,O,O,O,O,O,O
TLJZOIS,O,O,O,O,O,O
TLJZOSI,O,O,O,O,O,O
TLJOISZ,O,O,O,O,X,X
TLJOIZS,O,X,X,X,O,O
TLJOSIZ,O,O,O,O,X,X
TLJOSZI,O,O,O,O,X,X
TLJOZIS,O,X,X,X,O,O
TLJOZSI,O,X,X,X,O,O
TLSIJZO,O,O,O,O,O,O
TLSIJOZ,O,O,O,O,X,X
TLSIZJO,O,O,O,O,O,O
TLSIZOJ,O,O,O,O,O,O
TLSIOJZ,O,O,O,O,X,X
TLSIOZJ,O,O,O,O,X,X
TLSJIZO,O,O,O,O,O,O
TLSJIOZ,O,O,O,O,X,X
TLSJZIO,O,O,O,O,O,O
TLSJZOI,O,O,O,O,O,O
TLSJOIZ,O,O,O,O,X,X
TLSJOZI,O,O,O,O,X,X
TLSZIJO,O,O,O,O,O,O
TLSZIOJ,O,O,O,O,O,O
TLSZJIO,O,O,O,O,O,O
TLSZJOI,O,O,O,O,O,O
TLSZOIJ,O,O,O,O,O,O
TLSZOJI,O,O,O,O,O,O
TLSOIJZ,O,O,O,O,X,X
TLSOIZJ,O,O,O,O,X,X
TLSOJIZ,O,O,O,O,X,X
TLSOJZI,O,O,O,O,X,X
TLSOZIJ,O,O,O,O,X,X
TLSOZJI,O,O,O,O,X,X
TLZIJSO,O,O,O,O,O,O
TLZIJOS,O,O,O,O,O,O
TLZISJO,O,O,O,O,O,O
TLZISOJ,O,O,O,O,O,O
TLZIOJS,O,O,O,O,O,O
TLZIOSJ,O,O,O,O,O,O
TLZJISO,O,O,O,O,O,O
TLZJIOS,O,O,O,O,O,O
TLZJSIO,O,O,O,O,O,O
TLZJSOI,O,O,O,O,O,O
TLZJOIS,O,O,O,O,O,O
TLZJOSI,O,O,O,O,O,O
TLZSIJO,O,O,O,O,O,O
TLZSIOJ,O,O,O,O,O,O
TLZSJIO,O,O,O,O,O,O
