sequence,v115@9gA8BeA8FeA8AeB8FeA8FeB8AeC8EeA8KeuEJvhFlh?BziB5oB/rBKsB0qB,v115@9gA8BeA8FeA8AeB8FeA8FeB8AeC8EeA8KeuEJvhFih?BziB5oB3mB0qBVxB
TILJSZO,O,O
TILJSOZ,O,O
TILJZSO,O,O
TILJZOS,O,O
TILJOSZ,O,O
TILJOZS,O,O
TILSJZO,O,O
TILSJOZ,O,O
TILSZJO,O,O
TILSZOJ,O,O
TILSOJZ,O,O
TILSOZJ,O,O
TILZJSO,O,O
TILZJOS,O,O
TILZSJO,O,O
TILZSOJ,O,O
TILZOJS,O,O
TILZOSJ,O,O
TILOJSZ,O,O
TILOJZS,O,O
TILOSJZ,O,O
TILOSZJ,O,O
TILOZJS,O,O
TILOZSJ,O,O
TIJLSZO,O,O
TIJLSOZ,O,O
TIJLZSO,O,O
TIJLZOS,O,O
TIJLOSZ,O,O
TIJLOZS,O,O
TIJSLZO,O,O
TIJSLOZ,O,O
TIJSZLO,X,O
TIJSZOL,X,O
TIJSOLZ,O,O
TIJSOZL,X,O
TIJZLSO,O,O
TIJZLOS,O,O
TIJZSLO,O,O
TIJZSOL,O,O
TIJZOLS,O,O
TIJZOSL,O,O
TIJOLSZ,O,O
TIJOLZS,O,O
TIJOSLZ,O,O
TIJOSZL,X,O
TIJOZLS,O,O
TIJOZSL,O,O
TISLJZO,O,O
TISLJOZ,O,O
TISLZJO,O,O
TISLZOJ,O,O
TISLOJZ,O,O
TISLOZJ,O,O
TISJLZO,O,O
TISJLOZ,O,O
TISJZLO,X,O
TISJZOL,X,O
TISJOLZ,O,O
TISJOZL,X,O
TISZLJO,X,O
TISZLOJ,X,O
TISZJLO,X,O
TISZJOL,X,O
TISZOLJ,X,O
TISZOJL,X,O
TISOLJZ,O,O
TISOLZJ,O,O
TISOJLZ,O,O
TISOJZL,X,O
TISOZLJ,X,O
TISOZJL,X,O
TIZLJSO,O,O
TIZLJOS,O,O
TIZLSJO,O,O
TIZLSOJ,O,O
TIZLOJS,O,O
TIZLOSJ,O,O
TIZJLSO,O,O
TIZJLOS,O,O
TIZJSLO,O,O
TIZJSOL,O,O
TIZJOLS,O,O
TIZJOSL,O,O
TIZSLJO,O,O
TIZSLOJ,O,O
TIZSJLO,O,O
TIZSJOL,O,O
TIZSOLJ,O,O
TIZSOJL,O,O
TIZOLJS,O,O
TIZOLSJ,O,O
TIZOJLS,O,O
TIZOJSL,O,O
TIZOSLJ,O,O
TIZOSJL,O,O
TIOLJSZ,O,O
TIOLJZS,O,O
