sequence,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlBliB5oB3mBys?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlB/nBaoB5oB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOEJvhFXgBynB5oB1rB0n?BzpB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhF/nBaoB5oBTkB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhFliB5oBTkB3mBys?B0pB
TILJSZO,O,O,O,O,X
TILJSOZ,X,O,O,O,X
TILJZSO,O,O,O,X,X
TILJZOS,O,O,X,X,X
TILJOSZ,X,X,O,O,X
TILJOZS,O,X,O,X,X
TILSJZO,O,O,O,O,X
TILSJOZ,X,O,O,O,X
TILSZJO,O,O,O,O,X
TILSZOJ,O,O,X,O,X
TILSOJZ,X,O,O,O,X
TILSOZJ,X,O,O,O,X
TILZJSO,O,O,O,X,X
TILZJOS,O,O,X,X,X
TILZSJO,O,O,O,X,X
TILZSOJ,O,O,X,X,X
TILZOJS,O,O,O,X,X
TILZOSJ,O,O,O,X,X
TILOJSZ,X,X,O,O,X
TILOJZS,O,X,O,X,X
TILOSJZ,X,X,O,O,X
TILOSZJ,X,X,O,O,X
TILOZJS,O,X,O,X,X
TILOZSJ,O,X,O,X,X
TIJLSZO,O,O,O,O,X
TIJLSOZ,X,O,O,O,X
TIJLZSO,O,O,O,X,X
TIJLZOS,O,O,X,X,X
TIJLOSZ,X,X,O,O,X
TIJLOZS,O,X,O,X,X
TIJSLZO,O,O,O,O,O
TIJSLOZ,O,O,O,O,O
TIJSZLO,O,O,O,O,X
TIJSZOL,O,O,X,O,X
TIJSOLZ,X,O,O,O,O
TIJSOZL,O,O,X,O,X
TIJZLSO,O,O,O,X,X
TIJZLOS,O,O,X,X,X
TIJZSLO,O,O,O,O,X
TIJZSOL,O,O,X,O,X
TIJZOLS,O,O,X,X,X
TIJZOSL,O,O,X,O,X
TIJOLSZ,X,X,O,O,X
TIJOLZS,X,X,O,X,X
TIJOSLZ,X,O,O,O,O
