sequence,v115@ChA8IeC8BeB8EeB8AeC8EeA8KeT/IvhFlgBmiB5oB/?qBKrBUsB,v115@ChA8IeC8BeB8EeB8AeC8EeA8Kei/IvhFzgBmiB5oBU?lBXrBVxB,v115@ChA8IeC8BeB8EeB8AeC8EeA8KeT/IvhFigBmiB5oB3?lBVwBUsB
TILJSZO,O,O,O
TILJSOZ,O,O,O
TILJZSO,X,O,X
TILJZOS,X,O,X
TILJOSZ,O,O,O
TILJOZS,X,O,X
TILSJZO,O,O,O
TILSJOZ,O,O,O
TILSZJO,O,O,O
TILSZOJ,O,O,O
TILSOJZ,O,O,O
TILSOZJ,O,O,O
TILZJSO,X,O,X
TILZJOS,X,O,X
TILZSJO,X,O,X
TILZSOJ,X,O,X
TILZOJS,X,O,X
TILZOSJ,X,O,X
TILOJSZ,O,O,O
TILOJZS,X,O,X
TILOSJZ,O,O,O
TILOSZJ,O,O,O
TILOZJS,X,O,X
TILOZSJ,X,O,X
TIJLSZO,O,O,O
TIJLSOZ,O,O,O
TIJLZSO,X,O,X
TIJLZOS,X,O,X
TIJLOSZ,O,O,O
TIJLOZS,X,O,X
TIJSLZO,O,O,O
TIJSLOZ,O,O,O
TIJSZLO,X,O,O
TIJSZOL,O,O,O
TIJSOLZ,O,O,O
TIJSOZL,O,O,O
TIJZLSO,O,O,X
TIJZLOS,O,O,X
TIJZSLO,O,O,O
TIJZSOL,O,O,O
TIJZOLS,O,O,X
TIJZOSL,O,O,O
TIJOLSZ,O,O,O
TIJOLZS,X,O,X
TIJOSLZ,O,O,O
TIJOSZL,O,O,O
TIJOZLS,O,O,X
TIJOZSL,O,O,O
TISLJZO,O,O,O
TISLJOZ,O,O,O
TISLZJO,O,O,O
TISLZOJ,O,O,O
TISLOJZ,O,O,O
TISLOZJ,O,O,O
TISJLZO,O,O,O
TISJLOZ,O,O,O
TISJZLO,X,O,O
TISJZOL,O,O,O
TISJOLZ,O,O,O
TISJOZL,O,O,O
TISZLJO,X,O,O
TISZLOJ,X,O,O
TISZJLO,X,O,O
TISZJOL,O,O,O
TISZOLJ,X,O,O
TISZOJL,O,O,O
TISOLJZ,O,O,O
TISOLZJ,O,O,O
TISOJLZ,O,O,O
TISOJZL,O,O,O
TISOZLJ,X,O,O
TISOZJL,O,O,O
TIZLJSO,O,O,X
TIZLJOS,O,O,X
TIZLSJO,O,O,X
TIZLSOJ,O,O,X
TIZLOJS,O,O,X
TIZLOSJ,O,O,X
TIZJLSO,O,O,X
TIZJLOS,O,O,X
TIZJSLO,O,O,O
TIZJSOL,O,O,O
TIZJOLS,O,O,X
TIZJOSL,O,O,O
TIZSLJO,O,O,O
TIZSLOJ,O,O,O
TIZSJLO,O,O,O
TIZSJOL,O,O,O
TIZSOLJ,O,O,O
TIZSOJL,O,O,O
TIZOLJS,O,O,X
TIZOLSJ,O,O,X
TIZOJLS,O,O,X
TIZOJSL,O,O,O
TIZOSLJ,O,O,O
TIZOSJL,O,O,O
TIOLJSZ,O,O,O
TIOLJZS,X,O,X
TIOLSJZ,O,O,O
TIOLSZJ,O,O,O
TIOLZJS,X,O,X
TIOLZSJ,X,O,X
TIOJLSZ,O,O,O
TIOJLZS,X,O,X
TIOJSLZ,O,O,O
TIOJSZL,O,O,O
TIOJZLS,O,O,X
TIOJZSL,O,O,O
TIOSLJZ,O,O,O
TIOSLZJ,O,O,O
TIOSJLZ,O,O,O
TIOSJZL,O,O,O
TIOSZLJ,X,O,O
TIOSZJL,O,O,O
TIOZLJS,O,O,X
TIOZLSJ,O,O,X
TIOZJLS,O,O,X
TIOZJSL,O,O,O
TIOZSLJ,O,O,O
TIOZSJL,O,O,O
TLIJSZO,O,O,O
TLIJSOZ,O,O,O
TLIJZSO,X,O,X
TLIJZOS,X,O,X
TLIJOSZ,O,O,O
TLIJOZS,X,O,X
TLISJZO,O,O,O
TLISJOZ,O,O,O
TLISZJO,O,O,O
TLISZOJ,O,O,O
TLISOJZ,O,O,O
TLISOZJ,O,O,O
TLIZJSO,X,O,X
TLIZJOS,X,O,X
TLIZSJO,X,O,X
TLIZSOJ,X,O,X
TLIZOJS,X,O,X
TLIZOSJ,X,O,X
TLIOJSZ,O,O,O
TLIOJZS,X,O,X
TLIOSJZ,O,O,O
TLIOSZJ,O,O,O
TLIOZJS,X,O,X
TLIOZSJ,X,O,X
TLJISZO,O,O,O
TLJISOZ,O,O,O
TLJIZSO,X,O,X
TLJIZOS,X,O,X
TLJIOSZ,O,O,O
TLJIOZS,X,O,X
TLJSIZO,O,O,O
TLJSIOZ,O,O,O
TLJSZIO,O,O,O
TLJSZOI,O,O,O
TLJSOIZ,O,O,O
TLJSOZI,O,O,O
TLJZISO,X,O,X
TLJZIOS,X,O,X
TLJZSIO,X,O,X
TLJZSOI,X,O,X
TLJZOIS,X,O,X
TLJZOSI,X,O,X
TLJOISZ,O,O,O
TLJOIZS,X,O,X
TLJOSIZ,O,O,O
TLJOSZI,O,O,O
TLJOZIS,X,O,X
TLJOZSI,X,O,X
TLSIJZO,O,O,O
TLSIJOZ,O,O,O
TLSIZJO,O,O,O
TLSIZOJ,O,O,O
TLSIOJZ,O,O,O
TLSIOZJ,O,O,O
TLSJIZO,O,O,O
TLSJIOZ,O,O,O
TLSJZIO,O,O,O
TLSJZOI,O,O,O
TLSJOIZ,O,O,O
TLSJOZI,O,O,O
TLSZIJO,O,O,O
TLSZIOJ,O,O,O
TLSZJIO,O,O,O
TLSZJOI,O,O,O
TLSZOIJ,O,O,O
TLSZOJI,O,O,O
TLSOIJZ,O,O,O
TLSOIZJ,O,O,O
TLSOJIZ,O,O,O
TLSOJZI,O,O,O
TLSOZIJ,O,O,O
TLSOZJI,O,O,O
TLZIJSO,X,O,X
TLZIJOS,X,O,X
TLZISJO,X,O,X
TLZISOJ,X,O,X
TLZIOJS,X,O,X
TLZIOSJ,X,O,X
TLZJISO,X,O,X
TLZJIOS,X,O,X
TLZJSIO,X,O,X
TLZJSOI,X,O,X
TLZJOIS,X,O,X
TLZJOSI,X,O,X
TLZSIJO,X,O,X
TLZSIOJ,X,O,X
TLZSJIO,X,O,X
TLZSJOI,X,O,X
TLZSOIJ,X,O,X
TLZSOJI,X,O,X
TLZOIJS,X,O,X
TLZOISJ,X,O,X
TLZOJIS,X,O,X
TLZOJSI,X,O,X
TLZOSIJ,X,O,X
TLZOSJI,X,O,X
TLOIJSZ,O,O,O
TLOIJZS,X,O,X
TLOISJZ,O,O,O
TLOISZJ,O,O,O
TLOIZJS,X,O,X
TLOIZSJ,X,O,X
TLOJISZ,O,O,O
TLOJIZS,X,O,X
TLOJSIZ,O,O,O
TLOJSZI,O,O,O
TLOJZIS,X,O,X
TLOJZSI,X,O,X
TLOSIJZ,O,O,O
TLOSIZJ,O,O,O
TLOSJIZ,O,O,O
TLOSJZI,O,O,O
