sequence,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBUiBGjBVt?BywB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBihBGjBUoBFs?B3rB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFigBFiBTjBfsBWt?BUrB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBFiBXjB0mBSt?B2wB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBFiB8nB+o?BywB
TILJSZO,O,X,O,X,X
TILJSOZ,O,X,O,X,X
TILJZSO,O,O,X,X,X
TILJZOS,O,O,O,X,X
TILJOSZ,O,X,O,X,X
TILJOZS,O,O,O,X,X
TILSJZO,O,X,O,X,X
TILSJOZ,O,X,O,X,X
TILSZJO,O,O,O,O,X
TILSZOJ,O,O,X,O,X
TILSOJZ,O,X,O,X,X
TILSOZJ,O,O,X,O,X
TILZJSO,O,O,X,O,X
TILZJOS,O,O,X,O,X
TILZSJO,O,O,X,O,X
TILZSOJ,O,O,X,O,X
TILZOJS,O,O,X,O,X
TILZOSJ,O,O,X,O,X
TILOJSZ,O,X,X,X,X
TILOJZS,O,O,X,X,X
TILOSJZ,O,X,X,X,X
TILOSZJ,O,O,X,O,X
TILOZJS,O,O,X,O,X
TILOZSJ,O,O,X,O,X
TIJLSZO,O,X,O,X,X
TIJLSOZ,O,X,O,X,X
TIJLZSO,O,O,X,X,X
TIJLZOS,O,O,O,X,X
TIJLOSZ,O,X,O,X,X
TIJLOZS,O,O,O,X,X
TIJSLZO,O,X,O,X,X
TIJSLOZ,O,X,O,X,X
TIJSZLO,O,X,O,X,O
TIJSZOL,O,X,O,X,O
TIJSOLZ,O,X,O,X,X
TIJSOZL,O,X,O,X,O
TIJZLSO,O,O,X,X,O
TIJZLOS,O,O,O,X,O
TIJZSLO,O,O,X,X,O
TIJZSOL,O,O,X,X,O
TIJZOLS,O,O,O,X,O
TIJZOSL,O,O,X,X,O
TIJOLSZ,O,X,O,X,X
TIJOLZS,O,O,O,X,X
TIJOSLZ,O,X,O,X,X
TIJOSZL,O,X,O,X,O
TIJOZLS,O,O,O,X,O
TIJOZSL,O,O,X,X,O
TISLJZO,O,X,O,X,X
TISLJOZ,O,X,O,X,X
TISLZJO,O,O,O,X,X
TISLZOJ,O,O,X,X,X
TISLOJZ,O,X,O,X,X
TISLOZJ,O,O,X,X,X
TISJLZO,O,X,O,X,X
TISJLOZ,O,X,O,X,X
TISJZLO,O,X,O,X,O
TISJZOL,O,X,O,X,O
TISJOLZ,O,X,O,X,X
TISJOZL,O,X,O,X,O
TISZLJO,O,O,O,X,X
TISZLOJ,O,O,X,X,X
TISZJLO,O,O,O,X,X
TISZJOL,O,O,O,X,X
TISZOLJ,O,O,X,X,X
TISZOJL,O,O,X,X,X
TISOLJZ,O,X,O,X,X
TISOLZJ,O,O,X,X,X
TISOJLZ,O,X,O,X,X
TISOJZL,O,X,O,X,O
TISOZLJ,O,O,X,X,X
TISOZJL,O,O,X,X,X
TIZLJSO,O,O,X,O,X
TIZLJOS,O,O,X,O,X
TIZLSJO,O,O,X,O,X
TIZLSOJ,O,O,X,O,X
TIZLOJS,O,O,X,O,X
TIZLOSJ,O,O,X,O,X
TIZJLSO,O,O,X,O,X
TIZJLOS,O,O,X,O,X
TIZJSLO,O,O,X,X,X
TIZJSOL,O,O,X,X,X
TIZJOLS,O,O,X,O,X
TIZJOSL,O,O,X,X,X
TIZSLJO,O,O,X,O,X
TIZSLOJ,O,O,X,O,X
TIZSJLO,O,O,X,X,X
TIZSJOL,O,O,X,X,X
TIZSOLJ,O,O,X,O,X
TIZSOJL,O,O,X,X,X
TIZOLJS,O,O,X,O,X
TIZOLSJ,O,O,X,O,X
TIZOJLS,O,O,X,O,X
TIZOJSL,O,O,X,X,X
TIZOSLJ,O,O,X,O,X
TIZOSJL,O,O,X,X,X
TIOLJSZ,O,X,X,X,X
TIOLJZS,O,O,X,X,X
TIOLSJZ,O,X,X,X,X
TIOLSZJ,O,O,X,O,X
TIOLZJS,O,O,X,O,X
TIOLZSJ,O,O,X,O,X
TIOJLSZ,O,X,X,X,X
TIOJLZS,O,O,X,X,X
TIOJSLZ,O,X,X,X,X
TIOJSZL,O,X,X,X,O
TIOJZLS,O,O,X,X,O
TIOJZSL,O,O,X,X,O
TIOSLJZ,O,X,X,X,X
TIOSLZJ,O,O,X,X,X
TIOSJLZ,O,X,X,X,X
TIOSJZL,O,X,X,X,O
TIOSZLJ,O,O,X,X,X
TIOSZJL,O,O,X,X,X
TIOZLJS,O,O,X,O,X
TIOZLSJ,O,O,X,O,X
TIOZJLS,O,O,X,O,X
TIOZJSL,O,O,X,X,X
TIOZSLJ,O,O,X,O,X
TIOZSJL,O,O,X,X,X
TLIJSZO,O,X,O,X,X
TLIJSOZ,O,X,O,X,X
TLIJZSO,O,O,X,X,X
TLIJZOS,O,O,O,X,X
TLIJOSZ,O,X,O,X,X
TLIJOZS,O,O,O,X,X
TLISJZO,O,X,O,X,X
TLISJOZ,O,X,O,X,X
TLISZJO,O,O,O,O,X
TLISZOJ,O,O,X,O,X
TLISOJZ,O,X,O,X,X
TLISOZJ,O,O,X,O,X
TLIZJSO,O,O,X,O,X
TLIZJOS,O,O,X,O,X
TLIZSJO,O,O,X,O,X
TLIZSOJ,O,O,X,O,X
TLIZOJS,O,O,X,O,X
TLIZOSJ,O,O,X,O,X
TLIOJSZ,O,X,X,X,X
TLIOJZS,O,O,X,X,X
TLIOSJZ,O,X,X,X,X
TLIOSZJ,O,O,X,O,X
TLIOZJS,O,O,X,O,X
TLIOZSJ,O,O,X,O,X
TLJISZO,O,X,O,X,X
TLJISOZ,O,X,O,X,X
TLJIZSO,O,O,X,X,X
TLJIZOS,O,O,O,X,X
TLJIOSZ,O,X,O,X,X
TLJIOZS,O,O,O,X,X
TLJSIZO,O,X,O,X,X
TLJSIOZ,O,X,O,X,X
TLJSZIO,O,X,O,X,X
TLJSZOI,O,X,O,X,X
TLJSOIZ,O,X,O,X,X
TLJSOZI,O,X,O,X,X
TLJZISO,O,O,X,X,X
TLJZIOS,O,O,O,X,X
TLJZSIO,O,O,X,X,X
TLJZSOI,O,O,X,X,X
TLJZOIS,O,O,O,X,X
TLJZOSI,O,O,X,X,X
TLJOISZ,O,X,O,X,X
TLJOIZS,O,O,O,X,X
TLJOSIZ,O,X,O,X,X
TLJOSZI,O,X,O,X,X
TLJOZIS,O,O,O,X,X
TLJOZSI,O,O,X,X,X
TLSIJZO,O,X,O,X,X
TLSIJOZ,O,X,O,X,X
TLSIZJO,O,O,O,O,X
TLSIZOJ,O,O,X,O,X
TLSIOJZ,O,X,O,X,X
TLSIOZJ,O,O,X,O,X
TLSJIZO,O,X,O,X,X
TLSJIOZ,O,X,O,X,X
TLSJZIO,O,X,O,X,X
TLSJZOI,O,X,O,X,X
TLSJOIZ,O,X,O,X,X
TLSJOZI,O,X,O,X,X
TLSZIJO,O,O,O,O,X
TLSZIOJ,O,O,X,O,X
TLSZJIO,O,O,O,O,X
TLSZJOI,O,O,O,O,X
TLSZOIJ,O,O,X,O,X
TLSZOJI,O,O,X,O,X
TLSOIJZ,O,X,O,X,X
TLSOIZJ,O,O,X,O,X
TLSOJIZ,O,X,O,X,X
TLSOJZI,O,X,O,X,X
TLSOZIJ,O,O,X,O,X
TLSOZJI,O,O,X,O,X
TLZIJSO,O,O,X,O,X
TLZIJOS,O,O,X,O,X
TLZISJO,O,O,X,O,X
