sequence,v115@NhA8IeB8AeD8BeE8JeOEJvhFxgBliBcoBzkBCmBXrB,v115@NhA8IeB8AeD8BeE8Je0/IvhF6lBThBxiB2pBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhFXgB6mBliBcoBRqBzqB,v115@NhA8IeB8AeD8BeE8JeKEJvhFGgBThBxiBUlBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhF0gBxiBzkBSrBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhFXhBxiBzkBSrBFoB0qB,v115@NhA8IeB8AeD8BeE8JeKEJvhFflBThBxiBWrBFoB0qB
TILJSZO,X,O,O,O,X,X,O
TILJSOZ,X,O,X,O,X,O,O
TILJZSO,X,O,O,O,X,X,O
TILJZOS,X,O,O,O,O,X,O
TILJOSZ,X,X,X,X,O,O,O
TILJOZS,X,X,X,X,O,O,O
TILSJZO,X,O,O,O,X,X,O
TILSJOZ,X,O,X,O,X,O,O
TILSZJO,X,O,O,O,X,X,O
TILSZOJ,X,O,O,O,O,O,X
TILSOJZ,X,O,X,O,O,O,O
TILSOZJ,X,O,X,O,O,O,X
TILZJSO,X,X,O,O,X,X,O
TILZJOS,X,X,O,O,O,X,O
TILZSJO,X,X,O,O,X,X,O
TILZSOJ,X,X,O,O,O,O,X
TILZOJS,X,X,O,O,O,O,X
TILZOSJ,X,X,O,O,O,O,X
TILOJSZ,X,X,X,X,O,O,O
TILOJZS,X,X,X,X,O,O,O
TILOSJZ,X,X,X,O,O,O,O
TILOSZJ,X,X,X,O,O,O,X
TILOZJS,X,X,X,O,O,O,X
TILOZSJ,X,X,X,O,O,O,X
TIJLSZO,X,O,O,O,X,X,O
TIJLSOZ,X,O,X,O,X,O,O
TIJLZSO,X,O,O,O,X,X,O
TIJLZOS,X,O,O,O,O,X,O
TIJLOSZ,X,X,X,X,O,O,O
TIJLOZS,X,X,X,X,O,O,O
TIJSLZO,X,O,O,O,X,X,O
TIJSLOZ,X,O,X,O,X,X,O
TIJSZLO,X,O,O,X,X,X,X
TIJSZOL,X,O,O,X,X,X,X
TIJSOLZ,X,O,X,O,O,O,O
TIJSOZL,X,O,X,X,O,X,X
TIJZLSO,X,O,O,X,X,X,O
TIJZLOS,X,O,O,X,X,X,O
TIJZSLO,X,O,O,X,X,X,X
TIJZSOL,X,O,O,X,X,X,X
TIJZOLS,X,O,O,X,O,O,O
TIJZOSL,X,O,O,X,O,X,X
TIJOLSZ,X,X,X,X,O,O,O
TIJOLZS,X,X,X,X,O,O,O
TIJOSLZ,X,O,X,X,O,O,O
TIJOSZL,X,O,X,X,O,X,X
TIJOZLS,X,O,X,X,O,O,O
TIJOZSL,X,O,X,X,O,X,X
TISLJZO,X,O,O,O,X,X,O
TISLJOZ,X,O,X,O,X,O,O
TISLZJO,X,O,O,O,X,X,O
TISLZOJ,X,O,O,O,O,O,X
TISLOJZ,X,O,X,O,O,O,O
TISLOZJ,X,O,X,O,O,O,X
TISJLZO,X,O,O,O,X,X,O
TISJLOZ,X,O,X,O,X,X,O
TISJZLO,X,O,O,X,X,X,X
TISJZOL,X,O,O,X,X,X,X
TISJOLZ,X,O,X,O,O,O,O
TISJOZL,X,O,X,X,O,X,X
TISZLJO,X,O,O,O,X,X,X
TISZLOJ,X,O,O,O,X,X,X
TISZJLO,X,O,O,X,X,X,X
TISZJOL,X,O,O,X,X,X,X
TISZOLJ,X,O,O,O,X,X,X
TISZOJL,X,O,O,X,X,X,X
TISOLJZ,X,O,X,O,O,O,X
TISOLZJ,X,O,X,O,O,O,X
TISOJLZ,X,O,X,O,O,O,X
TISOJZL,X,O,X,X,O,X,X
TISOZLJ,X,O,X,O,O,X,X
TISOZJL,X,O,X,X,O,X,X
TIZLJSO,X,X,O,O,X,X,O
TIZLJOS,X,X,O,O,O,X,O
TIZLSJO,X,X,O,O,X,X,O
TIZLSOJ,X,X,O,O,O,O,X
TIZLOJS,X,X,O,O,O,O,X
TIZLOSJ,X,X,O,O,O,O,X
TIZJLSO,X,O,O,X,X,X,O
TIZJLOS,X,O,O,X,X,X,O
TIZJSLO,X,O,O,X,X,X,X
TIZJSOL,X,O,O,X,X,X,X
TIZJOLS,X,O,O,X,O,O,O
TIZJOSL,X,O,O,X,O,X,X
TIZSLJO,X,O,O,O,X,X,X
TIZSLOJ,X,O,O,O,X,X,X
TIZSJLO,X,O,O,X,X,X,X
TIZSJOL,X,O,O,X,X,X,X
TIZSOLJ,X,O,O,O,X,X,X
TIZSOJL,X,O,O,X,X,X,X
TIZOLJS,X,X,O,X,O,O,X
TIZOLSJ,X,X,O,X,O,O,X
TIZOJLS,X,X,O,X,O,O,X
TIZOJSL,X,X,O,X,O,X,X
TIZOSLJ,X,X,O,X,O,X,X
TIZOSJL,X,X,O,X,O,X,X
TIOLJSZ,X,X,X,X,O,O,O
TIOLJZS,X,X,X,X,O,O,O
TIOLSJZ,X,X,X,O,O,O,O
TIOLSZJ,X,X,X,O,O,O,X
TIOLZJS,X,X,X,O,O,O,X
TIOLZSJ,X,X,X,O,O,O,X
TIOJLSZ,X,X,X,X,O,O,O
TIOJLZS,X,X,X,X,O,O,O
TIOJSLZ,X,O,X,X,O,O,O
TIOJSZL,X,O,X,X,O,X,X
TIOJZLS,X,O,X,X,O,O,O
TIOJZSL,X,O,X,X,O,X,X
TIOSLJZ,X,O,X,O,O,O,X
TIOSLZJ,X,O,X,O,O,O,X
TIOSJLZ,X,O,X,O,O,O,X
TIOSJZL,X,O,X,X,O,X,X
TIOSZLJ,X,O,X,O,O,X,X
TIOSZJL,X,O,X,X,O,X,X
TIOZLJS,X,X,X,X,O,O,X
TIOZLSJ,X,X,X,X,O,O,X
TIOZJLS,X,X,X,X,O,O,X
TIOZJSL,X,X,X,X,O,X,X
TIOZSLJ,X,X,X,X,O,X,X
TIOZSJL,X,X,X,X,O,X,X
TLIJSZO,X,O,O,O,X,X,O
TLIJSOZ,X,O,X,O,X,O,O
TLIJZSO,X,O,O,O,X,X,O
TLIJZOS,X,O,O,O,O,X,O
TLIJOSZ,X,X,X,X,O,O,O
TLIJOZS,X,X,X,X,O,O,O
TLISJZO,X,O,O,O,X,X,O
TLISJOZ,X,O,X,O,X,O,O
TLISZJO,X,O,O,O,X,X,O
TLISZOJ,X,O,O,O,O,O,X
TLISOJZ,X,O,X,O,O,O,O
TLISOZJ,X,O,X,O,O,O,X
TLIZJSO,X,X,O,O,X,X,O
TLIZJOS,X,X,O,O,O,X,O
TLIZSJO,X,X,O,O,X,X,O
TLIZSOJ,X,X,O,O,O,O,X
TLIZOJS,X,X,O,O,O,O,X
TLIZOSJ,X,X,O,O,O,O,X
TLIOJSZ,X,X,X,X,O,O,O
TLIOJZS,X,X,X,X,O,O,O
TLIOSJZ,X,X,X,O,O,O,O
TLIOSZJ,X,X,X,O,O,O,X
TLIOZJS,X,X,X,O,O,O,X
TLIOZSJ,X,X,X,O,O,O,X
TLJISZO,X,O,O,O,X,X,O
TLJISOZ,X,O,X,O,X,O,O
TLJIZSO,X,O,O,O,X,X,O
TLJIZOS,X,O,O,O,O,X,O
TLJIOSZ,X,X,X,X,O,O,O
TLJIOZS,X,X,X,X,O,O,O
TLJSIZO,X,O,X,O,X,X,O
TLJSIOZ,X,O,X,O,X,O,O
TLJSZIO,X,O,X,O,X,X,O
TLJSZOI,X,O,X,O,X,X,O
TLJSOIZ,X,O,X,O,X,O,O
TLJSOZI,X,O,X,O,X,O,O
TLJZISO,X,O,O,O,X,X,O
TLJZIOS,X,O,O,O,O,X,O
TLJZSIO,X,O,O,O,X,X,O
TLJZSOI,X,O,X,O,X,X,O
TLJZOIS,X,O,O,O,O,X,O
TLJZOSI,X,O,X,O,O,X,O
TLJOISZ,X,X,X,X,O,O,O
TLJOIZS,X,X,X,X,O,O,O
TLJOSIZ,X,X,X,X,O,O,O
TLJOSZI,X,X,X,X,O,O,O
TLJOZIS,X,X,X,X,O,O,O
TLJOZSI,X,X,X,X,O,O,O
TLSIJZO,X,O,X,O,X,X,O
TLSIJOZ,X,O,X,O,X,O,O
TLSIZJO,X,O,X,O,X,X,O
TLSIZOJ,X,O,X,O,O,O,X
TLSIOJZ,X,O,X,O,O,O,O
TLSIOZJ,X,O,X,O,O,O,X
TLSJIZO,X,O,X,O,X,X,O
TLSJIOZ,X,O,X,O,X,O,O
TLSJZIO,X,O,X,O,X,X,O
TLSJZOI,X,O,X,O,X,X,O
TLSJOIZ,X,O,X,O,X,O,O
TLSJOZI,X,O,X,O,X,O,O
TLSZIJO,X,O,X,O,X,X,O
TLSZIOJ,X,O,X,O,O,O,X
TLSZJIO,X,O,X,O,X,X,O
TLSZJOI,X,O,X,O,X,X,O
TLSZOIJ,X,O,X,O,O,O,X
TLSZOJI,X,O,X,O,O,O,X
TLSOIJZ,X,O,X,O,O,O,O
TLSOIZJ,X,O,X,O,O,O,X
TLSOJIZ,X,O,X,O,O,O,O
TLSOJZI,X,O,X,O,O,O,O
