sequence,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBRiBcoBOrB6sBzrB,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBRiBcoBKrBzmB+sB,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBanBunBcoBTmBxwB
TILJSZO,X,X,X
TILJSOZ,X,X,X
TILJZSO,X,X,X
TILJZOS,X,X,X
TILJOSZ,X,X,X
TILJOZS,X,X,X
TILSJZO,X,X,X
TILSJOZ,X,X,X
TILSZJO,X,X,O
TILSZOJ,X,X,X
TILSOJZ,X,X,X
TILSOZJ,X,X,X
TILZJSO,X,X,O
TILZJOS,X,X,X
TILZSJO,X,X,O
TILZSOJ,X,X,X
TILZOJS,X,X,X
TILZOSJ,X,X,X
TILOJSZ,X,X,X
TILOJZS,X,X,X
TILOSJZ,X,X,X
TILOSZJ,X,X,X
TILOZJS,X,X,X
TILOZSJ,X,X,X
TIJLSZO,X,X,X
TIJLSOZ,X,X,X
TIJLZSO,X,X,X
TIJLZOS,X,X,X
TIJLOSZ,X,X,X
TIJLOZS,X,X,X
TIJSLZO,X,X,X
TIJSLOZ,X,X,X
TIJSZLO,X,X,X
TIJSZOL,X,X,X
TIJSOLZ,X,X,X
TIJSOZL,X,X,X
TIJZLSO,X,X,X
TIJZLOS,X,X,X
TIJZSLO,X,X,X
TIJZSOL,X,X,X
TIJZOLS,X,X,X
TIJZOSL,X,X,X
TIJOLSZ,X,X,X
TIJOLZS,X,X,X
TIJOSLZ,X,X,X
TIJOSZL,X,X,X
TIJOZLS,X,X,X
TIJOZSL,X,X,X
TISLJZO,X,X,X
TISLJOZ,X,X,X
TISLZJO,X,X,O
TISLZOJ,X,X,X
TISLOJZ,X,X,X
TISLOZJ,X,X,X
TISJLZO,X,X,X
TISJLOZ,X,X,X
TISJZLO,X,X,X
TISJZOL,X,X,X
TISJOLZ,X,X,X
TISJOZL,X,X,X
TISZLJO,X,X,O
TISZLOJ,X,X,X
TISZJLO,X,X,O
TISZJOL,X,X,O
TISZOLJ,X,X,O
TISZOJL,X,X,O
TISOLJZ,X,X,X
TISOLZJ,X,X,O
TISOJLZ,X,X,X
TISOJZL,X,X,X
TISOZLJ,X,X,O
TISOZJL,X,X,O
TIZLJSO,X,X,O
TIZLJOS,X,X,X
TIZLSJO,X,X,O
TIZLSOJ,X,X,X
TIZLOJS,X,X,X
TIZLOSJ,X,X,X
TIZJLSO,X,X,O
TIZJLOS,X,X,X
TIZJSLO,X,X,O
TIZJSOL,X,X,O
TIZJOLS,X,X,O
TIZJOSL,X,X,O
TIZSLJO,X,X,O
TIZSLOJ,X,X,X
TIZSJLO,X,X,O
TIZSJOL,X,X,O
TIZSOLJ,X,X,O
TIZSOJL,X,X,O
TIZOLJS,X,X,O
TIZOLSJ,X,X,O
TIZOJLS,X,X,O
TIZOJSL,X,X,O
TIZOSLJ,X,X,O
TIZOSJL,X,X,O
TIOLJSZ,X,X,X
TIOLJZS,X,X,X
TIOLSJZ,X,X,X
TIOLSZJ,X,X,O
TIOLZJS,X,X,O
TIOLZSJ,X,X,O
TIOJLSZ,X,X,X
TIOJLZS,X,X,X
TIOJSLZ,X,X,X
TIOJSZL,X,X,X
