sequence,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBFhB8mB5nB6tBOtB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBGjBlmBCtBUtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBCjBllBGtBXtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBWoBllBXoBSyB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBSoBlmBUoBWyB
TILJSZO,X,O,X,X,X
TILJSOZ,X,O,X,X,X
TILJZSO,X,X,X,O,X
TILJZOS,X,X,X,O,X
TILJOSZ,X,O,X,X,X
TILJOZS,X,X,X,O,X
TILSJZO,X,O,X,X,X
TILSJOZ,X,O,X,X,X
TILSZJO,O,O,X,X,X
TILSZOJ,O,O,X,X,X
TILSOJZ,X,O,X,X,X
TILSOZJ,O,O,X,X,X
TILZJSO,X,X,X,O,X
TILZJOS,X,X,X,O,X
TILZSJO,O,X,X,O,X
TILZSOJ,O,X,X,O,X
TILZOJS,X,X,X,O,X
TILZOSJ,O,X,X,O,X
TILOJSZ,X,O,X,X,X
TILOJZS,X,X,X,O,X
TILOSJZ,X,O,X,X,X
TILOSZJ,O,O,X,X,X
TILOZJS,X,X,X,O,X
TILOZSJ,O,X,X,O,X
TIJLSZO,X,X,X,X,O
TIJLSOZ,X,X,X,X,O
TIJLZSO,X,X,O,X,X
TIJLZOS,X,X,O,X,X
TIJLOSZ,X,X,X,X,O
TIJLOZS,X,X,O,X,X
TIJSLZO,X,X,X,X,O
TIJSLOZ,X,X,X,X,O
TIJSZLO,X,X,X,X,O
TIJSZOL,X,X,X,X,O
TIJSOLZ,X,X,X,X,O
TIJSOZL,X,X,X,X,O
TIJZLSO,X,X,O,X,X
TIJZLOS,X,X,O,X,X
TIJZSLO,X,X,O,X,X
TIJZSOL,X,X,O,X,X
TIJZOLS,X,X,O,X,X
TIJZOSL,X,X,O,X,X
TIJOLSZ,X,X,X,X,O
TIJOLZS,X,X,O,X,X
TIJOSLZ,X,X,X,X,O
TIJOSZL,X,X,X,X,O
TIJOZLS,X,X,O,X,X
TIJOZSL,X,X,O,X,X
TISLJZO,X,O,X,X,O
TISLJOZ,X,O,X,X,O
TISLZJO,O,O,X,X,X
TISLZOJ,O,O,X,X,X
TISLOJZ,X,O,X,X,O
TISLOZJ,O,O,X,X,X
TISJLZO,X,O,X,X,O
TISJLOZ,X,O,X,X,O
TISJZLO,X,X,X,X,O
TISJZOL,X,X,X,X,O
TISJOLZ,X,O,X,X,O
TISJOZL,X,X,X,X,O
TISZLJO,O,O,X,X,X
TISZLOJ,O,O,X,X,X
TISZJLO,O,X,X,X,O
TISZJOL,O,X,X,X,O
TISZOLJ,O,O,X,X,X
TISZOJL,O,X,X,X,O
TISOLJZ,X,O,X,X,O
TISOLZJ,O,O,X,X,X
TISOJLZ,X,O,X,X,O
TISOJZL,X,X,X,X,O
TISOZLJ,O,O,X,X,X
TISOZJL,O,X,X,X,O
TIZLJSO,X,X,O,O,X
TIZLJOS,X,X,O,O,X
TIZLSJO,O,X,X,O,X
TIZLSOJ,O,X,X,O,X
TIZLOJS,X,X,O,O,X
TIZLOSJ,O,X,X,O,X
TIZJLSO,X,X,O,O,X
TIZJLOS,X,X,O,O,X
TIZJSLO,X,X,O,X,X
TIZJSOL,X,X,O,X,X
TIZJOLS,X,X,O,O,X
TIZJOSL,X,X,O,X,X
TIZSLJO,O,X,X,O,X
TIZSLOJ,O,X,X,O,X
TIZSJLO,O,X,O,X,X
TIZSJOL,O,X,O,X,X
TIZSOLJ,O,X,X,O,X
TIZSOJL,O,X,O,X,X
TIZOLJS,X,X,O,O,X
TIZOLSJ,O,X,X,O,X
TIZOJLS,X,X,O,O,X
TIZOJSL,X,X,O,X,X
TIZOSLJ,O,X,X,O,X
TIZOSJL,O,X,O,X,X
TIOLJSZ,X,O,X,X,X
TIOLJZS,X,X,X,O,X
TIOLSJZ,X,O,X,X,X
TIOLSZJ,O,O,X,X,X
TIOLZJS,X,X,X,O,X
TIOLZSJ,O,X,X,O,X
TIOJLSZ,X,X,X,X,O
TIOJLZS,X,X,O,X,X
TIOJSLZ,X,X,X,X,O
TIOJSZL,X,X,X,X,O
TIOJZLS,X,X,O,X,X
TIOJZSL,X,X,O,X,X
TIOSLJZ,X,O,X,X,O
TIOSLZJ,O,O,X,X,X
TIOSJLZ,X,O,X,X,O
TIOSJZL,X,X,X,X,O
TIOSZLJ,O,O,X,X,X
TIOSZJL,O,X,X,X,O
TIOZLJS,X,X,O,O,X
TIOZLSJ,O,X,X,O,X
TIOZJLS,X,X,O,O,X
TIOZJSL,X,X,O,X,X
TIOZSLJ,O,X,X,O,X
TIOZSJL,O,X,O,X,X
TLIJSZO,X,O,X,X,X
TLIJSOZ,X,O,X,X,X
TLIJZSO,X,X,X,O,X
TLIJZOS,X,X,X,O,X
TLIJOSZ,X,O,X,X,X
TLIJOZS,X,X,X,O,X
TLISJZO,X,O,X,X,X
TLISJOZ,X,O,X,X,X
TLISZJO,O,O,X,X,X
TLISZOJ,O,O,X,X,X
TLISOJZ,X,O,X,X,X
TLISOZJ,O,O,X,X,X
TLIZJSO,X,X,X,O,X
TLIZJOS,X,X,X,O,X
TLIZSJO,O,X,X,O,X
TLIZSOJ,O,X,X,O,X
TLIZOJS,X,X,X,O,X
TLIZOSJ,O,X,X,O,X
TLIOJSZ,X,O,X,X,X
TLIOJZS,X,X,X,O,X
TLIOSJZ,X,O,X,X,X
TLIOSZJ,O,O,X,X,X
TLIOZJS,X,X,X,O,X
TLIOZSJ,O,X,X,O,X
TLJISZO,X,O,X,X,O
TLJISOZ,X,O,X,X,O
TLJIZSO,X,X,O,O,X
TLJIZOS,X,X,O,O,X
TLJIOSZ,X,O,X,X,O
TLJIOZS,X,X,O,O,X
TLJSIZO,X,O,X,X,O
TLJSIOZ,X,O,X,X,O
TLJSZIO,X,O,O,O,O
TLJSZOI,X,O,O,O,O
TLJSOIZ,X,O,X,X,O
TLJSOZI,X,O,O,O,O
TLJZISO,X,X,O,O,X
TLJZIOS,X,X,O,O,X
TLJZSIO,X,O,O,O,O
TLJZSOI,X,O,O,O,O
TLJZOIS,X,X,O,O,X
TLJZOSI,X,O,O,O,O
TLJOISZ,X,O,X,X,O
TLJOIZS,X,X,O,O,X
TLJOSIZ,X,O,X,X,O
TLJOSZI,X,O,O,O,O
TLJOZIS,X,X,O,O,X
TLJOZSI,X,O,O,O,O
TLSIJZO,X,O,X,X,O
TLSIJOZ,X,O,X,X,O
TLSIZJO,O,O,X,X,X
TLSIZOJ,O,O,X,X,X
TLSIOJZ,X,O,X,X,O
TLSIOZJ,O,O,X,X,X
TLSJIZO,X,O,X,X,O
TLSJIOZ,X,O,X,X,O
TLSJZIO,X,O,X,O,O
TLSJZOI,X,O,X,O,O
TLSJOIZ,X,O,X,X,O
TLSJOZI,X,O,X,O,O
TLSZIJO,O,O,X,O,X
TLSZIOJ,O,O,X,O,X
TLSZJIO,O,O,X,O,X
TLSZJOI,O,O,X,O,X
TLSZOIJ,O,O,X,O,X
TLSZOJI,O,O,X,O,X
TLSOIJZ,X,O,X,X,O
TLSOIZJ,O,O,X,X,X
TLSOJIZ,X,O,X,X,O
TLSOJZI,X,O,X,O,O
TLSOZIJ,O,O,X,O,X
TLSOZJI,O,O,X,O,X
TLZIJSO,X,X,O,O,X
TLZIJOS,X,X,O,O,X
TLZISJO,O,X,X,O,X
TLZISOJ,O,X,X,O,X
TLZIOJS,X,X,O,O,X
TLZIOSJ,O,X,X,O,X
TLZJISO,X,X,O,O,X
TLZJIOS,X,X,O,O,X
TLZJSIO,X,O,O,O,X
TLZJSOI,X,O,O,O,X
TLZJOIS,X,X,O,O,X
TLZJOSI,X,O,O,O,X
TLZSIJO,O,O,X,O,X
TLZSIOJ,O,O,X,O,X
TLZSJIO,O,O,X,O,X
TLZSJOI,O,O,X,O,X
TLZSOIJ,O,O,X,O,X
TLZSOJI,O,O,X,O,X
TLZOIJS,X,X,O,O,X
TLZOISJ,O,X,X,O,X
TLZOJIS,X,X,O,O,X
TLZOJSI,X,O,O,O,X
TLZOSIJ,O,O,X,O,X
TLZOSJI,O,O,X,O,X
TLOIJSZ,X,O,X,X,X
TLOIJZS,X,X,X,O,X
TLOISJZ,X,O,X,X,X
TLOISZJ,O,O,X,X,X
TLOIZJS,X,X,X,O,X
TLOIZSJ,O,X,X,O,X
TLOJISZ,X,O,X,X,O
TLOJIZS,X,X,O,O,X
TLOJSIZ,X,O,X,X,O
TLOJSZI,X,O,O,O,O
TLOJZIS,X,X,O,O,X
TLOJZSI,X,O,O,O,O
TLOSIJZ,X,O,X,X,O
TLOSIZJ,O,O,X,X,X
TLOSJIZ,X,O,X,X,O
