sequence,v115@XhD8AeB8AeF8Je0AJvhFxhBTjB3kBCnBlqBOpB,v115@XhD8AeB8AeF8JeZEJvhFCgBGiBTjBVqB3mB8qB,v115@XhD8AeB8AeF8Jex/IvhFSnBTjBOpBXlB8qBlrB,v115@XhD8AeB8AeF8JeRBJvhFSnBTjBOpB/qBUrBlpB,v115@XhD8AeB8AeF8JeZEJvhFWlBSnBTjB8qBXqBlrB,v115@XhD8AeB8AeF8JeSHJvhFTjBxkB8qBOpBXqBlrB
TILJSZO,O,O,X,X,X,X
TILJSOZ,O,O,X,X,X,X
TILJZSO,O,X,X,X,X,X
TILJZOS,O,X,X,X,X,X
TILJOSZ,O,O,X,X,X,X
TILJOZS,O,X,X,X,X,X
TILSJZO,O,O,X,X,X,X
TILSJOZ,O,O,X,X,X,X
TILSZJO,O,O,X,X,X,X
TILSZOJ,O,O,X,X,X,X
TILSOJZ,O,O,X,X,X,X
TILSOZJ,O,O,X,X,X,X
TILZJSO,O,X,X,X,X,X
TILZJOS,O,X,X,X,O,X
TILZSJO,O,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X
TILZOJS,O,X,X,X,O,X
TILZOSJ,O,X,X,X,X,X
TILOJSZ,O,O,X,X,X,X
TILOJZS,O,X,X,X,X,X
TILOSJZ,O,O,X,X,X,X
TILOSZJ,O,O,X,X,X,X
TILOZJS,O,X,X,X,O,X
TILOZSJ,O,X,X,X,X,X
TIJLSZO,X,O,X,X,X,X
TIJLSOZ,X,O,X,X,X,X
TIJLZSO,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,X
TIJLOZS,X,X,X,X,X,X
TIJSLZO,X,O,X,X,X,X
TIJSLOZ,X,O,X,X,X,X
TIJSZLO,X,O,X,X,X,X
TIJSZOL,X,O,X,X,X,X
TIJSOLZ,X,O,X,X,X,X
TIJSOZL,X,O,X,X,X,X
TIJZLSO,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X
TIJZSLO,X,O,X,X,X,X
TIJZSOL,X,O,X,X,X,X
TIJZOLS,X,X,X,X,X,X
TIJZOSL,X,O,X,X,X,X
TIJOLSZ,X,O,X,X,X,X
TIJOLZS,X,X,X,X,X,X
TIJOSLZ,X,O,X,X,X,X
TIJOSZL,X,O,X,X,X,X
TIJOZLS,X,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X
TISLJZO,O,O,X,X,X,X
TISLJOZ,O,O,X,X,X,X
TISLZJO,O,O,X,X,X,X
TISLZOJ,O,O,X,X,X,X
TISLOJZ,O,O,X,X,X,X
TISLOZJ,O,O,X,X,X,X
TISJLZO,X,O,X,X,X,X
TISJLOZ,X,O,X,X,X,X
TISJZLO,X,O,X,X,X,X
TISJZOL,X,O,X,X,X,X
TISJOLZ,X,O,X,X,X,X
TISJOZL,X,O,X,X,X,X
TISZLJO,O,O,X,X,X,X
TISZLOJ,O,O,X,X,X,X
TISZJLO,O,O,X,X,X,X
TISZJOL,X,O,X,X,X,X
TISZOLJ,O,O,X,X,X,X
TISZOJL,X,O,X,X,X,X
TISOLJZ,O,O,X,X,X,X
TISOLZJ,O,O,X,X,X,X
TISOJLZ,X,O,X,X,X,X
TISOJZL,X,O,X,X,X,X
TISOZLJ,O,O,X,X,X,X
TISOZJL,X,O,X,X,X,X
TIZLJSO,O,X,X,X,X,X
TIZLJOS,O,X,X,X,O,X
TIZLSJO,O,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,X
TIZLOJS,O,X,X,X,O,X
TIZLOSJ,O,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X
TIZJLOS,O,X,X,X,O,X
TIZJSLO,O,O,X,X,X,X
TIZJSOL,X,O,X,X,X,X
TIZJOLS,X,X,X,X,O,X
TIZJOSL,X,O,X,X,X,X
TIZSLJO,O,O,X,X,X,X
TIZSLOJ,O,O,X,X,X,X
TIZSJLO,O,O,X,X,X,X
TIZSJOL,X,O,X,X,X,X
TIZSOLJ,O,O,X,X,X,X
TIZSOJL,X,O,X,X,X,X
TIZOLJS,O,X,X,X,O,X
TIZOLSJ,O,X,X,X,X,X
TIZOJLS,X,X,X,X,O,X
TIZOJSL,X,O,X,X,X,X
TIZOSLJ,O,O,X,X,X,X
TIZOSJL,X,O,X,X,X,X
TIOLJSZ,O,O,X,X,X,X
TIOLJZS,O,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,X
TIOLSZJ,O,O,X,X,X,X
TIOLZJS,O,X,X,X,O,X
TIOLZSJ,O,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,X
TIOJLZS,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,X
TIOJSZL,X,O,X,X,X,X
TIOJZLS,X,X,X,X,X,X
TIOJZSL,X,O,X,X,X,X
TIOSLJZ,O,O,X,X,X,X
TIOSLZJ,O,O,X,X,X,X
TIOSJLZ,X,O,X,X,X,X
TIOSJZL,X,O,X,X,X,X
TIOSZLJ,O,O,X,X,X,X
TIOSZJL,X,O,X,X,X,X
TIOZLJS,O,X,X,X,O,X
TIOZLSJ,O,X,X,X,X,X
TIOZJLS,X,X,X,X,O,X
TIOZJSL,X,O,X,X,X,X
TIOZSLJ,O,O,X,X,X,X
TIOZSJL,X,O,X,X,X,X
TLIJSZO,O,O,X,X,X,X
TLIJSOZ,O,O,X,X,X,X
TLIJZSO,O,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X
TLIJOSZ,O,O,X,X,X,X
TLIJOZS,O,X,X,X,X,X
TLISJZO,O,O,X,X,X,X
TLISJOZ,O,O,X,X,X,X
TLISZJO,O,O,X,X,X,X
TLISZOJ,O,O,X,X,X,X
TLISOJZ,O,O,X,X,X,X
TLISOZJ,O,O,X,X,X,X
TLIZJSO,O,X,X,X,X,X
TLIZJOS,O,X,X,X,O,X
TLIZSJO,O,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X
TLIZOJS,O,X,X,X,O,X
TLIZOSJ,O,X,X,X,X,X
TLIOJSZ,O,O,X,X,X,X
TLIOJZS,O,X,X,X,X,X
TLIOSJZ,O,O,X,X,X,X
TLIOSZJ,O,O,X,X,X,X
TLIOZJS,O,X,X,X,O,X
TLIOZSJ,O,X,X,X,X,X
TLJISZO,O,O,X,X,X,X
TLJISOZ,O,O,X,X,X,X
TLJIZSO,O,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X
TLJIOSZ,O,O,X,X,X,X
TLJIOZS,O,X,X,X,X,X
TLJSIZO,O,O,X,X,X,X
TLJSIOZ,O,O,X,X,X,X
TLJSZIO,O,X,X,O,X,X
TLJSZOI,O,X,X,O,X,X
TLJSOIZ,O,O,X,X,X,X
TLJSOZI,O,X,X,O,X,X
TLJZISO,O,X,X,X,X,X
TLJZIOS,O,X,X,X,X,X
TLJZSIO,O,X,O,X,X,X
TLJZSOI,O,X,O,X,X,X
TLJZOIS,O,X,X,X,X,X
TLJZOSI,O,X,O,X,X,X
