sequence,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeUAJvhFXiBTjB?tpBerBCmBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeCAJvhFXiBTjB?8pBtqBOrBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8Jez/IvhF0hBxiB?CqB2wBtqBXtB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeOGJvhFXiBTjB?SqBtpB0qBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeTDJvhFRqBupB?9qBKrBfsB0sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8Je5EJvhFNlBamB?TjBWwBfsB0sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JezBJvhFRqBupB?9qBKrBctB3sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeRAJvhFTjBtpB?XmB0qB2xBCsB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JemBJvhFRqBtpB?6qBctBTrB3sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeRAJvhFTjBupB?9qBKrBfsB0sB
TILJSZO,O,X,O,X,O,O,O,X,X,X
TILJSOZ,O,X,O,X,O,O,O,X,X,X
TILJZSO,O,X,O,X,O,O,O,X,X,X
TILJZOS,O,X,O,X,O,O,O,X,O,X
TILJOSZ,O,X,O,X,O,O,O,X,O,X
TILJOZS,O,X,O,X,O,O,O,X,O,X
TILSJZO,O,X,X,X,O,X,O,X,X,X
TILSJOZ,O,X,X,X,O,X,O,X,X,X
TILSZJO,O,X,X,X,O,X,O,X,X,X
TILSZOJ,O,X,X,X,O,X,O,X,O,X
TILSOJZ,O,X,X,X,O,X,O,X,O,X
TILSOZJ,O,X,X,X,O,X,O,X,O,X
TILZJSO,O,X,X,X,O,X,O,X,X,X
TILZJOS,O,X,X,X,O,X,O,X,O,X
TILZSJO,O,X,X,X,O,X,O,X,X,X
TILZSOJ,O,X,X,X,O,X,O,X,O,X
TILZOJS,O,X,X,X,O,X,O,X,O,X
TILZOSJ,O,X,X,X,O,X,O,X,O,X
TILOJSZ,O,X,O,X,O,O,O,X,O,X
TILOJZS,O,X,O,X,O,O,O,X,O,X
TILOSJZ,O,X,X,X,O,X,O,X,O,X
TILOSZJ,O,X,X,X,O,X,O,X,O,X
TILOZJS,O,X,X,X,O,X,O,X,O,X
TILOZSJ,O,X,X,X,O,X,O,X,O,X
TIJLSZO,O,X,O,X,O,O,O,X,X,X
TIJLSOZ,O,X,O,X,O,O,O,X,X,X
TIJLZSO,O,X,O,X,O,O,O,X,X,X
TIJLZOS,O,X,O,X,O,O,O,X,O,X
TIJLOSZ,O,X,O,X,O,O,O,X,O,X
TIJLOZS,O,X,O,X,O,O,O,X,O,X
TIJSLZO,O,X,X,X,O,O,O,X,X,X
TIJSLOZ,O,X,X,X,O,O,O,X,X,X
TIJSZLO,O,X,X,X,X,X,O,X,X,X
TIJSZOL,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,O,O,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,O,O,O,X,X,X
TIJZLOS,O,X,O,X,O,O,O,X,O,X
TIJZSLO,O,X,X,X,X,X,O,X,X,X
TIJZSOL,O,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,O,O,O,X,O,X
TIJZOSL,O,X,X,X,X,X,X,X,O,X
TIJOLSZ,O,X,X,X,O,O,O,X,O,X
TIJOLZS,O,X,X,X,O,O,O,X,O,X
TIJOSLZ,O,X,X,X,O,O,X,X,O,X
TIJOSZL,O,X,X,X,X,X,X,X,O,X
TIJOZLS,O,X,X,X,O,O,O,X,O,X
TIJOZSL,O,X,X,X,X,X,X,X,O,X
TISLJZO,O,X,X,X,O,X,O,X,X,X
TISLJOZ,O,X,X,X,O,X,O,X,X,X
TISLZJO,O,X,X,X,O,X,O,X,X,X
TISLZOJ,O,X,X,X,O,X,O,X,O,X
TISLOJZ,O,X,X,X,O,X,O,X,O,X
TISLOZJ,O,X,X,X,O,X,O,X,O,X
TISJLZO,O,X,X,X,O,O,O,X,X,X
TISJLOZ,O,X,X,X,O,O,O,X,X,X
TISJZLO,O,X,X,X,X,X,O,O,X,X
TISJZOL,O,X,X,X,X,X,X,O,X,X
TISJOLZ,O,X,X,X,O,O,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,O,X,X
TISZLJO,O,O,X,X,X,X,O,O,X,X
TISZLOJ,O,O,X,X,X,X,O,O,O,X
TISZJLO,O,O,X,X,X,X,O,O,X,X
TISZJOL,O,O,X,X,X,X,X,O,X,X
TISZOLJ,O,O,X,X,X,X,X,O,O,X
TISZOJL,O,O,X,X,X,X,X,O,O,X
TISOLJZ,O,X,X,X,O,X,X,X,O,X
TISOLZJ,O,X,X,X,O,X,X,X,O,X
TISOJLZ,O,X,X,X,O,O,X,X,O,X
TISOJZL,O,X,X,X,X,X,X,O,O,X
TISOZLJ,O,O,X,X,X,X,X,O,O,X
TISOZJL,O,O,X,X,X,X,X,O,O,X
TIZLJSO,O,O,X,X,O,X,O,X,X,X
TIZLJOS,O,O,X,X,O,X,O,X,O,X
TIZLSJO,O,O,X,X,O,X,O,X,X,X
TIZLSOJ,O,O,X,X,O,X,O,X,O,X
TIZLOJS,O,O,X,X,O,X,O,X,O,X
TIZLOSJ,O,O,X,X,O,X,O,X,O,X
TIZJLSO,O,O,X,X,O,O,O,X,X,X
TIZJLOS,O,O,X,X,O,O,O,X,O,X
TIZJSLO,O,O,X,X,X,X,O,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X,X,X
TIZJOLS,O,O,X,X,O,O,O,X,O,X
TIZJOSL,O,O,X,X,X,X,X,X,O,X
TIZSLJO,O,O,X,X,X,X,O,X,X,X
TIZSLOJ,O,O,X,X,X,X,O,X,O,X
TIZSJLO,O,O,X,X,X,X,O,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,O,X
TIZSOJL,O,O,X,X,X,X,X,X,O,X
TIZOLJS,O,O,X,X,O,X,O,X,O,X
TIZOLSJ,O,O,X,X,O,X,O,X,O,X
TIZOJLS,O,O,X,X,O,O,O,X,O,X
TIZOJSL,O,O,X,X,X,X,X,X,O,X
TIZOSLJ,O,O,X,X,X,X,X,X,O,X
TIZOSJL,O,O,X,X,X,X,X,X,O,X
TIOLJSZ,O,X,X,X,O,O,O,X,O,X
TIOLJZS,O,X,X,X,O,O,O,X,O,X
TIOLSJZ,O,X,X,X,O,X,O,X,O,X
TIOLSZJ,O,X,X,X,O,X,O,X,O,X
TIOLZJS,O,X,X,X,O,X,O,X,O,X
TIOLZSJ,O,X,X,X,O,X,O,X,O,X
TIOJLSZ,O,X,X,X,O,O,O,X,O,X
TIOJLZS,O,X,X,X,O,O,O,X,O,X
TIOJSLZ,O,X,X,X,O,O,X,X,O,X
TIOJSZL,O,X,X,X,X,X,X,X,O,X
TIOJZLS,O,X,X,X,O,O,O,X,O,X
TIOJZSL,O,X,X,X,X,X,X,X,O,X
TIOSLJZ,O,X,X,X,O,X,X,X,O,X
TIOSLZJ,O,X,X,X,O,X,X,X,O,X
TIOSJLZ,O,X,X,X,O,O,X,X,O,X
TIOSJZL,O,X,X,X,X,X,X,O,O,X
TIOSZLJ,O,O,X,X,X,X,X,O,O,X
TIOSZJL,O,O,X,X,X,X,X,O,O,X
TIOZLJS,O,O,X,X,O,X,O,X,O,X
TIOZLSJ,O,O,X,X,O,X,O,X,O,X
TIOZJLS,O,O,X,X,O,O,O,X,O,X
