sequence,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgBWnBxiBToBXsByvB,v115@HhA8IeF8DeB8EeC8Jel/IvhF3gBTjBxsBurBcsByvB,v115@HhA8IeF8DeB8EeC8Jex/IvhFmhBCjBToBXsBUqBFrB,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgBWnBTjBxsByvBXsB,v115@HhA8IeF8DeB8EeC8Je0/IvhFmgBCiBTjBxsB1vBXsB,v115@HhA8IeF8DeB8EeC8Je0/IvhFxgBKnBziB+oB3qB1wB,v115@HhA8IeF8DeB8EeC8Jel/IvhFUhBRiB+oB3nBTqBywB,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgB3hBOsBToBCoBxvB,v115@HhA8IeF8DeB8EeC8Jel/IvhFRhBGjBUoBXsBTqBirB,v115@HhA8IeF8DeB8EeC8Jel/IvhFUhBGjBxsBTqBisB3rB,v115@HhA8IeF8DeB8EeC8Jex/IvhFKnBziB+oBFqBXrB0rB,v115@HhA8IeF8DeB8EeC8Je0/IvhFxgBOnB6oBznB3qB1wB,v115@HhA8IeF8DeB8EeC8Jel/IvhFThBiiB+oB3nBcqBRwB,v115@HhA8IeF8DeB8EeC8Jex/IvhFOnB6oBznBFqBXrB0rB,v115@HhA8IeF8DeB8EeC8JeSFJvhFxiBcsBToBlrBmpBXrB,v115@HhA8IeF8DeB8EeC8Jel/IvhFThBOnBXjBStBcqBRwB,v115@HhA8IeF8DeB8EeC8Je0/IvhFVmBxnBGoBisBTqB3rB
TILJSZO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TILJSOZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TILJZSO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O
TILJZOS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O
TILJOSZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TILJOZS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TILSJZO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILSZJO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TILSZOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILSOZJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TILZJOS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TILZSJO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TILZSOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TILZOSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILOJSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TILOJZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TILOSJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILOSZJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILOZJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TILOZSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJLSZO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJLSOZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TIJLZSO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZOS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TIJLOSZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TIJLOZS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TIJSLZO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
