sequence,v115@QhA8DeF8BeC8CeB8Jei/IvhFzgBUiBFjBxpB3pBWxB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBFiBXjBKpBzkBWxB,v115@QhA8DeF8BeC8CeB8JeZEJvhFzfBWmBFjBCqB/sB0rB,v115@QhA8DeF8BeC8CeB8JezAJvhFCiBXjBxpBOpB8pBVxB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBzhBFjB2pB3pBSxB,v115@QhA8DeF8BeC8CeB8JeZEJvhF8lBzhBXjBupBFlBSxB,v115@QhA8DeF8BeC8CeB8Jez/IvhFWmBFjBxpBKpB/sB0rB,v115@QhA8DeF8BeC8CeB8Je2EJvhFRgBFjB3lBTpBCsBUsB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBCiBXjBmkBTpBVxB
TILJSZO,O,X,O,O,X,X,O,X,X
TILJSOZ,O,X,O,O,X,X,O,X,X
TILJZSO,O,X,O,O,X,X,O,X,X
TILJZOS,O,X,O,O,X,X,O,X,X
TILJOSZ,O,X,O,O,X,X,O,X,X
TILJOZS,O,X,O,O,X,X,O,X,X
TILSJZO,O,X,O,O,X,X,O,X,X
TILSJOZ,O,X,O,O,X,X,O,X,X
TILSZJO,O,O,O,O,X,X,O,X,X
TILSZOJ,O,O,O,O,X,X,O,X,X
TILSOJZ,O,X,O,O,X,X,O,X,X
TILSOZJ,O,O,O,O,X,X,O,X,X
TILZJSO,X,O,O,O,X,X,O,X,X
TILZJOS,X,X,O,O,X,X,O,X,X
TILZSJO,X,O,O,O,X,X,O,X,X
TILZSOJ,X,O,O,O,X,X,O,X,X
TILZOJS,X,O,O,O,X,X,O,X,X
TILZOSJ,X,O,O,O,X,X,O,X,X
TILOJSZ,O,X,O,O,X,X,O,X,X
TILOJZS,O,X,O,O,X,X,O,X,X
TILOSJZ,O,X,O,O,X,X,O,X,X
TILOSZJ,O,O,O,O,X,X,O,X,X
TILOZJS,X,O,O,O,X,X,O,X,X
TILOZSJ,X,O,O,O,X,X,O,X,X
TIJLSZO,O,X,O,O,X,X,O,X,X
TIJLSOZ,O,X,O,O,X,X,O,X,X
TIJLZSO,O,X,O,O,X,X,O,X,X
TIJLZOS,O,X,O,O,X,X,O,X,X
TIJLOSZ,O,X,O,O,X,X,O,X,X
TIJLOZS,O,X,O,O,X,X,O,X,X
TIJSLZO,O,X,O,O,X,X,O,X,X
TIJSLOZ,O,X,O,O,X,X,O,X,X
TIJSZLO,O,X,X,O,X,X,O,X,X
TIJSZOL,O,X,X,O,X,O,X,X,X
TIJSOLZ,O,X,X,O,X,X,O,X,X
TIJSOZL,O,X,X,O,X,O,X,X,X
TIJZLSO,O,X,O,O,O,X,O,X,X
TIJZLOS,O,X,O,O,O,X,O,X,X
TIJZSLO,O,X,X,O,O,X,O,X,X
TIJZSOL,O,X,X,O,O,O,X,X,X
TIJZOLS,O,X,X,O,O,X,X,X,X
TIJZOSL,O,X,X,O,X,O,X,X,X
TIJOLSZ,O,X,O,O,X,X,O,X,X
TIJOLZS,O,X,O,O,X,X,O,X,X
TIJOSLZ,O,X,X,O,X,X,O,X,X
TIJOSZL,O,X,X,O,X,O,X,X,X
TIJOZLS,O,X,X,O,O,X,X,X,X
TIJOZSL,O,X,X,O,O,O,X,X,X
TISLJZO,O,X,O,O,X,X,O,X,X
TISLJOZ,O,X,O,O,X,X,O,X,X
TISLZJO,O,O,O,O,X,X,O,X,X
TISLZOJ,O,O,O,O,X,X,O,X,X
TISLOJZ,O,X,O,O,X,X,O,X,X
TISLOZJ,O,O,O,O,X,X,O,X,X
TISJLZO,O,X,O,O,X,X,O,X,X
TISJLOZ,O,X,O,O,X,X,O,X,X
TISJZLO,O,X,X,O,X,X,O,X,X
TISJZOL,O,X,X,O,X,O,X,X,X
TISJOLZ,O,X,X,O,X,X,O,X,X
TISJOZL,O,X,X,O,X,O,X,X,X
TISZLJO,O,O,X,O,X,X,O,X,X
TISZLOJ,O,O,X,O,X,X,O,X,X
TISZJLO,O,O,X,O,X,X,O,X,X
TISZJOL,O,X,X,O,X,O,X,X,X
TISZOLJ,O,O,X,O,X,X,X,X,X
TISZOJL,O,X,X,O,X,O,X,X,X
TISOLJZ,O,X,X,O,X,X,O,O,X
TISOLZJ,O,X,X,O,X,X,O,O,X
TISOJLZ,O,X,X,O,X,X,O,O,X
TISOJZL,O,X,X,O,X,O,X,O,X
TISOZLJ,O,X,X,O,X,X,X,O,X
TISOZJL,O,X,X,O,X,O,X,O,X
TIZLJSO,X,O,O,O,X,X,O,X,X
TIZLJOS,X,X,O,O,X,X,O,X,X
TIZLSJO,O,O,O,O,X,X,O,X,X
TIZLSOJ,O,O,O,O,X,X,O,X,X
TIZLOJS,X,O,O,O,O,X,O,X,X
TIZLOSJ,O,O,O,O,X,X,O,X,X
TIZJLSO,O,X,O,O,O,X,O,X,X
TIZJLOS,O,X,O,O,O,X,O,X,X
TIZJSLO,O,O,X,O,O,X,O,X,X
TIZJSOL,O,X,X,O,O,O,X,X,X
TIZJOLS,O,X,X,O,O,X,X,X,X
TIZJOSL,O,X,X,O,O,O,X,X,X
TIZSLJO,O,O,X,O,X,X,O,X,X
TIZSLOJ,O,O,X,O,X,X,O,X,X
TIZSJLO,O,O,X,O,X,X,O,X,X
TIZSJOL,O,X,X,O,X,O,X,X,X
TIZSOLJ,O,O,X,O,X,X,X,X,X
TIZSOJL,O,X,X,O,O,O,X,X,X
TIZOLJS,X,X,X,O,O,X,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,X
TIZOJLS,O,X,X,O,O,X,X,X,X
TIZOJSL,O,X,X,O,O,O,X,X,X
TIZOSLJ,O,O,X,O,X,X,X,X,X
TIZOSJL,O,X,X,O,O,O,X,X,X
TIOLJSZ,O,X,O,O,X,X,O,X,X
TIOLJZS,O,X,O,O,X,X,O,X,X
TIOLSJZ,O,X,O,O,X,X,O,X,X
TIOLSZJ,O,X,O,O,X,X,O,X,X
TIOLZJS,X,X,O,O,X,X,O,X,X
TIOLZSJ,X,X,O,O,X,X,O,X,X
