sequence,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBFlBCl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBClBFl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBOpBimBlk?BzrB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFxhBXjB1pByrBOp?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFqkBTgBUiBFjBmr?B/rB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFFjBOpBxmB0kB/r?BasB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBTkBmrBlr?BipB
TILJSZO,X,X,X,O,O,X,X
TILJSOZ,X,X,X,O,O,X,X
TILJZSO,X,X,X,O,O,X,X
TILJZOS,X,X,X,O,O,X,X
TILJOSZ,X,X,X,O,O,O,X
TILJOZS,X,X,X,O,O,O,X
TILSJZO,O,O,X,O,O,X,X
TILSJOZ,X,X,X,O,O,X,X
TILSZJO,O,O,X,O,X,X,X
TILSZOJ,O,O,X,O,X,X,X
TILSOJZ,X,X,X,O,O,X,X
TILSOZJ,X,X,X,O,X,X,X
TILZJSO,O,O,X,O,O,X,X
TILZJOS,O,O,X,O,O,X,X
TILZSJO,O,O,X,O,X,X,X
TILZSOJ,O,O,X,O,X,X,X
TILZOJS,O,O,X,O,O,X,X
TILZOSJ,O,O,X,O,X,X,X
TILOJSZ,X,X,X,O,O,O,X
TILOJZS,X,X,X,O,O,O,X
TILOSJZ,X,X,X,O,O,X,X
TILOSZJ,X,X,X,O,X,X,X
TILOZJS,X,X,X,O,O,X,X
TILOZSJ,X,X,X,O,X,X,X
TIJLSZO,X,X,X,X,O,X,X
TIJLSOZ,X,X,X,X,O,X,X
TIJLZSO,X,X,X,X,O,X,X
TIJLZOS,X,X,X,X,O,X,X
TIJLOSZ,X,X,X,X,O,O,X
TIJLOZS,X,X,X,X,O,O,X
TIJSLZO,O,X,X,X,O,X,X
TIJSLOZ,X,X,X,X,O,X,X
TIJSZLO,O,X,X,X,X,X,X
TIJSZOL,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,O,X
TIJSOZL,O,X,X,X,X,O,X
TIJZLSO,O,X,X,X,O,X,X
TIJZLOS,O,X,X,X,O,X,X
TIJZSLO,O,X,X,X,X,X,X
TIJZSOL,O,X,X,X,X,X,X
TIJZOLS,O,X,X,X,X,O,X
TIJZOSL,O,X,X,X,X,O,X
TIJOLSZ,X,X,X,X,O,O,X
TIJOLZS,X,X,X,X,O,O,X
TIJOSLZ,X,X,X,X,X,O,X
TIJOSZL,X,X,X,X,X,O,X
TIJOZLS,X,X,X,X,X,O,X
TIJOZSL,X,X,X,X,X,O,X
TISLJZO,O,O,X,O,O,X,X
TISLJOZ,X,X,X,O,O,X,X
TISLZJO,O,O,X,O,X,X,X
TISLZOJ,O,O,X,O,X,X,X
TISLOJZ,X,X,X,O,O,X,X
TISLOZJ,X,X,X,O,X,X,X
TISJLZO,O,O,X,X,O,X,X
TISJLOZ,X,X,X,X,O,X,X
TISJZLO,O,X,X,X,X,X,X
TISJZOL,O,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,O,X
TISJOZL,O,X,X,X,X,O,X
TISZLJO,O,O,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X
TISZOJL,O,O,X,X,X,X,X
TISOLJZ,X,X,X,O,X,X,X
TISOLZJ,X,X,X,O,X,X,X
TISOJLZ,X,X,X,X,X,O,X
TISOJZL,O,X,X,X,X,O,X
TISOZLJ,O,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X
TIZLJSO,O,O,X,X,O,X,X
TIZLJOS,O,O,X,X,O,X,X
TIZLSJO,O,O,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X
TIZLOJS,O,O,X,X,O,X,X
TIZLOSJ,O,O,X,X,X,X,X
TIZJLSO,O,O,X,X,O,X,X
TIZJLOS,O,O,X,X,O,X,X
TIZJSLO,O,O,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X
TIZJOLS,O,O,X,X,X,O,X
TIZJOSL,O,O,X,X,X,O,X
TIZSLJO,O,O,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X
TIZOJLS,O,O,X,X,X,O,X
TIZOJSL,O,O,X,X,X,O,X
TIZOSLJ,O,O,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X
TIOLJSZ,X,X,X,O,O,O,X
TIOLJZS,X,X,X,O,O,O,X
TIOLSJZ,X,X,X,O,O,X,X
TIOLSZJ,X,X,X,O,X,X,X
TIOLZJS,X,X,X,O,O,X,X
TIOLZSJ,X,X,X,O,X,X,X
TIOJLSZ,X,X,X,X,O,O,X
TIOJLZS,X,X,X,X,O,O,X
TIOJSLZ,X,X,X,X,X,O,X
TIOJSZL,X,X,X,X,X,O,X
TIOJZLS,X,X,X,X,X,O,X
TIOJZSL,X,X,X,X,X,O,X
TIOSLJZ,X,X,X,O,X,X,X
TIOSLZJ,X,X,X,O,X,X,X
TIOSJLZ,X,X,X,X,X,O,X
TIOSJZL,O,X,X,X,X,O,X
TIOSZLJ,O,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X
TIOZLJS,O,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X
TIOZJLS,O,X,X,X,X,O,X
TIOZJSL,O,X,X,X,X,O,X
TIOZSLJ,O,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,X
TLIJSZO,X,X,O,O,O,X,X
TLIJSOZ,X,X,X,O,O,X,X
TLIJZSO,X,X,O,O,O,X,X
TLIJZOS,X,X,X,O,O,X,X
TLIJOSZ,X,X,X,O,O,O,X
TLIJOZS,X,X,X,O,O,O,X
TLISJZO,O,O,O,O,O,X,X
TLISJOZ,X,X,X,O,O,X,X
TLISZJO,O,O,O,O,X,X,X
TLISZOJ,O,O,X,O,X,X,X
TLISOJZ,X,X,X,O,O,X,X
TLISOZJ,X,X,X,O,X,X,X
TLIZJSO,O,O,O,O,O,X,X
TLIZJOS,O,O,X,O,O,X,X
TLIZSJO,O,O,O,O,X,X,X
TLIZSOJ,O,O,X,O,X,X,X
TLIZOJS,O,O,X,O,O,X,X
TLIZOSJ,O,O,X,O,X,X,X
TLIOJSZ,X,X,X,O,O,O,X
TLIOJZS,X,X,X,O,O,O,X
TLIOSJZ,X,X,X,O,O,X,X
TLIOSZJ,X,X,X,O,X,X,X
TLIOZJS,X,X,X,O,O,X,X
TLIOZSJ,X,X,X,O,X,X,X
TLJISZO,X,X,O,O,O,X,X
TLJISOZ,X,X,X,O,O,X,X
TLJIZSO,X,X,O,O,O,X,X
TLJIZOS,X,X,X,O,O,X,X
TLJIOSZ,X,X,X,O,O,O,X
TLJIOZS,X,X,X,O,O,O,X
TLJSIZO,X,X,O,O,O,X,X
TLJSIOZ,X,X,X,O,O,X,X
TLJSZIO,X,X,O,O,X,X,X
TLJSZOI,X,X,O,O,X,X,X
TLJSOIZ,X,X,X,O,O,X,X
TLJSOZI,X,X,X,O,X,X,X
TLJZISO,X,X,O,O,O,X,X
TLJZIOS,X,X,X,O,O,X,X
