sequence,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFmgB5oBXlBF?nBCnBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFumBcnB5oBX?lBKrBlqB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke2EJvhFlhBcnB5oB3?lBClBTrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke/EJvhFalBzgBcnB5?oBFrBurB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KezAJvhFCiB5oBmkBX?nBlkBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Kei/IvhF3gBTiB5oBW?qBlrBcrB
TILJSZO,X,X,X,X,X,O
TILJSOZ,X,X,X,X,X,O
TILJZSO,X,X,X,X,X,O
TILJZOS,X,X,X,X,X,O
TILJOSZ,X,X,X,X,X,O
TILJOZS,X,X,X,X,X,O
TILSJZO,X,X,X,O,X,O
TILSJOZ,O,X,X,O,X,O
TILSZJO,X,O,X,O,X,X
TILSZOJ,X,O,X,O,X,X
TILSOJZ,O,X,X,O,X,O
TILSOZJ,X,O,X,O,X,X
TILZJSO,O,O,X,X,X,O
TILZJOS,X,O,X,X,X,O
TILZSJO,O,O,X,O,X,X
TILZSOJ,O,O,X,O,X,X
TILZOJS,X,O,X,X,X,O
TILZOSJ,X,O,X,O,X,X
TILOJSZ,X,X,X,X,X,O
TILOJZS,X,X,X,X,X,O
TILOSJZ,O,X,X,O,X,O
TILOSZJ,X,O,X,O,X,X
TILOZJS,X,O,X,X,X,O
TILOZSJ,X,O,X,O,X,X
TIJLSZO,X,X,X,X,X,O
TIJLSOZ,X,X,X,X,X,O
TIJLZSO,X,X,X,X,X,O
TIJLZOS,X,X,X,X,X,O
TIJLOSZ,X,X,X,X,X,O
TIJLOZS,X,X,X,X,X,O
TIJSLZO,X,X,X,O,O,O
TIJSLOZ,O,X,X,O,X,O
TIJSZLO,X,X,O,O,O,O
TIJSZOL,O,X,O,O,O,O
TIJSOLZ,O,X,X,O,X,O
TIJSOZL,O,X,X,O,X,O
