sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
TILJSZO,X,X,X,X,X,O
TILJSOZ,X,X,X,X,X,O
TILJZSO,X,X,X,X,X,O
TILJZOS,X,X,X,X,X,O
TILJOSZ,X,X,X,X,X,O
TILJOZS,X,X,X,X,X,O
TILSJZO,O,X,O,X,X,O
TILSJOZ,X,X,X,X,X,O
TILSZJO,O,X,O,O,O,O
TILSZOJ,O,X,O,O,O,O
TILSOJZ,X,X,O,X,X,O
TILSOZJ,O,X,O,O,O,O
TILZJSO,X,X,X,O,O,O
TILZJOS,O,X,X,O,X,O
TILZSJO,X,X,O,O,O,O
TILZSOJ,O,X,O,O,O,O
TILZOJS,O,X,X,O,X,O
TILZOSJ,O,X,X,O,X,O
TILOJSZ,X,X,X,X,X,O
TILOJZS,X,X,X,X,X,O
TILOSJZ,X,X,O,X,X,O
TILOSZJ,X,X,O,O,X,O
TILOZJS,O,X,X,O,X,O
TILOZSJ,O,X,O,O,X,O
TIJLSZO,X,X,X,X,X,O
TIJLSOZ,X,X,X,X,X,O
TIJLZSO,X,X,X,X,X,O
TIJLZOS,X,X,X,X,X,O
TIJLOSZ,X,X,X,X,X,O
TIJLOZS,X,X,X,X,X,O
TIJSLZO,O,O,X,X,X,O
TIJSLOZ,X,O,X,X,X,O
TIJSZLO,O,O,X,O,X,X
TIJSZOL,O,O,X,O,X,X
TIJSOLZ,X,O,X,X,X,O
TIJSOZL,X,O,X,O,X,X
