sequence,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhF/mBRiBOpBi?nBlkBzsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhFThBZoBOpB6?sBlpBXsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBZoB0kB6?sBOpBFsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhFThBZoBOpBX?nBlkB6sB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBZoBOpB6?sB0pBFsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeZEJvhFqkBTgB/mBF?iBmsB8sB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBRiB1pBy?sBOpB0sB
TILJSZO,X,X,X,X,X,O,X
TILJSOZ,X,X,X,X,O,O,X
TILJZSO,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X
TILJOSZ,X,X,X,X,O,O,X
TILJOZS,X,O,X,X,X,X,X
TILSJZO,X,X,X,X,X,O,O
TILSJOZ,X,X,X,X,O,O,O
TILSZJO,X,X,X,X,X,X,O
TILSZOJ,X,X,O,X,X,X,O
TILSOJZ,X,X,X,X,O,O,O
TILSOZJ,X,X,O,X,X,X,O
TILZJSO,X,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X
TILZSOJ,X,X,O,X,X,X,X
TILZOJS,X,O,X,X,X,X,X
TILZOSJ,X,X,O,X,X,X,X
TILOJSZ,X,X,X,X,O,O,X
TILOJZS,X,O,X,X,X,X,X
TILOSJZ,X,X,X,X,O,O,O
TILOSZJ,X,X,O,X,X,X,O
TILOZJS,X,O,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,X
TIJLSZO,X,X,X,X,X,O,X
TIJLSOZ,X,X,X,X,O,O,X
TIJLZSO,X,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,O,X
TIJLOZS,X,O,X,X,X,X,X
TIJSLZO,X,X,X,X,X,O,X
TIJSLOZ,X,X,X,X,O,O,X
TIJSZLO,X,X,X,X,X,X,X
TIJSZOL,X,X,X,O,X,X,X
TIJSOLZ,X,X,X,X,O,X,X
TIJSOZL,X,X,X,O,X,X,X
TIJZLSO,X,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X,X
TIJZSOL,X,X,X,O,X,X,X
TIJZOLS,X,O,X,X,X,X,X
TIJZOSL,X,X,X,O,X,X,X
TIJOLSZ,X,X,X,X,O,X,X
TIJOLZS,X,O,X,X,X,X,X
TIJOSLZ,X,X,X,X,O,X,X
TIJOSZL,X,X,X,O,X,X,X
TIJOZLS,X,O,X,X,X,X,X
TIJOZSL,X,X,X,O,X,X,X
TISLJZO,X,X,X,X,X,O,O
TISLJOZ,X,X,X,X,O,O,O
TISLZJO,X,X,X,X,X,X,O
TISLZOJ,X,X,O,X,X,X,O
TISLOJZ,X,X,X,X,O,O,O
TISLOZJ,X,X,O,X,X,X,O
TISJLZO,X,X,X,X,X,O,X
TISJLOZ,X,X,X,X,O,O,X
TISJZLO,X,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,X,X
TISJOLZ,X,X,X,X,O,X,X
TISJOZL,X,X,X,O,X,X,X
TISZLJO,X,X,X,X,X,X,X
TISZLOJ,X,X,O,X,X,X,X
TISZJLO,X,X,X,X,X,X,X
TISZJOL,X,X,X,O,X,X,X
TISZOLJ,X,X,O,X,X,X,X
TISZOJL,X,X,X,O,X,X,X
TISOLJZ,X,X,X,X,O,X,O
TISOLZJ,X,X,O,X,X,X,O
TISOJLZ,X,X,X,X,O,X,X
TISOJZL,X,X,X,O,X,X,X
TISOZLJ,X,X,O,X,X,X,X
TISOZJL,X,X,X,O,X,X,X
TIZLJSO,X,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X
TIZLSOJ,X,X,O,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X,X
TIZJSOL,X,X,X,O,X,X,X
TIZJOLS,X,O,X,X,X,X,X
TIZJOSL,X,X,X,O,X,X,X
TIZSLJO,X,X,X,X,X,X,X
TIZSLOJ,X,X,O,X,X,X,X
TIZSJLO,X,X,X,X,X,X,X
TIZSJOL,X,X,X,O,X,X,X
TIZSOLJ,X,X,O,X,X,X,X
TIZSOJL,X,X,X,O,X,X,X
TIZOLJS,X,O,X,X,X,X,X
TIZOLSJ,X,X,O,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X
TIZOJSL,X,X,X,O,X,X,X
TIZOSLJ,X,X,O,X,X,X,X
TIZOSJL,X,X,X,O,X,X,X
TIOLJSZ,X,X,X,X,O,X,X
TIOLJZS,X,O,X,X,X,X,X
TIOLSJZ,X,X,X,X,O,X,O
TIOLSZJ,X,X,O,X,X,X,O
TIOLZJS,X,O,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,X
TIOJLSZ,X,X,X,X,O,X,X
TIOJLZS,X,O,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,X
TIOJSZL,X,X,X,O,X,X,X
TIOJZLS,X,O,X,X,X,X,X
TIOJZSL,X,X,X,O,X,X,X
TIOSLJZ,X,X,X,X,O,X,O
TIOSLZJ,X,X,O,X,X,X,O
TIOSJLZ,X,X,X,X,O,X,X
TIOSJZL,X,X,X,O,X,X,X
TIOSZLJ,X,X,O,X,X,X,X
TIOSZJL,X,X,X,O,X,X,X
TIOZLJS,X,O,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X
TIOZJSL,X,X,X,O,X,X,X
TIOZSLJ,X,X,O,X,X,X,X
TIOZSJL,X,X,X,O,X,X,X
TLIJSZO,X,X,X,X,X,O,X
TLIJSOZ,X,X,X,X,O,O,X
TLIJZSO,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,O,X
TLIJOZS,X,O,X,X,X,X,X
TLISJZO,X,X,X,X,X,O,O
TLISJOZ,X,X,X,X,O,O,O
TLISZJO,X,X,X,X,X,X,O
TLISZOJ,X,X,O,X,X,X,O
TLISOJZ,X,X,X,X,O,O,O
TLISOZJ,X,X,O,X,X,X,O
TLIZJSO,X,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X
TLIZSOJ,X,X,O,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X
TLIZOSJ,X,X,O,X,X,X,X
TLIOJSZ,X,X,X,X,O,O,X
TLIOJZS,X,O,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,O,O
TLIOSZJ,X,X,O,X,X,X,O
TLIOZJS,X,O,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,X
TLJISZO,X,X,X,X,X,O,X
TLJISOZ,X,X,X,X,O,O,X
TLJIZSO,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,O,X
TLJIOZS,X,O,X,X,X,X,X
TLJSIZO,O,X,X,X,X,O,O
TLJSIOZ,X,X,X,X,O,O,O
TLJSZIO,O,X,X,X,X,X,O
TLJSZOI,O,X,X,X,X,X,O
TLJSOIZ,X,X,X,X,O,O,O
TLJSOZI,X,X,X,X,X,X,O
TLJZISO,X,X,X,X,X,X,X
TLJZIOS,X,O,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X
TLJZSOI,O,X,X,X,X,X,X
TLJZOIS,X,O,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,O,O,X
TLJOIZS,X,O,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,O,O
TLJOSZI,X,X,X,X,X,X,O
TLJOZIS,X,O,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,X,O,O
TLSIJOZ,X,X,X,X,O,O,O
TLSIZJO,O,X,X,X,X,X,O
TLSIZOJ,X,X,O,X,X,X,O
TLSIOJZ,X,X,X,X,O,O,O
TLSIOZJ,X,X,O,X,X,X,O
TLSJIZO,O,X,X,X,X,O,O
TLSJIOZ,X,X,X,X,O,O,O
TLSJZIO,O,X,X,X,X,X,O
TLSJZOI,O,X,X,X,X,X,O
TLSJOIZ,X,X,X,X,O,O,O
TLSJOZI,X,X,X,X,X,X,O
TLSZIJO,O,X,X,X,X,X,O
TLSZIOJ,X,X,O,X,X,X,O
TLSZJIO,O,X,X,X,X,X,O
TLSZJOI,O,X,X,X,X,X,O
TLSZOIJ,X,X,O,X,X,X,O
TLSZOJI,X,X,X,X,X,X,O
TLSOIJZ,X,X,X,X,O,O,O
TLSOIZJ,X,X,O,X,X,X,O
TLSOJIZ,X,X,X,X,O,O,O
TLSOJZI,X,X,X,X,X,X,O
TLSOZIJ,X,X,O,X,X,X,O
TLSOZJI,X,X,X,X,X,X,O
TLZIJSO,X,X,X,X,X,X,X
TLZIJOS,X,O,X,X,X,X,X
TLZISJO,X,X,X,X,X,X,X
TLZISOJ,X,X,O,X,X,X,X
TLZIOJS,X,O,X,X,X,X,X
TLZIOSJ,X,X,O,X,X,X,X
TLZJISO,X,X,X,X,X,X,X
TLZJIOS,X,O,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X
TLZJSOI,O,X,X,X,X,X,X
TLZJOIS,X,O,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X
TLZSIJO,O,X,X,X,X,X,O
TLZSIOJ,X,X,O,X,X,X,O
TLZSJIO,O,X,X,X,X,X,O
TLZSJOI,O,X,X,X,X,X,O
TLZSOIJ,X,X,O,X,X,X,O
TLZSOJI,X,X,X,X,X,X,O
TLZOIJS,X,O,X,X,X,X,X
TLZOISJ,X,X,O,X,X,X,X
TLZOJIS,X,O,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X
TLZOSIJ,X,X,O,X,X,X,O
TLZOSJI,X,X,X,X,X,X,O
TLOIJSZ,X,X,X,X,O,O,X
TLOIJZS,X,O,X,X,X,X,X
TLOISJZ,X,X,X,X,O,O,O
TLOISZJ,X,X,O,X,X,X,O
TLOIZJS,X,O,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,X,X
TLOJISZ,X,X,X,X,O,O,X
TLOJIZS,X,O,X,X,X,X,X
TLOJSIZ,X,X,X,X,O,O,O
TLOJSZI,X,X,X,X,X,X,O
TLOJZIS,X,O,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,O,O,O
TLOSIZJ,X,X,O,X,X,X,O
TLOSJIZ,X,X,X,X,O,O,O
TLOSJZI,X,X,X,X,X,X,O
TLOSZIJ,X,X,O,X,X,X,O
TLOSZJI,X,X,X,X,X,X,O
TLOZIJS,X,O,X,X,X,X,X
TLOZISJ,X,X,O,X,X,X,X
TLOZJIS,X,O,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,X,X,X,O
TLOZSJI,X,X,X,X,X,X,O
TJILSZO,X,X,X,X,X,O,X
TJILSOZ,X,X,X,X,O,O,X
TJILZSO,X,X,X,X,X,X,X
TJILZOS,X,O,X,X,X,X,X
TJILOSZ,X,X,X,X,O,O,X
TJILOZS,X,O,X,X,X,X,X
TJISLZO,X,X,X,X,X,O,X
TJISLOZ,X,X,X,X,O,O,X
TJISZLO,X,X,X,X,X,X,X
TJISZOL,X,X,X,O,X,X,X
TJISOLZ,X,X,X,X,O,X,X
TJISOZL,X,X,X,O,X,X,X
TJIZLSO,X,X,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X
TJIZSOL,X,X,X,O,X,X,X
TJIZOLS,X,O,X,X,X,X,X
TJIZOSL,X,X,X,O,X,X,X
TJIOLSZ,X,X,X,X,O,X,X
TJIOLZS,X,O,X,X,X,X,X
TJIOSLZ,X,X,X,X,O,X,X
TJIOSZL,X,X,X,O,X,X,X
TJIOZLS,X,O,X,X,X,X,X
TJIOZSL,X,X,X,O,X,X,X
TJLISZO,X,X,X,X,X,O,X
TJLISOZ,X,X,X,X,O,O,X
TJLIZSO,X,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,O,X
TJLIOZS,X,O,X,X,X,X,X
TJLSIZO,O,X,X,X,X,O,O
TJLSIOZ,X,X,X,X,O,O,O
TJLSZIO,O,X,X,X,X,X,O
TJLSZOI,O,X,X,X,X,X,O
TJLSOIZ,X,X,X,X,O,O,O
TJLSOZI,X,X,X,X,X,X,O
TJLZISO,X,X,X,X,X,X,X
TJLZIOS,X,O,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X,X
TJLZSOI,O,X,X,X,X,X,X
TJLZOIS,X,O,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,O,O,X
TJLOIZS,X,O,X,X,X,X,X
TJLOSIZ,X,X,X,X,O,O,O
TJLOSZI,X,X,X,X,X,X,O
TJLOZIS,X,O,X,X,X,X,X
