sequence,v115@HhA8IeC8EeA8AeG8Me0/IvhFxgBzlBWsB6tB/sBFtB,v115@HhA8IeC8EeA8AeG8Mel/IvhF8mB5oBmlB3nBCmBzsB,v115@HhA8IeC8EeA8AeG8Mel/IvhFymB5oB0lB3nBGmBzsB,v115@HhA8IeC8EeA8AeG8Me0/IvhF+nBTjBRmBllB3mBSyB,v115@HhA8IeC8EeA8AeG8Me0/IvhF6lB3hB5oBlnB2rBzsB,v115@HhA8IeC8EeA8AeG8Me0/IvhF6lBThBFjB+tBxrB/sB,v115@HhA8IeC8EeA8AeG8Mel/IvhF0lBxmB6tBGmBTnBXtB,v115@HhA8IeC8EeA8AeG8Mel/IvhF/oB0lBxmBGmBTnBSyB
TILJSZO,X,O,X,X,O,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,O,X,X,X
TILJZOS,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X
TILSJZO,X,O,O,X,O,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X
TILSZJO,X,O,O,X,O,X,X,X
TILSZOJ,X,X,O,X,O,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X
TILSOZJ,X,X,O,X,O,X,X,X
TILZJSO,X,O,O,X,O,X,O,X
TILZJOS,X,X,X,X,X,X,O,X
TILZSJO,X,O,O,X,O,X,O,X
TILZSOJ,X,X,O,X,O,X,O,X
TILZOJS,X,X,X,X,X,X,O,X
TILZOSJ,X,X,O,X,O,X,O,X
TILOJSZ,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,X,X
TILOZJS,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,O,X,X,X
TIJLSZO,X,O,X,X,O,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X
TIJLZSO,X,O,X,X,O,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X
TIJSLZO,X,O,O,X,O,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X
TIJSZLO,X,O,O,X,O,X,X,X
TIJSZOL,X,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X
TIJSOZL,X,O,X,X,X,X,X,X
TIJZLSO,X,O,O,X,O,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X
TIJZSLO,X,O,O,X,O,X,X,X
TIJZSOL,X,O,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X
TIJZOSL,X,O,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X,X,X
TISLJZO,X,O,O,X,O,X,X,X
TISLJOZ,X,X,X,X,X,X,X,X
TISLZJO,X,O,O,X,O,X,X,X
TISLZOJ,X,X,O,X,O,X,X,X
TISLOJZ,X,X,X,X,X,X,X,X
TISLOZJ,X,X,O,X,O,X,X,X
TISJLZO,X,O,O,X,O,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X
TISJZLO,X,O,O,X,O,X,X,X
TISJZOL,X,O,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,X
TISZLJO,X,O,O,X,O,X,X,O
TISZLOJ,X,X,O,X,O,X,X,O
TISZJLO,X,O,O,X,O,X,X,O
TISZJOL,X,O,X,X,X,X,X,O
TISZOLJ,X,X,O,X,O,X,X,O
TISZOJL,X,O,X,X,X,X,X,O
TISOLJZ,X,X,X,X,X,X,X,X
TISOLZJ,X,X,O,X,O,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,X
TISOZLJ,X,X,O,X,O,X,X,X
TISOZJL,X,O,X,X,X,X,X,X
TIZLJSO,X,O,O,X,O,X,O,X
TIZLJOS,X,X,X,X,X,X,O,X
TIZLSJO,X,O,O,X,O,X,O,O
TIZLSOJ,X,X,O,X,O,X,O,O
TIZLOJS,X,X,X,X,X,X,O,X
TIZLOSJ,X,X,O,X,O,X,O,X
TIZJLSO,X,O,O,X,O,X,O,X
TIZJLOS,X,X,X,X,X,X,O,X
TIZJSLO,X,O,O,X,O,X,X,O
TIZJSOL,X,O,X,X,X,X,X,O
