sequence,v115@KhA8HeC8EeG8BeA8JeKEJvhFzfBRhBGjB0mBlnBXtB,v115@KhA8HeC8EeG8BeA8Jei/IvhFRhBziB+oB3kBlmB0sB,v115@KhA8HeC8EeG8BeA8Jei/IvhFRhB+oB3kB0mBlnBzsB,v115@KhA8HeC8EeG8BeA8Je2EJvhFFhBxiBCnBToB3kB0sB,v115@KhA8HeC8EeG8BeA8JeOEJvhF8kBFhB6oBRnBXnBzsB,v115@KhA8HeC8EeG8BeA8JeKEJvhFzfBUhBFiBGoBRsBXtB
TILJSZO,X,O,X,X,X,O
TILJSOZ,X,O,X,X,X,O
TILJZSO,X,O,X,X,X,O
TILJZOS,X,O,X,O,X,O
TILJOSZ,X,O,X,O,X,O
TILJOZS,X,X,X,O,X,O
TILSJZO,O,O,X,X,X,O
TILSJOZ,O,O,X,X,X,O
TILSZJO,O,O,X,X,X,O
TILSZOJ,O,O,X,X,X,O
TILSOJZ,O,O,X,X,X,O
TILSOZJ,O,O,X,X,X,O
TILZJSO,O,O,X,X,X,O
TILZJOS,O,O,X,O,O,O
TILZSJO,O,O,X,X,X,O
TILZSOJ,O,O,X,X,X,O
TILZOJS,O,X,X,O,O,O
TILZOSJ,O,X,X,O,O,O
TILOJSZ,X,X,X,O,X,O
TILOJZS,X,X,X,O,O,O
TILOSJZ,O,X,X,O,X,O
TILOSZJ,O,X,X,X,O,O
TILOZJS,O,X,X,O,O,O
TILOZSJ,O,X,X,X,O,O
TIJLSZO,X,O,X,X,X,O
TIJLSOZ,X,O,X,X,X,O
TIJLZSO,X,O,X,X,X,O
TIJLZOS,X,O,X,O,X,O
TIJLOSZ,X,O,X,O,X,O
TIJLOZS,X,X,X,O,X,O
TIJSLZO,X,O,O,X,X,O
TIJSLOZ,X,O,X,X,X,O
TIJSZLO,X,O,O,X,X,O
TIJSZOL,X,O,O,X,X,X
TIJSOLZ,X,O,X,X,X,X
TIJSOZL,X,O,X,X,X,X
TIJZLSO,X,O,O,X,X,O
TIJZLOS,X,O,X,O,X,O
TIJZSLO,X,O,O,X,X,O
TIJZSOL,X,O,O,X,X,X
TIJZOLS,X,O,X,X,X,O
TIJZOSL,X,O,O,X,X,X
TIJOLSZ,X,O,X,O,X,O
TIJOLZS,X,X,X,O,X,O
TIJOSLZ,X,O,X,X,X,X
TIJOSZL,X,O,X,X,X,X
TIJOZLS,X,O,X,X,X,O
TIJOZSL,X,O,X,X,X,X
TISLJZO,O,O,O,X,X,O
TISLJOZ,O,O,X,X,X,O
TISLZJO,O,O,O,X,X,O
TISLZOJ,O,O,X,X,X,O
TISLOJZ,O,O,X,X,X,O
