sequence,v115@QhA8GeC8AeC8AeE8JeZEJvhFukBUhBFiBXjBTlBirB,v115@QhA8GeC8AeC8AeE8JeZEJvhFzfBFhBOnBXjBSqBcrB,v115@QhA8GeC8AeC8AeE8JecFJvhFxhBXjBTkBmmBFrBipB
TILJSZO,O,O,X
TILJSOZ,O,O,X
TILJZSO,O,O,X
TILJZOS,O,O,X
TILJOSZ,O,O,X
TILJOZS,O,O,X
TILSJZO,O,O,X
TILSJOZ,O,O,X
TILSZJO,O,O,X
TILSZOJ,O,O,X
TILSOJZ,O,O,X
TILSOZJ,O,O,X
TILZJSO,O,O,X
TILZJOS,O,O,X
TILZSJO,O,O,X
TILZSOJ,O,O,X
TILZOJS,O,O,X
TILZOSJ,O,O,X
TILOJSZ,O,O,X
TILOJZS,O,O,X
TILOSJZ,O,O,X
TILOSZJ,O,O,X
TILOZJS,O,O,X
TILOZSJ,O,O,X
TIJLSZO,O,O,O
TIJLSOZ,O,O,O
TIJLZSO,O,O,O
TIJLZOS,O,O,O
TIJLOSZ,O,O,O
TIJLOZS,O,O,O
TIJSLZO,O,O,O
TIJSLOZ,O,O,O
TIJSZLO,X,O,O
TIJSZOL,O,O,O
TIJSOLZ,O,X,O
TIJSOZL,O,X,O
TIJZLSO,X,O,O
TIJZLOS,X,O,O
TIJZSLO,X,O,O
TIJZSOL,X,O,O
TIJZOLS,X,O,O
TIJZOSL,X,O,O
TIJOLSZ,O,X,O
TIJOLZS,O,X,O
TIJOSLZ,O,X,O
TIJOSZL,O,X,O
TIJOZLS,O,X,O
TIJOZSL,O,X,O
TISLJZO,O,O,O
TISLJOZ,O,O,O
TISLZJO,O,O,X
TISLZOJ,O,O,X
TISLOJZ,O,O,O
TISLOZJ,O,O,X
TISJLZO,O,O,O
TISJLOZ,O,O,O
TISJZLO,X,O,O
TISJZOL,O,O,O
TISJOLZ,O,X,O
TISJOZL,O,X,O
TISZLJO,X,O,X
TISZLOJ,X,O,X
TISZJLO,X,O,O
TISZJOL,O,O,O
TISZOLJ,O,O,X
TISZOJL,O,O,O
TISOLJZ,O,X,O
TISOLZJ,O,X,X
TISOJLZ,O,X,O
TISOJZL,O,X,O
TISOZLJ,O,X,X
TISOZJL,O,X,O
TIZLJSO,X,O,X
TIZLJOS,X,O,X
TIZLSJO,X,O,X
TIZLSOJ,X,O,X
TIZLOJS,X,O,X
TIZLOSJ,X,O,X
TIZJLSO,X,O,O
TIZJLOS,X,O,O
TIZJSLO,X,O,O
TIZJSOL,X,O,O
TIZJOLS,X,O,O
TIZJOSL,X,O,O
TIZSLJO,X,O,X
TIZSLOJ,X,O,X
TIZSJLO,X,O,O
TIZSJOL,X,O,O
TIZSOLJ,X,O,X
TIZSOJL,X,O,O
TIZOLJS,X,O,X
TIZOLSJ,X,O,X
TIZOJLS,X,O,O
TIZOJSL,X,O,O
TIZOSLJ,X,O,X
TIZOSJL,X,O,O
TIOLJSZ,O,X,X
TIOLJZS,O,X,X
TIOLSJZ,O,X,X
TIOLSZJ,O,X,X
TIOLZJS,O,X,X
TIOLZSJ,O,X,X
TIOJLSZ,O,X,O
TIOJLZS,O,X,O
TIOJSLZ,O,X,O
TIOJSZL,O,X,O
TIOJZLS,O,X,O
TIOJZSL,O,X,O
TIOSLJZ,O,X,O
TIOSLZJ,O,X,X
TIOSJLZ,O,X,O
TIOSJZL,O,X,O
TIOSZLJ,O,X,X
TIOSZJL,O,X,O
TIOZLJS,O,X,X
TIOZLSJ,O,X,X
TIOZJLS,O,X,O
TIOZJSL,O,X,O
TIOZSLJ,O,X,X
TIOZSJL,O,X,O
TLIJSZO,O,O,X
TLIJSOZ,O,O,X
TLIJZSO,O,O,X
TLIJZOS,O,O,X
TLIJOSZ,O,O,X
TLIJOZS,O,O,X
TLISJZO,O,O,X
TLISJOZ,O,O,X
TLISZJO,O,O,X
TLISZOJ,O,O,X
TLISOJZ,O,O,X
TLISOZJ,O,O,X
TLIZJSO,O,O,X
TLIZJOS,O,O,X
TLIZSJO,O,O,X
TLIZSOJ,O,O,X
TLIZOJS,O,O,X
TLIZOSJ,O,O,X
TLIOJSZ,O,O,X
TLIOJZS,O,O,X
TLIOSJZ,O,O,X
TLIOSZJ,O,O,X
TLIOZJS,O,O,X
TLIOZSJ,O,O,X
TLJISZO,O,O,O
TLJISOZ,O,O,O
TLJIZSO,O,O,O
TLJIZOS,O,O,O
TLJIOSZ,O,O,O
TLJIOZS,O,O,O
TLJSIZO,O,O,O
TLJSIOZ,O,O,O
TLJSZIO,O,O,O
TLJSZOI,O,O,O
TLJSOIZ,O,O,O
TLJSOZI,O,O,O
TLJZISO,O,O,O
TLJZIOS,O,O,O
TLJZSIO,O,O,O
TLJZSOI,O,O,O
TLJZOIS,O,O,O
TLJZOSI,O,O,O
TLJOISZ,O,O,O
TLJOIZS,O,O,O
TLJOSIZ,O,O,O
TLJOSZI,O,O,O
TLJOZIS,O,O,O
TLJOZSI,O,O,O
TLSIJZO,O,O,O
TLSIJOZ,O,O,O
TLSIZJO,O,O,X
TLSIZOJ,O,O,X
TLSIOJZ,O,O,O
TLSIOZJ,O,O,X
TLSJIZO,O,O,O
TLSJIOZ,O,O,O
TLSJZIO,O,O,O
TLSJZOI,O,O,O
TLSJOIZ,O,O,O
TLSJOZI,O,O,O
TLSZIJO,O,O,X
TLSZIOJ,O,O,X
TLSZJIO,O,O,O
TLSZJOI,O,O,O
TLSZOIJ,O,O,X
TLSZOJI,O,O,O
TLSOIJZ,O,O,O
TLSOIZJ,O,O,X
TLSOJIZ,O,O,O
TLSOJZI,O,O,O
TLSOZIJ,O,O,X
TLSOZJI,O,O,O
TLZIJSO,O,O,X
TLZIJOS,O,O,X
TLZISJO,O,O,X
TLZISOJ,O,O,X
TLZIOJS,O,O,X
TLZIOSJ,O,O,X
TLZJISO,O,O,O
TLZJIOS,O,O,O
TLZJSIO,O,O,O
TLZJSOI,O,O,O
TLZJOIS,O,O,O
TLZJOSI,O,O,O
TLZSIJO,O,O,X
TLZSIOJ,O,O,X
TLZSJIO,O,O,O
TLZSJOI,O,O,O
TLZSOIJ,O,O,X
TLZSOJI,O,O,O
TLZOIJS,O,O,X
TLZOISJ,O,O,X
TLZOJIS,O,O,O
TLZOJSI,O,O,O
TLZOSIJ,O,O,X
TLZOSJI,O,O,O
TLOIJSZ,O,O,X
TLOIJZS,O,O,X
TLOISJZ,O,O,X
TLOISZJ,O,O,X
TLOIZJS,O,O,X
TLOIZSJ,O,O,X
TLOJISZ,O,O,O
TLOJIZS,O,O,O
TLOJSIZ,O,O,O
TLOJSZI,O,O,O
TLOJZIS,O,O,O
TLOJZSI,O,O,O
TLOSIJZ,O,O,O
TLOSIZJ,O,O,X
TLOSJIZ,O,O,O
TLOSJZI,O,O,O
TLOSZIJ,O,O,X
TLOSZJI,O,O,O
TLOZIJS,O,O,X
TLOZISJ,O,O,X
TLOZJIS,O,O,O
TLOZJSI,O,O,O
TLOZSIJ,O,O,X
TLOZSJI,O,O,O
TJILSZO,O,O,O
TJILSOZ,O,O,O
TJILZSO,O,O,O
TJILZOS,O,O,O
TJILOSZ,O,O,O
TJILOZS,O,O,O
TJISLZO,O,O,O
TJISLOZ,O,O,O
TJISZLO,X,O,O
TJISZOL,O,O,O
TJISOLZ,O,X,O
TJISOZL,O,X,O
TJIZLSO,X,O,O
TJIZLOS,X,O,O
TJIZSLO,X,O,O
TJIZSOL,X,O,O
TJIZOLS,X,O,O
TJIZOSL,X,O,O
TJIOLSZ,O,X,O
TJIOLZS,O,X,O
TJIOSLZ,O,X,O
TJIOSZL,O,X,O
TJIOZLS,O,X,O
TJIOZSL,O,X,O
TJLISZO,O,O,O
TJLISOZ,O,O,O
TJLIZSO,O,O,O
TJLIZOS,O,O,O
TJLIOSZ,O,O,O
TJLIOZS,O,O,O
TJLSIZO,O,O,O
TJLSIOZ,O,O,O
TJLSZIO,O,O,O
TJLSZOI,O,O,O
TJLSOIZ,O,O,O
TJLSOZI,O,O,O
TJLZISO,O,O,O
TJLZIOS,O,O,O
TJLZSIO,O,O,O
TJLZSOI,O,O,O
TJLZOIS,O,O,O
TJLZOSI,O,O,O
TJLOISZ,O,O,O
TJLOIZS,O,O,O
TJLOSIZ,O,O,O
TJLOSZI,O,O,O
TJLOZIS,O,O,O
TJLOZSI,O,O,O
TJSILZO,O,O,O
TJSILOZ,O,O,O
TJSIZLO,X,O,O
TJSIZOL,O,O,O
TJSIOLZ,O,X,O
TJSIOZL,O,X,O
TJSLIZO,O,O,O
TJSLIOZ,O,O,O
TJSLZIO,O,O,O
TJSLZOI,O,O,O
TJSLOIZ,O,O,O
TJSLOZI,O,O,O
TJSZILO,X,O,O
TJSZIOL,O,O,O
TJSZLIO,X,O,O
TJSZLOI,X,O,O
TJSZOIL,O,O,O
TJSZOLI,O,O,O
TJSOILZ,O,X,O
TJSOIZL,O,X,O
TJSOLIZ,O,X,O
TJSOLZI,O,X,O
TJSOZIL,O,X,O
TJSOZLI,O,X,O
TJZILSO,X,O,O
TJZILOS,X,O,O
TJZISLO,X,O,O
TJZISOL,X,O,O
TJZIOLS,X,O,O
TJZIOSL,X,O,O
TJZLISO,X,O,O
TJZLIOS,X,O,O
TJZLSIO,X,O,O
TJZLSOI,X,O,O
TJZLOIS,X,O,O
TJZLOSI,X,O,O
TJZSILO,X,O,O
TJZSIOL,X,O,O
TJZSLIO,X,O,O
TJZSLOI,X,O,O
TJZSOIL,X,O,O
TJZSOLI,X,O,O
TJZOILS,X,O,O
TJZOISL,X,O,O
TJZOLIS,X,O,O
TJZOLSI,X,O,O
TJZOSIL,X,O,O
TJZOSLI,X,O,O
TJOILSZ,O,X,O
TJOILZS,O,X,O
TJOISLZ,O,X,O
TJOISZL,O,X,O
TJOIZLS,O,X,O
TJOIZSL,O,X,O
TJOLISZ,O,X,O
TJOLIZS,O,X,O
TJOLSIZ,O,X,O
TJOLSZI,O,X,O
TJOLZIS,O,X,O
TJOLZSI,O,X,O
TJOSILZ,O,X,O
TJOSIZL,O,X,O
TJOSLIZ,O,X,O
TJOSLZI,O,X,O
TJOSZIL,O,X,O
TJOSZLI,O,X,O
TJOZILS,O,X,O
TJOZISL,O,X,O
TJOZLIS,O,X,O
TJOZLSI,O,X,O
TJOZSIL,O,X,O
TJOZSLI,O,X,O
TSILJZO,O,O,O
TSILJOZ,O,O,O
TSILZJO,O,O,X
TSILZOJ,O,O,X
TSILOJZ,O,O,O
TSILOZJ,O,O,X
TSIJLZO,O,O,O
TSIJLOZ,O,O,O
TSIJZLO,X,O,O
TSIJZOL,O,O,O
TSIJOLZ,O,X,O
TSIJOZL,O,X,O
TSIZLJO,X,O,X
TSIZLOJ,X,O,X
TSIZJLO,X,O,O
TSIZJOL,O,O,O
TSIZOLJ,O,O,X
TSIZOJL,O,O,O
TSIOLJZ,O,X,O
TSIOLZJ,O,X,X
TSIOJLZ,O,X,O
TSIOJZL,O,X,O
TSIOZLJ,O,X,X
TSIOZJL,O,X,O
TSLIJZO,O,O,O
TSLIJOZ,O,O,O
TSLIZJO,O,O,X
TSLIZOJ,O,O,X
TSLIOJZ,O,O,O
TSLIOZJ,O,O,X
TSLJIZO,O,O,O
TSLJIOZ,O,O,O
TSLJZIO,O,O,O
TSLJZOI,O,O,O
TSLJOIZ,O,O,O
TSLJOZI,O,O,O
TSLZIJO,O,O,X
TSLZIOJ,O,O,X
TSLZJIO,O,O,O
TSLZJOI,O,O,O
TSLZOIJ,O,O,X
TSLZOJI,O,O,O
TSLOIJZ,O,O,O
TSLOIZJ,O,O,X
TSLOJIZ,O,O,O
TSLOJZI,O,O,O
TSLOZIJ,O,O,X
TSLOZJI,O,O,O
TSJILZO,O,O,O
TSJILOZ,O,O,O
TSJIZLO,X,O,O
TSJIZOL,O,O,O
TSJIOLZ,O,X,O
TSJIOZL,O,X,O
TSJLIZO,O,O,O
TSJLIOZ,O,O,O
TSJLZIO,O,O,O
TSJLZOI,O,O,O
TSJLOIZ,O,O,O
TSJLOZI,O,O,O
TSJZILO,X,O,O
TSJZIOL,O,O,O
TSJZLIO,X,O,O
TSJZLOI,X,O,O
TSJZOIL,O,O,O
TSJZOLI,O,O,O
TSJOILZ,O,X,O
TSJOIZL,O,X,O
TSJOLIZ,O,X,O
TSJOLZI,O,X,O
TSJOZIL,O,X,O
TSJOZLI,O,X,O
