sequence,v115@QhD8EeF8DeB8JeT/IvhF2lBRhBFjBfsB6sBUrB,v115@QhD8EeF8DeB8JeT/IvhF/lBRhBFjB0mB6sB2wB,v115@QhD8EeF8DeB8JeT/IvhFmgBqmB/nBFjB0lBxwB,v115@QhD8EeF8DeB8JeT/IvhF2lBRhBfsBlnBUrBCtB,v115@QhD8EeF8DeB8JeT/IvhF/lBRhB0mBlnB2wBCtB
TILJSZO,O,O,X,X,X
TILJSOZ,O,O,X,X,X
TILJZSO,X,O,X,X,X
TILJZOS,X,O,X,X,X
TILJOSZ,O,O,X,X,X
TILJOZS,X,O,X,X,X
TILSJZO,O,O,O,X,X
TILSJOZ,O,O,O,X,X
TILSZJO,O,X,O,X,X
TILSZOJ,O,O,O,X,X
TILSOJZ,O,O,O,X,X
TILSOZJ,O,O,O,X,X
TILZJSO,O,X,O,X,X
TILZJOS,O,X,O,X,X
TILZSJO,O,X,O,X,X
TILZSOJ,O,X,O,X,X
TILZOJS,O,X,O,X,X
TILZOSJ,O,X,O,X,X
TILOJSZ,O,O,X,X,X
TILOJZS,X,O,X,X,X
TILOSJZ,O,O,O,X,X
TILOSZJ,O,O,O,X,X
TILOZJS,O,X,O,X,X
TILOZSJ,O,X,O,X,X
TIJLSZO,O,O,X,X,X
TIJLSOZ,O,O,X,X,X
TIJLZSO,X,O,X,X,X
TIJLZOS,X,O,X,X,X
TIJLOSZ,O,O,X,X,X
TIJLOZS,O,O,X,X,X
TIJSLZO,X,O,O,X,X
TIJSLOZ,O,O,O,X,X
TIJSZLO,X,O,O,X,O
TIJSZOL,O,O,O,X,O
TIJSOLZ,O,O,O,X,X
TIJSOZL,O,O,O,X,O
TIJZLSO,O,X,X,X,X
TIJZLOS,O,X,X,X,X
TIJZSLO,O,O,O,X,O
TIJZSOL,O,O,O,X,O
TIJZOLS,O,X,X,X,X
TIJZOSL,O,O,O,X,O
TIJOLSZ,O,O,X,X,X
TIJOLZS,O,O,X,X,X
TIJOSLZ,O,O,O,X,X
TIJOSZL,O,O,O,X,O
TIJOZLS,O,X,X,X,X
TIJOZSL,O,O,O,X,O
TISLJZO,X,O,O,X,X
TISLJOZ,O,O,O,X,X
TISLZJO,X,X,O,X,X
TISLZOJ,X,O,O,X,X
TISLOJZ,O,O,O,X,X
TISLOZJ,X,O,O,X,X
TISJLZO,X,O,O,X,X
TISJLOZ,O,O,O,X,X
TISJZLO,X,O,O,X,O
TISJZOL,O,O,O,X,O
TISJOLZ,O,O,O,X,X
TISJOZL,O,O,O,O,O
TISZLJO,X,X,O,X,X
TISZLOJ,X,X,O,X,X
TISZJLO,X,X,O,X,X
TISZJOL,O,X,O,X,X
TISZOLJ,X,O,O,X,X
TISZOJL,O,O,O,X,X
TISOLJZ,O,O,O,X,X
TISOLZJ,X,O,O,X,X
TISOJLZ,O,O,O,X,X
TISOJZL,O,O,O,O,O
TISOZLJ,X,O,O,X,X
TISOZJL,O,O,O,X,X
TIZLJSO,O,X,O,X,X
TIZLJOS,O,X,O,X,X
TIZLSJO,O,X,O,X,X
TIZLSOJ,O,X,O,X,X
TIZLOJS,O,X,O,X,X
TIZLOSJ,O,X,O,X,X
TIZJLSO,O,X,O,X,X
TIZJLOS,O,X,O,X,X
TIZJSLO,O,X,O,X,X
TIZJSOL,O,X,O,X,X
TIZJOLS,O,X,O,X,X
TIZJOSL,O,X,O,X,X
TIZSLJO,O,X,O,X,X
TIZSLOJ,O,X,O,X,X
TIZSJLO,O,X,O,X,X
TIZSJOL,O,X,O,X,X
TIZSOLJ,O,X,O,X,X
TIZSOJL,O,X,O,X,X
TIZOLJS,O,X,O,X,X
TIZOLSJ,O,X,O,X,X
TIZOJLS,O,X,O,X,X
TIZOJSL,O,X,O,X,X
TIZOSLJ,O,X,O,X,X
TIZOSJL,O,X,O,X,X
TIOLJSZ,O,O,X,X,X
TIOLJZS,X,O,X,X,X
TIOLSJZ,O,O,O,X,X
TIOLSZJ,O,O,O,X,X
TIOLZJS,O,X,O,X,X
TIOLZSJ,O,X,O,X,X
TIOJLSZ,O,O,X,X,X
TIOJLZS,O,O,X,X,X
TIOJSLZ,O,O,O,X,X
TIOJSZL,O,O,O,X,O
TIOJZLS,O,X,X,X,X
TIOJZSL,O,O,O,X,O
TIOSLJZ,O,O,O,X,X
TIOSLZJ,X,O,O,X,X
TIOSJLZ,O,O,O,X,X
TIOSJZL,O,O,O,O,O
TIOSZLJ,X,O,O,X,X
TIOSZJL,O,O,O,X,X
TIOZLJS,O,X,O,X,X
TIOZLSJ,O,X,O,X,X
TIOZJLS,O,X,O,X,X
TIOZJSL,O,X,O,X,X
TIOZSLJ,O,X,O,X,X
TIOZSJL,O,X,O,X,X
TLIJSZO,O,O,X,X,X
TLIJSOZ,O,O,X,X,X
TLIJZSO,X,O,X,X,X
TLIJZOS,X,O,X,X,X
TLIJOSZ,O,O,X,X,X
TLIJOZS,X,O,X,X,X
TLISJZO,O,O,O,X,X
TLISJOZ,O,O,O,X,X
TLISZJO,O,X,O,X,X
TLISZOJ,O,O,O,X,X
TLISOJZ,O,O,O,X,X
TLISOZJ,O,O,O,X,X
TLIZJSO,O,X,X,X,X
TLIZJOS,O,X,X,X,X
TLIZSJO,O,X,O,X,X
TLIZSOJ,O,X,O,X,X
TLIZOJS,O,X,X,X,X
TLIZOSJ,O,X,O,X,X
TLIOJSZ,O,O,X,X,X
TLIOJZS,X,O,X,X,X
TLIOSJZ,O,O,O,X,X
TLIOSZJ,O,O,O,X,X
TLIOZJS,O,X,X,X,X
TLIOZSJ,O,X,O,X,X
TLJISZO,O,O,X,X,X
TLJISOZ,O,O,X,X,X
TLJIZSO,X,O,X,X,X
TLJIZOS,X,O,X,X,X
TLJIOSZ,O,O,X,X,X
TLJIOZS,O,O,X,X,X
TLJSIZO,O,O,X,X,X
TLJSIOZ,O,O,X,X,X
TLJSZIO,O,O,X,X,O
TLJSZOI,O,O,X,X,O
TLJSOIZ,O,O,X,X,X
TLJSOZI,O,O,X,X,O
TLJZISO,O,O,X,X,X
TLJZIOS,O,O,X,X,X
TLJZSIO,O,O,X,X,O
TLJZSOI,O,O,X,X,O
TLJZOIS,O,O,X,X,X
TLJZOSI,O,O,X,X,O
TLJOISZ,O,O,X,X,X
TLJOIZS,O,O,X,X,X
TLJOSIZ,O,O,X,X,X
TLJOSZI,O,O,X,X,O
TLJOZIS,O,O,X,X,X
TLJOZSI,O,O,X,X,O
TLSIJZO,O,O,X,X,X
TLSIJOZ,O,O,X,X,X
TLSIZJO,O,X,X,X,X
TLSIZOJ,O,O,X,X,X
TLSIOJZ,O,O,X,X,X
TLSIOZJ,O,O,X,X,X
TLSJIZO,O,O,X,X,X
TLSJIOZ,O,O,X,X,X
TLSJZIO,O,O,X,X,O
TLSJZOI,O,O,X,X,O
TLSJOIZ,O,O,X,X,X
TLSJOZI,O,O,X,O,O
TLSZIJO,O,X,X,X,X
TLSZIOJ,O,O,X,X,X
TLSZJIO,O,O,X,X,X
TLSZJOI,O,O,X,X,X
TLSZOIJ,O,O,X,X,X
TLSZOJI,O,O,X,X,X
TLSOIJZ,O,O,X,X,X
TLSOIZJ,O,O,X,X,X
TLSOJIZ,O,O,X,X,X
TLSOJZI,O,O,X,O,O
TLSOZIJ,O,O,X,X,X
TLSOZJI,O,O,X,X,X
TLZIJSO,O,X,X,X,X
TLZIJOS,O,X,X,X,X
TLZISJO,O,X,X,X,X
TLZISOJ,O,X,X,X,X
TLZIOJS,O,X,X,X,X
TLZIOSJ,O,X,X,X,X
TLZJISO,O,O,X,X,X
TLZJIOS,O,O,X,X,X
TLZJSIO,O,O,X,X,X
TLZJSOI,O,O,X,X,X
TLZJOIS,O,O,X,X,X
TLZJOSI,O,O,X,X,X
TLZSIJO,O,X,X,X,X
TLZSIOJ,O,O,X,X,X
TLZSJIO,O,O,X,X,X
TLZSJOI,O,O,X,X,X
TLZSOIJ,O,O,X,X,X
TLZSOJI,O,O,X,X,X
TLZOIJS,O,X,X,X,X
TLZOISJ,O,X,X,X,X
TLZOJIS,O,O,X,X,X
TLZOJSI,O,O,X,X,X
TLZOSIJ,O,O,X,X,X
TLZOSJI,O,O,X,X,X
TLOIJSZ,O,O,X,X,X
TLOIJZS,X,O,X,X,X
TLOISJZ,O,O,O,X,X
TLOISZJ,O,O,O,X,X
TLOIZJS,O,X,X,X,X
TLOIZSJ,O,X,O,X,X
TLOJISZ,O,O,X,X,X
TLOJIZS,O,O,X,X,X
TLOJSIZ,O,O,X,X,X
TLOJSZI,O,O,X,X,O
TLOJZIS,O,O,X,X,X
TLOJZSI,O,O,X,X,O
TLOSIJZ,O,O,X,X,X
TLOSIZJ,O,O,X,X,X
TLOSJIZ,O,O,X,X,X
TLOSJZI,O,O,X,O,O
TLOSZIJ,O,O,X,X,X
TLOSZJI,O,O,X,X,X
TLOZIJS,O,X,X,X,X
TLOZISJ,O,X,X,X,X
TLOZJIS,O,O,X,X,X
TLOZJSI,O,O,X,X,X
TLOZSIJ,O,O,X,X,X
TLOZSJI,O,O,X,X,X
TJILSZO,O,O,X,X,X
TJILSOZ,O,O,X,X,X
TJILZSO,X,O,X,X,X
TJILZOS,X,O,X,X,X
TJILOSZ,O,O,X,X,X
TJILOZS,O,O,X,X,X
TJISLZO,X,O,O,X,X
TJISLOZ,O,O,O,X,X
TJISZLO,X,O,O,X,O
TJISZOL,O,O,O,X,O
TJISOLZ,O,O,O,X,X
TJISOZL,O,O,O,X,O
TJIZLSO,O,X,X,X,X
TJIZLOS,O,X,X,X,X
TJIZSLO,O,O,O,O,O
TJIZSOL,O,O,O,O,O
TJIZOLS,O,X,X,X,X
TJIZOSL,O,O,O,O,O
TJIOLSZ,O,O,X,X,X
TJIOLZS,O,O,X,X,X
TJIOSLZ,O,O,O,X,X
TJIOSZL,O,O,O,X,O
TJIOZLS,O,X,X,X,X
TJIOZSL,O,O,O,O,O
TJLISZO,O,O,X,X,X
TJLISOZ,O,O,X,X,X
TJLIZSO,X,O,X,X,X
TJLIZOS,X,O,X,X,X
TJLIOSZ,O,O,X,X,X
TJLIOZS,O,O,X,X,X
TJLSIZO,O,O,X,X,X
TJLSIOZ,O,O,X,X,X
TJLSZIO,O,O,X,X,O
TJLSZOI,O,O,X,X,O
TJLSOIZ,O,O,X,X,X
TJLSOZI,O,O,X,X,O
