sequence,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFRhB/pBOqB8qBCn?BTsB,v115@EhC8HeB8HeC8CeB8BeB8Jex/IvhF/mBUiBikB1qBWv?BTsB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhF2lBRhBfsB6sB0p?BlqB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhF2lBRhBSsBlpB3q?BUsB,v115@EhC8HeB8HeC8CeB8BeB8Jex/IvhFihBTkBGnBlqBUs?BXqB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFzgB/pBKqBGnBRr?BUsB,v115@EhC8HeB8HeC8CeB8BeB8Jei/IvhFRhB1pB8qBzmB+s?BXqB,v115@EhC8HeB8HeC8CeB8BeB8Je0/IvhFlgB2pBxmB3mBSv?BTsB,v115@EhC8HeB8HeC8CeB8BeB8JeRBJvhF/pBFlB8qBCnBTs?BmpB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhFRhByqB0pBGsB/q?BFsB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFanB/pBxlB+sBUm?BTqB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFUhBanB/pB+sBxq?BTqB,v115@EhC8HeB8HeC8CeB8BeB8JeRBJvhFypBzlBGsB/pBFs?BUqB
TILJSZO,X,O,O,X,X,O,X,X,X,X,X,X,X
TILJSOZ,X,X,O,X,X,O,X,X,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,O,X,X,X,X,X,X
TILJZOS,X,X,O,X,X,X,O,X,X,X,X,X,X
TILJOSZ,X,O,X,X,X,O,O,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,X,O,O,O,X,O,X,X,X,X,X,X,X
TILSJOZ,X,X,O,O,X,O,X,X,X,X,X,X,X
TILSZJO,X,O,O,X,X,O,X,X,X,X,X,X,X
TILSZOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
TILSOJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,X,O,X,X,X,X,X,X,X
TILZJSO,X,X,O,X,X,X,O,X,X,X,X,X,X
TILZJOS,X,X,O,X,X,X,O,X,X,X,X,X,X
TILZSJO,X,O,O,X,X,X,O,X,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,O,X,X,X,O,X,X,X,X,X,X
TILZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,O,O,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJLSZO,X,O,O,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,O,O,X,X,O,X,X,X,X,X,X,X
TIJLZSO,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJLZOS,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJLOZS,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJSLZO,X,O,O,X,X,O,X,X,X,X,X,X,X
TIJSLOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
