sequence,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hB6?sBXqBzrB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hBX?qBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je/EJvhFRgBFiBTlB0?mB2uBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFCgB0hBllBz?pBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je2EJvhFRgB1mBcqBX?nBTpBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBTkBllBy?uBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lB6?sBzrBFqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBlkB3lB2?uBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeT/IvhFxhBllBUnBi?pBWxBXqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lBC?sBFqBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBfqBllBT?nBWxBCqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBKpBfqBl?lBTnBWxB
TILJSZO,X,O,X,X,X,X,X,X,X,O,X,X
TILJSOZ,X,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,O,X,X,X,X,X,X,O,O,X,X
TILJZOS,O,X,X,X,X,O,X,X,O,X,X,X
TILJOSZ,X,X,X,X,X,O,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,O,X,X,O,X,X,X
TILSJZO,O,O,X,X,X,X,X,X,X,O,X,X
TILSJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X,O,X,X
TILSZOJ,X,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,X,X,X,X,X,X,X,O,X,X
TILZJOS,O,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X,O,X,X
TILZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,O,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,O,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,O,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,O,X,X,O,X,X,X
TILOSJZ,O,O,X,X,X,O,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,O,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,O,X,X,X,X,X,X
TILOZSJ,O,O,X,X,X,O,X,X,X,X,X,X
TIJLSZO,X,O,X,X,X,X,X,X,X,O,X,X
TIJLSOZ,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,O,X,X,X,X,X,X,O,O,X,X
TIJLZOS,O,X,X,X,X,O,X,X,O,X,X,X
TIJLOSZ,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,O,X,X,O,X,X,X
TIJSLZO,O,O,O,X,X,X,X,X,X,O,O,X
TIJSLOZ,O,O,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X,X,X,O,O,X
TIJSZOL,O,O,O,X,X,X,O,X,X,X,O,X
TIJSOLZ,O,O,O,X,X,X,X,X,X,X,X,X
TIJSOZL,O,O,O,X,X,X,O,X,X,X,O,X
TIJZLSO,O,X,X,X,X,X,X,X,O,X,X,X
TIJZLOS,O,X,X,X,X,O,X,X,O,X,X,X
TIJZSLO,O,O,X,X,X,X,X,X,O,X,O,X
