sequence,v115@IhA8GeA8AeA8FeB8AeC8AeB8AeB8JeZEJvhFalBzgB?XjBUnBFrBGsB,v115@IhA8GeA8AeA8FeB8AeC8AeB8AeB8JeZEJvhFUgBFhB?XjBzmB6sBmqB
TILJSZO,X,X
TILJSOZ,X,X
TILJZSO,X,X
TILJZOS,X,X
TILJOSZ,X,X
TILJOZS,X,X
TILSJZO,X,X
TILSJOZ,X,X
TILSZJO,X,X
TILSZOJ,O,X
TILSOJZ,X,X
TILSOZJ,O,X
TILZJSO,X,X
TILZJOS,X,X
TILZSJO,X,X
TILZSOJ,O,X
TILZOJS,X,X
TILZOSJ,O,X
TILOJSZ,X,X
TILOJZS,X,X
TILOSJZ,X,X
TILOSZJ,O,X
TILOZJS,X,X
TILOZSJ,O,X
TIJLSZO,X,X
TIJLSOZ,X,X
TIJLZSO,X,X
TIJLZOS,X,X
TIJLOSZ,X,X
TIJLOZS,X,X
TIJSLZO,X,X
TIJSLOZ,X,X
TIJSZLO,X,X
TIJSZOL,X,X
TIJSOLZ,X,X
TIJSOZL,X,X
TIJZLSO,X,X
TIJZLOS,X,X
TIJZSLO,X,X
TIJZSOL,X,X
TIJZOLS,X,X
TIJZOSL,X,X
TIJOLSZ,X,X
TIJOLZS,X,X
TIJOSLZ,X,X
TIJOSZL,X,X
TIJOZLS,X,X
TIJOZSL,X,X
TISLJZO,X,X
TISLJOZ,X,X
TISLZJO,X,X
TISLZOJ,O,X
TISLOJZ,X,X
TISLOZJ,O,X
TISJLZO,X,X
TISJLOZ,X,X
TISJZLO,X,X
TISJZOL,X,X
TISJOLZ,X,X
TISJOZL,X,X
TISZLJO,X,X
TISZLOJ,O,X
TISZJLO,X,X
TISZJOL,X,X
TISZOLJ,O,X
TISZOJL,X,X
TISOLJZ,X,X
TISOLZJ,O,X
TISOJLZ,X,X
TISOJZL,X,X
TISOZLJ,O,X
TISOZJL,X,X
TIZLJSO,X,X
TIZLJOS,X,X
TIZLSJO,X,X
TIZLSOJ,O,X
TIZLOJS,X,X
TIZLOSJ,O,X
TIZJLSO,X,X
TIZJLOS,X,X
TIZJSLO,X,X
TIZJSOL,X,X
TIZJOLS,X,X
TIZJOSL,X,X
TIZSLJO,X,X
TIZSLOJ,O,X
TIZSJLO,X,X
TIZSJOL,X,X
TIZSOLJ,O,X
TIZSOJL,X,X
TIZOLJS,X,X
TIZOLSJ,O,X
TIZOJLS,X,X
TIZOJSL,X,X
TIZOSLJ,O,X
TIZOSJL,X,X
TIOLJSZ,X,X
TIOLJZS,X,X
TIOLSJZ,X,X
TIOLSZJ,O,X
TIOLZJS,X,X
TIOLZSJ,O,X
TIOJLSZ,X,X
TIOJLZS,X,X
TIOJSLZ,X,X
TIOJSZL,X,X
TIOJZLS,X,X
TIOJZSL,X,X
TIOSLJZ,X,X
TIOSLZJ,O,X
TIOSJLZ,X,X
TIOSJZL,X,X
TIOSZLJ,O,X
TIOSZJL,X,X
TIOZLJS,X,X
TIOZLSJ,O,X
TIOZJLS,X,X
TIOZJSL,X,X
TIOZSLJ,O,X
TIOZSJL,X,X
TLIJSZO,X,X
TLIJSOZ,X,X
TLIJZSO,X,X
TLIJZOS,X,X
TLIJOSZ,X,X
TLIJOZS,X,X
TLISJZO,X,X
TLISJOZ,X,X
TLISZJO,X,X
TLISZOJ,O,X
TLISOJZ,X,X
TLISOZJ,O,X
TLIZJSO,X,X
TLIZJOS,X,X
TLIZSJO,X,X
TLIZSOJ,O,X
TLIZOJS,X,X
TLIZOSJ,O,X
TLIOJSZ,X,X
TLIOJZS,X,X
TLIOSJZ,X,X
TLIOSZJ,O,X
