sequence,v115@QhA8EeE8AeA8CeE8JeZEJvhFukBUhBFiBXjBTlByvB,v115@QhA8EeE8AeA8CeE8Jei/IvhFFiBXjBcpBxlBzlB2vB,v115@QhA8EeE8AeA8CeE8JeUBJvhFFiBXjBxkBmpBzqBipB
TILJSZO,O,O,X
TILJSOZ,O,X,X
TILJZSO,O,O,X
TILJZOS,O,O,X
TILJOSZ,O,X,X
TILJOZS,O,X,X
TILSJZO,O,O,X
TILSJOZ,O,X,X
TILSZJO,O,O,X
TILSZOJ,O,O,X
TILSOJZ,O,X,X
TILSOZJ,O,X,X
TILZJSO,O,O,X
TILZJOS,O,X,X
TILZSJO,O,O,X
TILZSOJ,O,O,X
TILZOJS,O,X,X
TILZOSJ,O,O,X
TILOJSZ,O,X,X
TILOJZS,O,X,X
TILOSJZ,O,X,X
TILOSZJ,O,X,X
TILOZJS,O,X,X
TILOZSJ,O,X,X
TIJLSZO,O,O,X
TIJLSOZ,O,X,X
TIJLZSO,O,O,X
TIJLZOS,O,O,X
TIJLOSZ,O,X,X
TIJLOZS,O,X,X
TIJSLZO,O,O,X
TIJSLOZ,O,X,X
TIJSZLO,O,O,X
TIJSZOL,O,O,X
TIJSOLZ,O,X,O
TIJSOZL,O,O,O
TIJZLSO,O,O,X
TIJZLOS,O,O,X
TIJZSLO,O,O,X
TIJZSOL,O,O,X
TIJZOLS,X,O,X
TIJZOSL,O,O,X
TIJOLSZ,O,X,O
TIJOLZS,O,X,O
TIJOSLZ,O,X,O
TIJOSZL,O,O,O
TIJOZLS,X,O,O
TIJOZSL,O,O,O
TISLJZO,O,O,X
TISLJOZ,O,X,X
TISLZJO,O,O,X
TISLZOJ,O,O,X
TISLOJZ,O,X,X
TISLOZJ,O,X,X
TISJLZO,O,O,X
TISJLOZ,O,X,X
TISJZLO,O,O,X
TISJZOL,O,O,X
TISJOLZ,O,X,O
TISJOZL,O,O,O
TISZLJO,O,O,X
TISZLOJ,O,O,X
TISZJLO,O,O,X
TISZJOL,O,O,X
TISZOLJ,O,O,O
TISZOJL,O,X,O
TISOLJZ,O,X,X
TISOLZJ,O,X,O
TISOJLZ,O,X,O
TISOJZL,O,O,O
TISOZLJ,O,O,O
TISOZJL,O,X,O
TIZLJSO,O,O,X
TIZLJOS,O,O,X
TIZLSJO,O,O,X
TIZLSOJ,O,O,X
TIZLOJS,O,X,X
TIZLOSJ,O,O,X
TIZJLSO,O,O,X
TIZJLOS,O,O,X
TIZJSLO,O,O,X
TIZJSOL,O,O,X
TIZJOLS,X,O,X
TIZJOSL,O,O,X
TIZSLJO,O,O,X
TIZSLOJ,O,O,X
TIZSJLO,O,O,X
TIZSJOL,O,O,X
TIZSOLJ,O,O,O
TIZSOJL,O,X,O
TIZOLJS,O,X,X
TIZOLSJ,O,O,O
TIZOJLS,X,X,O
TIZOJSL,O,X,O
TIZOSLJ,O,O,O
TIZOSJL,O,X,O
TIOLJSZ,O,X,X
TIOLJZS,O,X,X
TIOLSJZ,O,X,X
TIOLSZJ,O,X,O
TIOLZJS,O,X,X
TIOLZSJ,O,X,O
TIOJLSZ,O,X,O
TIOJLZS,O,X,O
TIOJSLZ,O,X,O
TIOJSZL,O,O,O
TIOJZLS,X,O,O
TIOJZSL,O,O,O
TIOSLJZ,O,X,X
TIOSLZJ,O,X,O
TIOSJLZ,O,X,O
TIOSJZL,O,O,O
TIOSZLJ,O,O,O
TIOSZJL,O,X,O
TIOZLJS,O,X,X
TIOZLSJ,O,O,O
TIOZJLS,X,X,O
TIOZJSL,O,X,O
TIOZSLJ,O,O,O
TIOZSJL,O,X,O
TLIJSZO,O,O,X
TLIJSOZ,O,X,X
TLIJZSO,O,O,X
TLIJZOS,O,O,X
TLIJOSZ,O,X,X
TLIJOZS,O,X,X
TLISJZO,O,O,X
TLISJOZ,O,X,X
TLISZJO,O,O,X
TLISZOJ,O,O,X
TLISOJZ,O,X,X
TLISOZJ,O,X,X
TLIZJSO,O,O,X
TLIZJOS,O,X,X
TLIZSJO,O,O,X
TLIZSOJ,O,O,X
TLIZOJS,O,X,X
TLIZOSJ,O,O,X
TLIOJSZ,O,X,X
TLIOJZS,O,X,X
TLIOSJZ,O,X,X
TLIOSZJ,O,X,X
TLIOZJS,O,X,X
TLIOZSJ,O,X,X
TLJISZO,O,O,X
TLJISOZ,O,X,X
TLJIZSO,O,O,X
TLJIZOS,O,O,X
TLJIOSZ,O,X,X
TLJIOZS,O,X,X
TLJSIZO,O,O,X
TLJSIOZ,O,X,X
TLJSZIO,O,O,X
TLJSZOI,O,O,X
TLJSOIZ,O,X,O
TLJSOZI,O,X,O
TLJZISO,O,O,X
TLJZIOS,O,O,X
TLJZSIO,O,O,X
TLJZSOI,O,O,X
TLJZOIS,O,O,X
TLJZOSI,O,O,X
TLJOISZ,O,X,O
TLJOIZS,O,X,O
TLJOSIZ,O,X,O
TLJOSZI,O,X,O
TLJOZIS,O,X,O
TLJOZSI,O,X,O
TLSIJZO,O,O,X
TLSIJOZ,O,X,X
TLSIZJO,O,O,X
TLSIZOJ,O,O,X
TLSIOJZ,O,X,X
TLSIOZJ,O,X,X
TLSJIZO,O,O,X
TLSJIOZ,O,X,X
TLSJZIO,O,O,X
TLSJZOI,O,O,X
TLSJOIZ,O,X,O
TLSJOZI,O,X,O
TLSZIJO,O,O,X
