sequence,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lB/mBRiBcoBOs?BVwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFxgBliBcoBCmBes?BXrB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFlgBRiBcoBXmBOs?BSwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBxiBmmBFoBXr?B0rB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBlhB3iBcoB2r?BRwB
TILJSZO,O,X,X,O,O
TILJSOZ,O,X,X,O,O
TILJZSO,O,X,O,X,O
TILJZOS,O,X,O,X,O
TILJOSZ,O,X,X,O,O
TILJOZS,O,X,O,X,O
TILSJZO,O,X,X,O,X
TILSJOZ,O,X,X,O,X
TILSZJO,O,X,X,O,X
TILSZOJ,O,X,X,O,X
TILSOJZ,O,X,X,O,X
TILSOZJ,O,X,X,O,X
TILZJSO,O,X,O,X,O
TILZJOS,O,X,O,X,O
TILZSJO,O,X,X,O,O
TILZSOJ,O,X,O,O,O
TILZOJS,O,X,O,X,O
TILZOSJ,O,X,O,O,O
TILOJSZ,O,X,X,O,O
TILOJZS,O,X,O,X,O
TILOSJZ,O,X,X,O,X
TILOSZJ,O,X,X,O,X
TILOZJS,O,X,O,X,O
TILOZSJ,O,X,O,O,O
TIJLSZO,O,X,X,O,O
TIJLSOZ,O,X,X,O,O
TIJLZSO,O,X,X,X,O
TIJLZOS,O,X,X,X,O
TIJLOSZ,O,X,X,O,O
TIJLOZS,O,X,X,X,O
TIJSLZO,O,X,X,O,O
TIJSLOZ,O,X,X,O,O
TIJSZLO,O,X,X,O,O
TIJSZOL,O,X,X,O,O
TIJSOLZ,O,X,X,O,O
TIJSOZL,O,X,X,O,O
TIJZLSO,O,X,X,X,O
TIJZLOS,O,O,O,X,O
TIJZSLO,O,X,X,X,O
TIJZSOL,O,O,O,X,O
TIJZOLS,O,O,O,X,O
TIJZOSL,O,O,O,X,O
TIJOLSZ,O,X,X,O,O
TIJOLZS,O,X,X,X,O
TIJOSLZ,O,X,X,O,O
TIJOSZL,O,X,X,O,O
TIJOZLS,O,O,O,X,O
TIJOZSL,O,O,O,X,O
TISLJZO,O,O,X,O,X
TISLJOZ,O,O,X,O,X
TISLZJO,O,O,X,O,X
TISLZOJ,O,O,X,O,X
TISLOJZ,O,O,X,O,X
TISLOZJ,O,O,X,O,X
TISJLZO,O,X,X,O,X
TISJLOZ,O,X,X,O,X
TISJZLO,O,O,X,O,X
TISJZOL,O,O,X,O,X
TISJOLZ,O,X,X,O,X
TISJOZL,O,O,X,O,X
TISZLJO,O,O,X,O,X
TISZLOJ,O,O,X,O,X
TISZJLO,O,O,X,O,X
TISZJOL,O,O,X,O,X
TISZOLJ,O,O,X,O,X
TISZOJL,O,O,X,O,X
TISOLJZ,O,O,X,O,X
TISOLZJ,O,O,X,O,X
TISOJLZ,O,X,X,O,X
TISOJZL,O,O,X,O,X
TISOZLJ,O,O,X,O,X
TISOZJL,O,O,X,O,X
TIZLJSO,O,X,O,X,O
TIZLJOS,O,X,O,X,O
TIZLSJO,O,X,X,O,O
TIZLSOJ,O,X,O,O,O
TIZLOJS,O,O,O,X,O
