sequence,v115@KhB8HeC8DeA8BeD8AeB8JeOEJvhFXgBxhB6oBFnB8s?BzpB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBCjBmkB/sBTo?B0pB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBGjBikB/sBUo?BzpB,v115@KhB8HeC8DeA8BeD8AeB8JeXAJvhFxhBTjB2pBFnBCt?B0pB,v115@KhB8HeC8DeA8BeD8AeB8JeOEJvhFXgB0hBSoBzpBxs?BlsB,v115@KhB8HeC8DeA8BeD8AeB8JeT/IvhF0hBxiBypBGoBls?BXqB,v115@KhB8HeC8DeA8BeD8AeB8JeFAJvhF0hBTjBmpBxsB/p?B6sB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBSoBTkBeqB/s?BUtB
TILJSZO,O,X,O,O,X,O,X,X
TILJSOZ,X,X,X,O,X,O,X,X
TILJZSO,X,X,X,O,X,O,X,X
TILJZOS,X,X,X,O,X,O,X,X
TILJOSZ,X,X,X,O,X,O,X,X
TILJOZS,X,X,X,O,X,O,X,X
TILSJZO,O,O,O,O,X,X,X,X
TILSJOZ,X,O,X,O,X,X,X,X
TILSZJO,X,O,O,O,X,X,X,X
TILSZOJ,X,O,O,O,X,X,X,X
TILSOJZ,X,O,X,O,X,X,X,X
TILSOZJ,X,O,O,O,X,X,X,X
TILZJSO,X,X,X,O,X,O,X,X
TILZJOS,X,X,X,O,X,O,X,X
TILZSJO,X,X,O,O,X,X,X,X
TILZSOJ,X,X,O,O,X,X,X,X
TILZOJS,X,X,X,O,O,O,X,X
TILZOSJ,X,X,X,O,O,X,X,X
TILOJSZ,O,X,X,O,O,O,X,X
TILOJZS,X,X,X,O,O,O,X,X
TILOSJZ,O,X,X,O,O,X,X,X
TILOSZJ,X,X,O,O,O,X,X,X
TILOZJS,X,X,X,O,O,O,X,X
TILOZSJ,X,X,X,O,O,X,X,X
TIJLSZO,O,X,X,O,X,O,O,X
TIJLSOZ,X,X,X,O,X,O,O,X
TIJLZSO,X,X,X,O,X,O,O,X
TIJLZOS,X,X,X,O,X,O,O,X
TIJLOSZ,X,X,X,O,X,O,O,X
TIJLOZS,X,X,X,O,X,O,O,X
TIJSLZO,O,O,X,O,X,O,O,X
TIJSLOZ,X,O,X,O,X,O,O,O
TIJSZLO,O,X,O,O,X,O,O,X
TIJSZOL,X,X,O,X,X,X,O,X
TIJSOLZ,X,O,X,O,X,X,O,O
TIJSOZL,X,X,X,X,X,X,O,O
TIJZLSO,O,X,X,O,X,O,O,X
