sequence,v115@GhB8HeD8FeF8Oex/IvhF0hBliBGlB/rBKtBTsB,v115@GhB8HeD8FeF8Oe0/IvhFxgBymBziBWrBXsBVyB,v115@GhB8HeD8FeF8Oe0/IvhFxgBmiBzlBCnBXsBVyB,v115@GhB8HeD8FeF8Oe0/IvhF6lBlhBziB/rB2sBxxB
TILJSZO,O,X,X,O
TILJSOZ,O,X,X,O
TILJZSO,O,X,X,O
TILJZOS,O,X,X,O
TILJOSZ,O,X,X,O
TILJOZS,O,X,X,O
TILSJZO,O,X,X,O
TILSJOZ,O,X,X,O
TILSZJO,O,X,X,O
TILSZOJ,O,X,X,O
TILSOJZ,O,X,X,O
TILSOZJ,O,X,X,O
TILZJSO,O,X,X,O
TILZJOS,O,X,X,O
TILZSJO,O,X,X,O
TILZSOJ,O,X,X,O
TILZOJS,O,X,X,X
TILZOSJ,O,X,X,X
TILOJSZ,O,X,X,X
TILOJZS,O,X,X,X
TILOSJZ,O,X,X,X
TILOSZJ,O,X,X,X
TILOZJS,O,X,X,X
TILOZSJ,O,X,X,X
TIJLSZO,O,O,X,O
TIJLSOZ,O,O,X,O
TIJLZSO,O,O,X,O
TIJLZOS,O,O,X,O
TIJLOSZ,O,O,X,O
TIJLOZS,O,O,X,O
TIJSLZO,O,O,O,O
TIJSLOZ,O,O,O,O
TIJSZLO,O,O,O,O
TIJSZOL,O,O,O,O
TIJSOLZ,O,O,O,O
TIJSOZL,O,O,O,O
TIJZLSO,X,O,O,O
TIJZLOS,X,O,O,O
TIJZSLO,X,O,O,O
TIJZSOL,X,O,O,O
TIJZOLS,X,O,O,O
TIJZOSL,X,O,O,O
TIJOLSZ,O,O,X,O
TIJOLZS,O,O,O,O
TIJOSLZ,O,O,X,O
TIJOSZL,O,O,O,O
TIJOZLS,X,O,O,O
TIJOZSL,X,O,O,O
TISLJZO,O,O,O,O
TISLJOZ,X,O,O,O
TISLZJO,O,O,O,O
TISLZOJ,O,O,O,O
TISLOJZ,O,O,O,O
TISLOZJ,O,O,O,O
TISJLZO,X,O,O,O
TISJLOZ,X,O,O,O
TISJZLO,X,O,O,O
TISJZOL,X,O,O,O
TISJOLZ,X,O,O,O
TISJOZL,X,O,O,O
TISZLJO,O,O,O,O
TISZLOJ,O,O,O,O
TISZJLO,X,O,O,O
TISZJOL,X,O,O,O
TISZOLJ,O,O,O,O
TISZOJL,X,O,O,O
TISOLJZ,O,O,O,O
TISOLZJ,O,O,O,O
TISOJLZ,X,O,O,O
TISOJZL,X,O,O,O
TISOZLJ,O,O,O,O
TISOZJL,X,O,O,O
TIZLJSO,X,O,O,O
TIZLJOS,X,O,O,O
TIZLSJO,X,O,O,O
TIZLSOJ,X,O,O,O
TIZLOJS,X,O,O,X
TIZLOSJ,X,X,O,X
TIZJLSO,X,O,O,O
TIZJLOS,X,O,O,O
TIZJSLO,X,O,O,O
TIZJSOL,X,O,O,O
TIZJOLS,X,O,O,O
TIZJOSL,X,O,O,O
TIZSLJO,X,O,O,O
TIZSLOJ,X,O,O,O
TIZSJLO,X,O,O,O
TIZSJOL,X,O,O,O
TIZSOLJ,X,O,O,O
