sequence,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBXjBlmBctBTsBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBlnBctBzrBCtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBTjBlmBcsBXtBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBFiBTjB6rBcsBXtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBCjB8rBToB1xB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBlmBcsBToBCsBXtB,v115@KhA8FeE8EeE8DeA8JeT/IvhFigBxiBlmB3nBctBWxB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBfoB6oBlmB0sBzrB
TILJSZO,X,X,X,O,O,X,X,X
TILJSOZ,X,X,X,O,X,X,X,X
TILJZSO,O,X,O,O,O,X,X,O
TILJZOS,X,X,X,O,O,O,X,X
TILJOSZ,X,X,X,X,O,X,X,X
TILJOZS,O,X,X,O,O,X,X,X
TILSJZO,X,X,X,O,O,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X
TILSZJO,X,X,X,O,O,X,X,X
TILSZOJ,X,X,X,O,O,X,X,X
TILSOJZ,X,X,X,O,X,X,X,X
TILSOZJ,X,X,X,O,X,X,X,X
TILZJSO,O,X,O,O,O,X,X,O
TILZJOS,X,X,X,O,O,O,X,X
TILZSJO,O,X,O,O,O,X,O,O
TILZSOJ,X,X,O,O,O,X,O,O
TILZOJS,X,X,X,O,O,O,X,X
TILZOSJ,X,X,X,O,O,X,O,X
TILOJSZ,X,X,X,X,O,X,X,X
TILOJZS,O,X,X,O,O,X,X,X
TILOSJZ,X,X,X,X,O,X,X,X
TILOSZJ,X,X,X,X,O,X,X,X
TILOZJS,O,X,X,O,O,X,X,X
TILOZSJ,O,X,X,O,O,X,O,X
TIJLSZO,X,X,X,O,O,X,X,X
TIJLSOZ,X,X,X,O,X,X,X,X
TIJLZSO,O,X,O,O,O,X,X,O
TIJLZOS,X,X,X,O,O,O,X,X
TIJLOSZ,X,X,X,X,O,X,X,X
TIJLOZS,O,X,X,O,O,X,X,X
TIJSLZO,X,X,X,O,O,X,X,X
TIJSLOZ,X,X,X,O,X,X,X,X
TIJSZLO,O,X,O,O,O,X,X,O
TIJSZOL,O,X,O,O,O,O,X,O
TIJSOLZ,X,X,X,O,O,X,X,X
TIJSOZL,O,O,O,O,O,X,X,X
TIJZLSO,O,X,O,O,O,X,X,O
TIJZLOS,X,X,X,X,O,O,X,X
TIJZSLO,O,X,O,O,O,X,X,O
TIJZSOL,O,X,O,O,O,O,X,O
TIJZOLS,O,O,X,X,O,O,X,X
TIJZOSL,O,O,O,O,O,O,X,O
TIJOLSZ,X,X,X,X,O,X,X,X
TIJOLZS,O,X,X,X,O,X,X,X
TIJOSLZ,X,X,X,X,O,X,X,X
TIJOSZL,O,O,X,X,O,X,X,X
TIJOZLS,O,O,X,X,O,O,X,X
TIJOZSL,O,O,O,X,O,O,X,O
TISLJZO,X,X,X,O,O,X,X,X
TISLJOZ,X,X,X,O,X,X,X,X
TISLZJO,X,X,X,O,O,X,X,X
TISLZOJ,X,X,X,O,O,X,X,X
TISLOJZ,X,X,X,O,X,X,X,X
TISLOZJ,X,X,X,O,X,X,X,X
TISJLZO,X,X,X,O,O,X,X,X
TISJLOZ,X,X,X,O,X,X,X,X
TISJZLO,O,X,O,O,O,X,X,O
TISJZOL,O,X,O,O,O,O,X,O
TISJOLZ,X,X,X,O,O,X,X,X
TISJOZL,O,O,O,O,O,X,X,X
TISZLJO,O,X,O,O,O,X,X,O
TISZLOJ,X,X,O,O,O,X,X,O
TISZJLO,O,X,O,O,O,X,X,O
TISZJOL,O,X,O,O,O,O,X,O
TISZOLJ,X,X,O,O,O,X,X,O
TISZOJL,O,X,O,O,O,O,X,O
TISOLJZ,X,X,X,O,O,X,X,X
TISOLZJ,X,X,X,O,O,X,X,X
TISOJLZ,X,X,X,O,O,X,X,X
