sequence,v115@vhHZ/IzgB+pBKqBUnB/tBFrBRxB,v115@vhH5DJzhBcpB3lB+sBKtBlrBRvB,v115@vhHZDJzfBKpBUmB/sB+tBFqBRwB,v115@vhH5/IziBKpBcqB3mB+tBlsBRwB,v115@vhHU4ICiB2pBTnB/tBFrBxuBRxB,v115@vhH32ImgBcpBTlBStBlrBRvBxxB,v115@vhHT5IfnBeoB5oBKpBUqBFrBRxB,v115@vhHT1IZkBqkB8lB+tBlrB3sBRvB,v115@vhH/DJZkBqpBxlBlnBmqBUsBTtB,v115@vhHc/I5oBFlBxmBetBTpB3qBCsB,v115@vhH2CJfnB5oBKpBznBUqBFrBRxB,v115@vhHSAJZkB8lBzkB+tBlrB3sBRvB,v115@vhH6DJOkBzkBUnB/tBFrBxuBRxB,v115@vhHO/I6oBcpB3lBznBlrBRvBxxB,v115@vhHUCJ5oBKpBzkBXmBetBFsBxvB,v115@vhHZEJ3gBqpB0mBznB+tBlqBxwB,v115@vhHO6IalBTkBUnB/tBFrBxuBRxB,v115@vhH6+IunBcpB3lBToBlrBRvBxxB,v115@vhHc/I5jBFlBxmBKtBTpB3qBGsB,v115@vhHZ/I/jB+pBxlBlnBiqBUsBTtB,v115@vhHc/I+jBFlBxmBTpB3qBRsBSyB,v115@vhHK/I/jBxlBlnB2uBRqBUsBTtB,v115@vhHZEJ0iBqpBTlB3mB+tBlsBRwB,v115@vhHXAJ5oBKpBUmBTnBetBFqBRwB,v115@vhH0/IfmBKpBxnBFqBGsBTtBRwB,v115@vhH8GJXjBxkB+tBTpBiqBlsBRwB,v115@vhH5+IzgB+mBKpB/tBFqB0sBRwB,v115@vhHZ6IKmBzhBcpB+tBXqBlsBRwB,v115@vhH5+IejBKpBUmB/sBFqBTtBRwB,v115@vhHZ6IqfBcqB3mB+tBTpBlsBRwB,v115@vhH5+I0fBfnB2pBFrBSxBTtBxuB,v115@vhHZ6I8lBXjBStBTpB2vBlrBxxB
comments,I-01,I-01M,I-02,I-02M,I-03/Out of Order TKI,I-03M/Out of Order TKI,I-04/God,I-04M/God,I-05/TSD,I-05M/TSD,I-06,I-06M,I-07,I-07M,I-08,I-08M,I-09,I-09M,I-10,I-10M,I-10,I-10M,I-11,I-11M,I-12,I-12M,I-13,I-13M,I-14,I-14M,I-15,I-15M
score,5053.214285714285,5053.214285714285,5048.9682539682535,5048.9682539682535,5017.857142857143,5017.857142857143,5003.452380952381,5003.452380952381,4988.789682539683,4988.789682539683,4977.5,4977.5,4966.507936507936,4966.507936507936,4892.916666666667,4892.916666666667,4887.341269841269,4887.341269841269,4875.734126984127,4875.734126984127,4875.734126984127,4875.734126984127,4861.309523809524,4861.309523809524,4850.178571428572,4850.178571428572,4847.658730158731,4847.658730158731,4841.746031746032,4841.746031746032,4822.242063492064,4822.242063492064
TILJSZO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
