sequence,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFXgBxhBzlBCnBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF0gBxhBzkBCnB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFTgBxhBfqB8qBCn?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhF8lBGiBTkBKqB3m?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JexAJvhFTiBikBGmB0kB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBfmBxhBCnBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFTiBikBGmBXmBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je0/IvhFxgBTiB2pBSrBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFXhBTiB2pBSrBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFGiB3kBRmBUmBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFRhBSnBUmB3kBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFfmB6mBTiBxpBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBSmBTiBxqBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFzgBGiB3mBxpBls?BUqB
TILJSZO,O,O,O,O,X,O,X,O,O,O,X,O,X,O
TILJSOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TILJZSO,O,O,O,O,X,O,O,O,O,X,X,X,O,O
TILJZOS,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TILJOSZ,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TILJOZS,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TILSJZO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TILSJOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TILSZJO,O,O,O,O,X,O,O,X,X,O,X,O,O,O
TILSZOJ,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TILSOJZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TILSOZJ,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TILZJSO,O,O,O,O,X,O,O,O,X,X,X,X,O,O
TILZJOS,O,O,O,O,X,X,O,O,X,X,X,X,O,O
TILZSJO,O,O,O,O,X,O,O,X,X,X,X,X,O,O
TILZSOJ,O,O,O,X,X,O,O,X,X,X,X,X,O,O
TILZOJS,O,O,O,O,X,X,O,O,X,X,X,X,O,O
TILZOSJ,O,O,O,O,X,X,O,X,X,X,X,X,O,X
TILOJSZ,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TILOJZS,O,O,O,O,O,X,O,O,O,X,O,X,O,O
