sequence,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhFXgB8lBanB5?nB9rBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBanB5?nB9rBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeT/IvhFKlBfmBmhB5?nBtrB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFUhBanB5nBX?lBGrBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lBGiBikB9?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFRgBGiB0lB6?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB2pBzlBt?rB6sBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeyEJvhFzgBGiB9rB/?sBxpB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB/pBzlBt?rB6sBOqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBXqBx?rBtrB6sB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lB/pBaqB9?rBTnBGsB
TILJSZO,O,O,O,O,X,O,X,O,X,X,X
TILJSOZ,O,O,O,O,X,O,X,O,O,X,X
TILJZSO,O,X,O,O,X,X,X,X,X,X,X
TILJZOS,O,X,O,O,X,X,O,X,X,X,X
TILJOSZ,O,O,X,O,X,X,O,O,O,X,X
TILJOZS,O,X,X,O,X,X,O,X,X,X,X
TILSJZO,O,O,O,O,O,O,X,O,X,X,X
TILSJOZ,O,O,O,O,X,O,X,O,O,X,X
TILSZJO,O,O,O,X,O,O,X,O,X,X,X
TILSZOJ,O,O,O,X,O,O,X,O,O,X,X
TILSOJZ,O,O,O,X,X,O,O,O,O,X,X
TILSOZJ,O,O,O,X,X,X,X,O,O,X,X
TILZJSO,O,X,O,O,O,O,X,X,X,X,X
TILZJOS,O,X,O,O,X,X,X,X,X,X,X
TILZSJO,O,O,O,X,O,O,X,O,X,X,X
TILZSOJ,O,O,O,X,O,O,X,O,O,X,X
TILZOJS,O,X,O,X,X,X,O,X,X,X,X
TILZOSJ,O,O,O,X,O,O,X,O,O,X,X
TILOJSZ,O,O,X,O,X,X,O,O,O,X,X
TILOJZS,O,X,X,O,X,X,O,X,X,X,X
TILOSJZ,O,O,O,X,X,O,O,O,O,X,X
TILOSZJ,O,O,O,X,X,X,X,O,O,X,X
