sequence,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThB/nBaoB5?oBUqBFrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBxiB0nB6?tBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBynB5oB0?nBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBFqBGqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBGqBFqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFxiBTmB0nB6?tBFqBXrB
TILJSZO,O,O,O,X,X,X
TILJSOZ,O,O,O,X,X,X
TILJZSO,X,O,O,X,X,O
TILJZOS,X,O,X,X,X,O
TILJOSZ,O,X,O,X,X,X
TILJOZS,X,X,X,X,X,O
TILSJZO,O,O,O,X,X,X
TILSJOZ,O,O,O,X,X,X
TILSZJO,O,O,O,X,X,X
TILSZOJ,O,O,O,X,X,X
TILSOJZ,O,O,O,X,X,X
TILSOZJ,O,O,O,X,X,X
TILZJSO,X,O,O,X,X,O
TILZJOS,X,O,X,X,X,O
TILZSJO,X,O,O,X,X,O
TILZSOJ,X,O,O,O,X,O
TILZOJS,X,O,X,O,X,O
TILZOSJ,X,O,X,O,X,O
TILOJSZ,O,X,O,X,X,X
TILOJZS,X,X,X,O,X,O
TILOSJZ,O,O,O,X,X,X
TILOSZJ,O,O,O,O,X,X
TILOZJS,X,X,X,O,X,O
TILOZSJ,X,X,X,O,X,O
TIJLSZO,O,X,O,X,X,X
TIJLSOZ,O,X,O,X,X,X
TIJLZSO,X,O,O,X,X,O
TIJLZOS,X,O,X,X,X,O
TIJLOSZ,O,X,O,X,X,X
TIJLOZS,X,X,X,X,X,O
TIJSLZO,O,X,O,X,X,X
TIJSLOZ,O,X,O,X,X,X
TIJSZLO,O,X,O,X,X,X
TIJSZOL,O,X,O,X,X,X
TIJSOLZ,O,X,O,X,X,X
TIJSOZL,O,X,O,X,X,X
TIJZLSO,O,O,O,X,X,O
TIJZLOS,O,O,X,X,X,O
TIJZSLO,O,O,X,X,X,X
TIJZSOL,O,O,X,O,O,X
