sequence,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigBOnB8nB5?oBlpB3qB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigB2nB5oB3?nB0pBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBlqBiqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBiqBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeiAJvhF2nB5oBTkB3?nBlqB0pB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFiiB5oB2qB3?nB0pBlqB
TILJSZO,X,O,X,X,X,X
TILJSOZ,X,X,X,X,O,X
TILJZSO,O,O,X,X,X,X
TILJZOS,O,O,X,X,O,X
TILJOSZ,X,X,X,X,O,X
TILJOZS,O,O,X,X,O,X
TILSJZO,O,O,X,X,X,X
TILSJOZ,O,X,X,X,O,X
TILSZJO,O,O,X,X,X,X
TILSZOJ,O,O,O,O,X,X
TILSOJZ,O,X,O,O,O,X
TILSOZJ,O,X,O,O,X,X
TILZJSO,O,O,X,X,X,X
TILZJOS,O,O,X,X,O,X
TILZSJO,O,O,X,X,X,X
TILZSOJ,O,O,X,X,X,X
TILZOJS,O,O,X,X,O,X
TILZOSJ,O,O,X,X,X,X
TILOJSZ,X,X,O,O,O,X
TILOJZS,O,O,X,X,O,X
TILOSJZ,X,X,O,O,O,X
TILOSZJ,O,X,O,O,X,X
TILOZJS,O,O,X,X,O,X
TILOZSJ,O,O,X,X,X,X
TIJLSZO,X,O,X,X,X,X
TIJLSOZ,X,X,X,X,O,X
TIJLZSO,O,O,X,X,X,X
TIJLZOS,O,O,X,X,O,X
TIJLOSZ,X,X,X,X,O,X
TIJLOZS,O,O,X,X,O,X
TIJSLZO,X,O,X,X,X,O
TIJSLOZ,X,X,X,X,O,X
TIJSZLO,X,O,X,X,X,O
TIJSZOL,X,O,O,X,X,O
TIJSOLZ,X,X,O,X,O,X
TIJSOZL,X,X,O,X,X,X
TIJZLSO,O,O,X,X,X,X
TIJZLOS,O,O,X,X,O,X
TIJZSLO,O,O,X,X,X,O
TIJZSOL,O,O,X,X,X,O
TIJZOLS,O,O,X,X,O,X
TIJZOSL,O,O,X,X,X,O
TIJOLSZ,X,X,O,X,O,X
TIJOLZS,O,O,X,X,O,X
TIJOSLZ,X,X,O,X,O,X
TIJOSZL,X,X,O,X,X,X
TIJOZLS,O,O,X,X,O,X
TIJOZSL,O,O,O,X,X,X
TISLJZO,O,O,X,X,X,O
TISLJOZ,O,X,X,X,O,X
TISLZJO,O,O,X,X,X,O
TISLZOJ,O,O,O,O,X,O
TISLOJZ,O,X,O,O,O,X
TISLOZJ,O,X,O,O,X,X
TISJLZO,O,O,X,X,X,O
TISJLOZ,O,X,X,X,O,X
TISJZLO,O,O,X,X,X,O
TISJZOL,O,O,O,X,X,O
TISJOLZ,O,X,O,X,O,X
TISJOZL,O,X,O,X,X,X
TISZLJO,O,O,X,X,X,O
TISZLOJ,O,O,O,X,X,O
TISZJLO,O,O,X,X,X,O
TISZJOL,O,O,O,X,X,O
TISZOLJ,O,O,O,X,X,O
TISZOJL,O,O,O,O,X,O
TISOLJZ,O,X,O,O,O,X
TISOLZJ,O,X,O,O,X,X
TISOJLZ,O,X,O,O,O,X
TISOJZL,O,X,O,O,X,X
TISOZLJ,O,X,O,X,X,X
TISOZJL,O,X,O,O,X,X
TIZLJSO,O,O,X,X,X,X
TIZLJOS,O,O,X,X,O,X
TIZLSJO,O,O,X,X,X,X
TIZLSOJ,O,O,X,X,X,X
TIZLOJS,O,O,X,X,O,X
TIZLOSJ,O,O,X,X,X,X
TIZJLSO,O,O,X,X,X,X
TIZJLOS,O,O,X,X,O,X
TIZJSLO,O,O,X,X,X,O
