sequence,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jei/IvhF5lBGiB?TjB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeKEJvhFzfB5lB?XjBctBFsBGsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jex/IvhFXjBTkB?6qBctBGsBFsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeOEJvhF8kB5lB?SsBToBFsBXtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je2EJvhF5lBSsB?ToB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je5FJvhFTjBlkB?WtBikBfsB0sB
TILJSZO,O,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X
TILJZSO,X,O,X,X,X,X
TILJZOS,X,O,X,X,X,X
TILJOSZ,O,X,X,X,O,O
TILJOZS,X,O,X,X,X,O
TILSJZO,O,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X
TILSZJO,O,O,X,X,X,X
TILSZOJ,O,O,X,X,X,X
TILSOJZ,O,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X
TILZJSO,X,O,X,X,X,X
TILZJOS,X,O,X,O,X,X
TILZSJO,X,O,X,X,X,X
TILZSOJ,X,O,X,X,X,X
TILZOJS,X,O,X,O,X,X
TILZOSJ,X,O,X,X,X,X
TILOJSZ,O,X,X,X,O,X
TILOJZS,X,O,X,X,X,X
TILOSJZ,O,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X
TILOZJS,X,O,X,O,X,X
TILOZSJ,X,O,X,X,X,X
TIJLSZO,O,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X
TIJLZSO,X,O,X,X,X,X
TIJLZOS,X,O,X,X,X,X
TIJLOSZ,O,X,X,X,O,O
TIJLOZS,X,O,X,X,X,O
TIJSLZO,O,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X
TIJSZLO,O,X,X,X,X,X
TIJSZOL,O,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,O
TIJSOZL,O,X,X,X,X,O
TIJZLSO,O,O,X,X,X,X
TIJZLOS,O,O,X,X,X,X
TIJZSLO,O,O,X,X,X,X
TIJZSOL,O,X,X,X,X,X
TIJZOLS,O,X,X,X,X,O
TIJZOSL,O,X,X,X,X,O
TIJOLSZ,O,X,X,X,O,O
TIJOLZS,X,X,X,X,X,O
TIJOSLZ,O,X,X,X,X,O
TIJOSZL,O,X,X,X,X,O
TIJOZLS,X,X,X,X,X,O
TIJOZSL,O,X,X,X,X,O
TISLJZO,O,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X
TISLZJO,O,O,X,X,X,X
TISLZOJ,O,O,X,X,X,X
TISLOJZ,O,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X
TISJLZO,O,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X
TISJZLO,O,X,X,X,X,X
TISJZOL,O,X,X,X,X,X
TISJOLZ,O,X,X,X,X,O
TISJOZL,O,X,X,X,X,O
TISZLJO,O,O,X,X,X,X
TISZLOJ,O,O,X,X,X,X
TISZJLO,O,O,X,X,X,X
TISZJOL,O,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X
TISZOJL,O,X,X,X,X,X
TISOLJZ,O,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X
TISOJLZ,O,X,X,X,X,X
TISOJZL,O,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X
TISOZJL,O,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X
TIZLJOS,O,O,X,O,X,X
TIZLSJO,O,O,X,X,X,X
TIZLSOJ,O,O,X,X,X,X
TIZLOJS,O,O,X,O,X,X
TIZLOSJ,O,O,X,X,X,X
TIZJLSO,O,O,X,X,X,X
TIZJLOS,O,O,X,O,X,X
TIZJSLO,O,O,X,X,X,X
TIZJSOL,O,X,X,X,X,X
TIZJOLS,O,X,X,O,X,O
TIZJOSL,O,X,X,X,X,O
TIZSLJO,O,O,X,X,X,X
TIZSLOJ,O,O,X,X,X,X
TIZSJLO,O,O,X,X,X,X
TIZSJOL,O,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X
TIZSOJL,O,X,X,X,X,X
TIZOLJS,O,O,X,O,X,X
TIZOLSJ,O,O,X,X,X,X
TIZOJLS,O,X,X,O,X,X
TIZOJSL,O,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X
TIZOSJL,O,X,X,X,X,X
TIOLJSZ,O,X,X,X,O,X
TIOLJZS,X,O,X,X,X,X
TIOLSJZ,O,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,X
TIOLZJS,X,O,X,O,X,X
TIOLZSJ,X,O,X,X,X,X
TIOJLSZ,O,X,X,X,O,O
TIOJLZS,X,X,X,X,X,O
TIOJSLZ,O,X,X,X,X,O
TIOJSZL,O,X,X,X,X,O
TIOJZLS,X,X,X,X,X,O
TIOJZSL,O,X,X,X,X,O
TIOSLJZ,O,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X
TIOZLJS,X,O,X,O,X,X
TIOZLSJ,X,O,X,X,X,X
TIOZJLS,X,X,X,O,X,X
TIOZJSL,O,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X
