sequence,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9mB0iB6oBes?BzsB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gBUiBGjB6rBNt?BTsB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9nB6oB0mBet?BzrB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9mBCjBToB0s?BesB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gBTiBStBUsB9r?BOtB
TILJSZO,O,O,X,X,X
TILJSOZ,X,X,X,X,X
TILJZSO,O,O,X,X,X
TILJZOS,X,X,X,X,X
TILJOSZ,X,X,X,X,X
TILJOZS,X,X,X,X,X
TILSJZO,O,O,X,X,X
TILSJOZ,X,X,X,X,X
TILSZJO,X,O,X,X,X
TILSZOJ,X,X,X,X,X
TILSOJZ,O,O,X,X,X
TILSOZJ,X,O,X,X,X
TILZJSO,X,O,X,X,X
TILZJOS,X,X,X,X,X
TILZSJO,X,O,X,X,X
TILZSOJ,X,X,X,X,X
TILZOJS,X,X,X,X,X
TILZOSJ,X,X,X,X,X
TILOJSZ,O,O,X,X,X
TILOJZS,O,O,X,X,X
TILOSJZ,O,O,X,X,X
TILOSZJ,X,O,X,X,X
TILOZJS,X,O,X,X,X
TILOZSJ,X,O,X,X,X
TIJLSZO,O,O,X,X,X
TIJLSOZ,X,X,X,X,X
TIJLZSO,O,O,X,X,X
TIJLZOS,X,X,X,X,X
TIJLOSZ,X,X,X,X,X
TIJLOZS,X,X,X,X,X
TIJSLZO,O,O,X,X,X
TIJSLOZ,X,X,X,X,X
TIJSZLO,O,X,X,X,X
TIJSZOL,X,X,X,X,X
TIJSOLZ,O,X,X,X,X
TIJSOZL,O,O,X,X,X
TIJZLSO,O,X,X,X,X
TIJZLOS,X,X,X,X,X
TIJZSLO,O,X,X,X,X
TIJZSOL,X,X,X,X,X
TIJZOLS,X,X,X,X,X
TIJZOSL,X,X,X,X,X
TIJOLSZ,O,O,X,X,X
TIJOLZS,O,O,X,X,X
TIJOSLZ,O,X,X,X,X
TIJOSZL,O,O,X,X,X
TIJOZLS,O,X,X,X,X
TIJOZSL,O,O,X,X,X
TISLJZO,O,O,X,X,X
TISLJOZ,X,X,X,X,X
TISLZJO,X,O,X,X,X
TISLZOJ,X,X,X,X,X
TISLOJZ,O,O,X,X,X
TISLOZJ,X,O,X,X,X
TISJLZO,O,O,X,X,X
TISJLOZ,X,X,X,X,X
TISJZLO,O,X,X,X,X
TISJZOL,X,X,X,X,X
TISJOLZ,O,X,X,X,X
TISJOZL,O,O,X,X,X
TISZLJO,X,X,X,X,X
TISZLOJ,X,X,X,X,X
TISZJLO,X,X,X,X,X
TISZJOL,X,X,X,X,X
TISZOLJ,X,X,X,X,X
TISZOJL,X,X,X,O,X
TISOLJZ,O,X,X,X,X
TISOLZJ,X,X,X,X,X
TISOJLZ,O,X,X,X,X
TISOJZL,O,O,X,X,X
TISOZLJ,X,X,X,X,X
TISOZJL,X,O,X,O,X
TIZLJSO,X,X,X,X,X
TIZLJOS,X,X,X,X,X
TIZLSJO,X,X,X,X,X
TIZLSOJ,X,X,X,X,X
TIZLOJS,X,X,X,X,X
TIZLOSJ,X,X,X,X,X
TIZJLSO,X,X,X,X,X
TIZJLOS,X,X,X,X,X
TIZJSLO,X,X,X,X,X
TIZJSOL,X,X,X,X,X
TIZJOLS,X,X,X,X,X
TIZJOSL,X,X,X,X,X
TIZSLJO,X,X,X,X,X
TIZSLOJ,X,X,X,X,X
TIZSJLO,X,X,X,X,X
TIZSJOL,X,X,X,X,X
TIZSOLJ,X,X,X,X,X
TIZSOJL,X,X,X,O,X
TIZOLJS,X,X,X,X,X
TIZOLSJ,X,X,X,X,X
TIZOJLS,X,X,X,O,X
TIZOJSL,X,X,X,O,X
TIZOSLJ,X,X,X,X,X
TIZOSJL,X,X,X,O,X
TIOLJSZ,O,O,X,X,X
TIOLJZS,O,O,X,X,X
TIOLSJZ,O,O,X,X,X
TIOLSZJ,X,O,X,X,X
TIOLZJS,X,O,X,X,X
TIOLZSJ,X,O,X,X,X
TIOJLSZ,O,O,X,X,X
TIOJLZS,O,O,X,X,X
TIOJSLZ,O,X,X,X,X
TIOJSZL,O,O,X,X,X
TIOJZLS,O,X,X,X,X
TIOJZSL,O,O,X,X,X
TIOSLJZ,O,X,X,X,X
TIOSLZJ,X,X,X,X,X
TIOSJLZ,O,X,X,X,X
TIOSJZL,O,O,X,X,X
TIOSZLJ,X,X,X,X,X
TIOSZJL,X,O,X,O,X
TIOZLJS,X,X,X,X,X
TIOZLSJ,X,X,X,X,X
TIOZJLS,X,X,X,O,X
TIOZJSL,X,O,X,O,X
TIOZSLJ,X,X,X,X,X
TIOZSJL,X,O,X,O,X
TLIJSZO,O,O,X,X,X
TLIJSOZ,X,X,X,X,X
TLIJZSO,O,O,X,X,X
TLIJZOS,X,X,X,X,X
TLIJOSZ,X,X,X,X,X
TLIJOZS,X,X,X,X,X
TLISJZO,O,O,X,X,X
TLISJOZ,X,X,X,X,X
TLISZJO,X,O,X,X,X
TLISZOJ,X,X,X,X,X
TLISOJZ,O,O,X,X,X
TLISOZJ,X,O,X,X,X
TLIZJSO,X,O,X,X,X
TLIZJOS,X,X,X,X,X
TLIZSJO,X,O,X,X,X
TLIZSOJ,X,X,X,X,X
TLIZOJS,X,X,X,X,X
TLIZOSJ,X,X,X,X,X
TLIOJSZ,O,O,X,X,X
TLIOJZS,O,O,X,X,X
TLIOSJZ,O,O,X,X,X
TLIOSZJ,X,O,X,X,X
TLIOZJS,X,O,X,X,X
TLIOZSJ,X,O,X,X,X
TLJISZO,O,O,X,X,X
TLJISOZ,X,X,X,X,X
TLJIZSO,O,O,X,X,X
TLJIZOS,X,X,X,X,X
TLJIOSZ,X,X,X,X,X
TLJIOZS,X,X,X,X,X
TLJSIZO,O,O,X,X,X
TLJSIOZ,X,X,X,X,X
TLJSZIO,O,O,X,X,X
TLJSZOI,X,X,X,X,X
TLJSOIZ,X,X,X,X,X
TLJSOZI,X,X,X,X,X
TLJZISO,O,O,X,X,X
TLJZIOS,X,X,X,X,X
TLJZSIO,O,O,X,X,X
TLJZSOI,X,X,X,X,X
TLJZOIS,X,X,X,X,X
TLJZOSI,X,X,X,X,X
TLJOISZ,X,X,X,X,X
TLJOIZS,X,X,X,X,X
TLJOSIZ,X,X,X,X,X
TLJOSZI,X,X,X,X,X
TLJOZIS,X,X,X,X,X
TLJOZSI,X,X,X,X,X
TLSIJZO,O,O,X,X,X
TLSIJOZ,X,X,X,X,X
TLSIZJO,X,O,X,X,X
TLSIZOJ,X,X,X,X,X
TLSIOJZ,O,O,X,X,X
TLSIOZJ,X,O,X,X,X
TLSJIZO,O,O,X,X,X
TLSJIOZ,X,X,X,X,X
TLSJZIO,O,O,X,X,X
TLSJZOI,X,X,X,X,X
TLSJOIZ,X,X,X,X,X
TLSJOZI,X,X,X,X,X
TLSZIJO,X,O,X,X,X
TLSZIOJ,X,X,X,X,X
TLSZJIO,X,O,X,X,X
TLSZJOI,X,X,X,X,X
TLSZOIJ,X,X,X,X,X
TLSZOJI,X,X,X,X,X
TLSOIJZ,O,O,X,X,X
TLSOIZJ,X,O,X,X,X
TLSOJIZ,O,O,X,X,X
TLSOJZI,O,O,X,X,X
TLSOZIJ,X,O,X,X,X
TLSOZJI,X,O,X,X,X
TLZIJSO,X,O,X,X,X
TLZIJOS,X,X,X,X,X
TLZISJO,X,O,X,X,X
TLZISOJ,X,X,X,X,X
TLZIOJS,X,X,X,X,X
TLZIOSJ,X,X,X,X,X
TLZJISO,X,O,X,X,X
TLZJIOS,X,X,X,X,X
TLZJSIO,X,O,X,X,X
TLZJSOI,X,X,X,X,X
TLZJOIS,X,X,X,X,X
TLZJOSI,X,X,X,X,X
TLZSIJO,X,O,X,X,X
TLZSIOJ,X,X,X,X,X
TLZSJIO,X,O,X,X,X
TLZSJOI,X,X,X,X,X
TLZSOIJ,X,X,X,X,X
TLZSOJI,X,X,X,X,X
TLZOIJS,X,X,X,X,X
TLZOISJ,X,X,X,X,X
TLZOJIS,X,X,X,X,X
TLZOJSI,X,X,X,X,X
TLZOSIJ,X,X,X,X,X
TLZOSJI,X,X,X,X,X
TLOIJSZ,O,O,X,X,X
TLOIJZS,O,O,X,X,X
TLOISJZ,O,O,X,X,X
TLOISZJ,X,O,X,X,X
TLOIZJS,X,O,X,X,X
TLOIZSJ,X,O,X,X,X
TLOJISZ,O,O,X,X,X
TLOJIZS,O,O,X,X,X
TLOJSIZ,O,O,X,X,X
TLOJSZI,O,O,X,X,X
TLOJZIS,O,O,X,X,X
TLOJZSI,O,O,X,X,X
TLOSIJZ,O,O,X,X,X
TLOSIZJ,X,O,X,X,X
TLOSJIZ,O,O,X,X,X
TLOSJZI,O,O,X,X,X
TLOSZIJ,X,O,X,X,X
TLOSZJI,X,O,X,X,X
TLOZIJS,X,O,X,X,X
TLOZISJ,X,O,X,X,X
TLOZJIS,X,O,X,X,X
TLOZJSI,X,O,X,X,X
TLOZSIJ,X,O,X,X,X
TLOZSJI,X,O,X,X,X
TJILSZO,O,O,X,X,X
TJILSOZ,X,X,X,X,X
TJILZSO,O,O,X,X,X
TJILZOS,X,X,X,X,X
TJILOSZ,X,X,X,X,X
TJILOZS,X,X,X,X,X
TJISLZO,O,O,X,X,X
TJISLOZ,X,X,X,X,X
TJISZLO,O,X,X,X,X
