sequence,v115@LhD8FeA8EeF8CeA8JeOEJvhFXgBxhBTjBSqBUsBFtB,v115@LhD8FeA8EeF8CeA8Jei/IvhF+lBxhBTjB3kBUsBFtB,v115@LhD8FeA8EeF8CeA8Je0/IvhF6lBxhBTjB2pBFsBXtB,v115@LhD8FeA8EeF8CeA8Jei/IvhF+lBxiB3kBToB0mB1xB,v115@LhD8FeA8EeF8CeA8JeKEJvhFGgBxhBTjBUlBFsBXtB
TILJSZO,X,X,O,X,X
TILJSOZ,O,X,O,X,X
TILJZSO,X,X,O,X,X
TILJZOS,X,X,X,X,X
TILJOSZ,O,X,X,X,X
TILJOZS,X,X,X,X,X
TILSJZO,X,X,O,X,X
TILSJOZ,O,X,O,X,X
TILSZJO,X,X,X,X,O
TILSZOJ,X,X,X,X,O
TILSOJZ,O,X,O,X,X
TILSOZJ,X,X,X,X,O
TILZJSO,X,X,X,X,O
TILZJOS,X,X,X,X,X
TILZSJO,X,X,X,X,O
TILZSOJ,X,X,X,X,O
TILZOJS,X,X,X,X,X
TILZOSJ,X,X,X,X,X
TILOJSZ,O,X,X,X,X
TILOJZS,X,X,X,X,X
TILOSJZ,O,X,X,X,X
TILOSZJ,X,X,X,X,X
TILOZJS,X,X,X,X,X
TILOZSJ,X,X,X,X,X
TIJLSZO,X,X,O,X,X
TIJLSOZ,O,X,O,X,X
TIJLZSO,X,X,O,X,X
TIJLZOS,X,X,X,X,X
TIJLOSZ,O,X,X,X,X
TIJLOZS,X,X,X,X,X
TIJSLZO,X,X,O,X,X
TIJSLOZ,X,O,O,X,X
TIJSZLO,X,X,O,X,X
TIJSZOL,X,X,O,X,X
TIJSOLZ,X,O,O,X,X
TIJSOZL,X,X,O,X,X
TIJZLSO,X,X,O,X,X
TIJZLOS,X,X,X,X,X
TIJZSLO,X,X,O,X,X
TIJZSOL,X,X,O,X,X
TIJZOLS,X,X,X,X,X
TIJZOSL,X,X,X,X,X
TIJOLSZ,O,X,X,X,X
TIJOLZS,X,X,X,X,X
TIJOSLZ,X,O,X,X,X
TIJOSZL,X,X,X,X,X
TIJOZLS,X,X,X,X,X
TIJOZSL,X,X,X,X,X
TISLJZO,X,X,O,X,X
TISLJOZ,X,X,O,X,X
TISLZJO,X,X,X,X,O
TISLZOJ,X,X,X,X,O
TISLOJZ,X,X,O,X,X
TISLOZJ,X,X,X,X,O
TISJLZO,X,X,O,X,X
TISJLOZ,X,X,O,X,X
TISJZLO,X,X,O,X,X
TISJZOL,X,X,O,X,X
TISJOLZ,X,X,O,X,X
TISJOZL,X,X,O,X,X
TISZLJO,X,X,X,X,X
TISZLOJ,X,X,X,X,X
TISZJLO,X,X,X,X,X
TISZJOL,X,X,X,X,X
TISZOLJ,X,X,X,X,X
TISZOJL,X,X,X,X,X
TISOLJZ,X,X,O,X,X
TISOLZJ,X,X,X,X,O
TISOJLZ,X,X,O,X,X
TISOJZL,X,X,O,X,X
TISOZLJ,X,X,X,X,X
TISOZJL,X,X,X,X,X
