sequence,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBfmB0hB6?nBNqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBzgBfnB6?nBNqB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFCgB8lB+mBT?iBdqBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukB3gB9nB0?mBiqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFfmBxhBcpBN?qBGnBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFtkBzhB+nB3?lB0rBiqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBSsB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFzgBWnBcpBN?qBxrBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBcsB6rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JezAJvhFfnB6nBxpB0?rBOpBdqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JefGJvhFxhBTkBNqBu?rBcsBipB
TILJSZO,O,X,X,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,O,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,O,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,O,O,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,O,O,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,O,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,O,X,X,O,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,O,X,X,X,X,X,X,X,X
TIJZLSO,X,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,O,X,X,X
TIJZSLO,X,O,O,X,X,X,X,X,X,X,X
TIJZSOL,X,O,O,X,X,O,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,O,X,X,X
TIJZOSL,X,O,X,X,X,O,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,O,X,X,X
TIJOZSL,X,O,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,O,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,X,O,X,X,O,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,X,O,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,X,O,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,O,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,O,X,X,X
TIZLSJO,X,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,O,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,X,X
