sequence,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhF/lBUhBRiBtpBTn?ByvB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhFxgBdnBunB/qBar?B0pB,v115@GhA8HeB8EeA8BeC8DeE8Je0/IvhFxgBdnBunB/pBar?BTqB,v115@GhA8HeB8EeA8BeC8DeE8Jex/IvhFNmBanBunBTkB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8Jex/IvhFNmBanBunBTkBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeSFJvhFNmBRiB/pBTnB0q?BmpB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhFNmBanBunBxpBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhFNmBRiBClBTnBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhFNmBRiBClBTnB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhF6lBNmB3iBzkBUn?BRvB,v115@GhA8HeB8EeA8BeC8DeE8JeKEJvhFWlBNmBRiBTnB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeKEJvhFWlBNmBRiBTnBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhF0gBdnBunBypBXm?BRvB,v115@GhA8HeB8EeA8BeC8DeE8JeNGJvhFanBunBxkBTkB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeNGJvhFanBunBxkBTkBXq?B0qB
TILJSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TILJSOZ,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O
TILJZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TILJZOS,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TILJOSZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TILJOZS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TILSJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TILSJOZ,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
TILSZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
TILSZOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TILSOJZ,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
TILSOZJ,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X
TILZJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TILZJOS,X,O,O,O,X,X,O,X,X,X,O,X,O,O,X
TILZSJO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
TILZSOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TILZOJS,X,O,O,O,X,X,O,X,X,O,O,X,O,O,X
TILZOSJ,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X
TILOJSZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TILOJZS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
