sequence,v115@UhA8AeC8BeB8AeF8KeOEJvhFTgBNmBUiBaoB5oBfqB
TILJSZO,O
TILJSOZ,O
TILJZSO,O
TILJZOS,X
TILJOSZ,X
TILJOZS,X
TILSJZO,O
TILSJOZ,O
TILSZJO,O
TILSZOJ,O
TILSOJZ,O
TILSOZJ,O
TILZJSO,O
TILZJOS,X
TILZSJO,O
TILZSOJ,O
TILZOJS,X
TILZOSJ,X
TILOJSZ,X
TILOJZS,X
TILOSJZ,X
TILOSZJ,X
TILOZJS,X
TILOZSJ,X
TIJLSZO,O
TIJLSOZ,O
TIJLZSO,O
TIJLZOS,X
TIJLOSZ,X
TIJLOZS,X
TIJSLZO,O
TIJSLOZ,O
TIJSZLO,O
TIJSZOL,O
TIJSOLZ,O
TIJSOZL,O
TIJZLSO,O
TIJZLOS,X
TIJZSLO,O
TIJZSOL,O
TIJZOLS,X
TIJZOSL,X
TIJOLSZ,X
TIJOLZS,X
TIJOSLZ,X
TIJOSZL,X
TIJOZLS,X
TIJOZSL,X
TISLJZO,O
TISLJOZ,O
TISLZJO,O
TISLZOJ,O
TISLOJZ,O
TISLOZJ,O
TISJLZO,O
TISJLOZ,O
TISJZLO,O
TISJZOL,O
TISJOLZ,O
TISJOZL,O
TISZLJO,O
TISZLOJ,O
TISZJLO,O
TISZJOL,O
TISZOLJ,O
TISZOJL,O
TISOLJZ,O
TISOLZJ,O
TISOJLZ,O
TISOJZL,O
TISOZLJ,O
TISOZJL,O
TIZLJSO,O
TIZLJOS,X
TIZLSJO,O
TIZLSOJ,O
TIZLOJS,X
TIZLOSJ,X
TIZJLSO,O
TIZJLOS,X
TIZJSLO,O
TIZJSOL,O
TIZJOLS,X
TIZJOSL,X
TIZSLJO,O
TIZSLOJ,O
TIZSJLO,O
TIZSJOL,O
TIZSOLJ,O
TIZSOJL,O
TIZOLJS,X
TIZOLSJ,X
TIZOJLS,X
TIZOJSL,X
TIZOSLJ,X
TIZOSJL,X
TIOLJSZ,X
TIOLJZS,X
TIOLSJZ,X
TIOLSZJ,X
TIOLZJS,X
TIOLZSJ,X
TIOJLSZ,X
TIOJLZS,X
TIOJSLZ,X
TIOJSZL,X
TIOJZLS,X
TIOJZSL,X
TIOSLJZ,X
TIOSLZJ,X
TIOSJLZ,X
TIOSJZL,X
TIOSZLJ,X
TIOSZJL,X
TIOZLJS,X
TIOZLSJ,X
TIOZJLS,X
TIOZJSL,X
TIOZSLJ,X
TIOZSJL,X
TLIJSZO,O
TLIJSOZ,O
TLIJZSO,O
TLIJZOS,X
TLIJOSZ,X
TLIJOZS,X
TLISJZO,O
TLISJOZ,O
TLISZJO,O
TLISZOJ,O
TLISOJZ,O
TLISOZJ,O
TLIZJSO,O
TLIZJOS,X
TLIZSJO,O
TLIZSOJ,O
TLIZOJS,X
TLIZOSJ,X
TLIOJSZ,X
TLIOJZS,X
TLIOSJZ,X
TLIOSZJ,X
TLIOZJS,X
TLIOZSJ,X
TLJISZO,O
TLJISOZ,O
TLJIZSO,O
TLJIZOS,X
TLJIOSZ,X
TLJIOZS,X
TLJSIZO,O
TLJSIOZ,O
TLJSZIO,O
TLJSZOI,O
TLJSOIZ,O
TLJSOZI,O
TLJZISO,O
TLJZIOS,X
TLJZSIO,O
TLJZSOI,O
TLJZOIS,X
TLJZOSI,X
TLJOISZ,X
TLJOIZS,X
TLJOSIZ,X
TLJOSZI,X
TLJOZIS,X
TLJOZSI,X
TLSIJZO,O
TLSIJOZ,O
TLSIZJO,O
TLSIZOJ,O
TLSIOJZ,O
TLSIOZJ,O
TLSJIZO,O
TLSJIOZ,O
TLSJZIO,O
TLSJZOI,O
TLSJOIZ,O
TLSJOZI,O
TLSZIJO,O
TLSZIOJ,O
TLSZJIO,O
TLSZJOI,O
TLSZOIJ,O
TLSZOJI,O
TLSOIJZ,O
TLSOIZJ,O
TLSOJIZ,O
TLSOJZI,O
TLSOZIJ,O
TLSOZJI,O
TLZIJSO,O
TLZIJOS,X
TLZISJO,O
TLZISOJ,O
TLZIOJS,X
TLZIOSJ,X
TLZJISO,O
TLZJIOS,X
TLZJSIO,O
TLZJSOI,O
TLZJOIS,X
TLZJOSI,X
TLZSIJO,O
TLZSIOJ,O
TLZSJIO,O
TLZSJOI,O
TLZSOIJ,O
TLZSOJI,O
TLZOIJS,X
TLZOISJ,X
TLZOJIS,X
TLZOJSI,X
TLZOSIJ,X
TLZOSJI,X
TLOIJSZ,X
TLOIJZS,X
TLOISJZ,X
TLOISZJ,X
TLOIZJS,X
TLOIZSJ,X
TLOJISZ,X
TLOJIZS,X
TLOJSIZ,X
TLOJSZI,X
TLOJZIS,X
TLOJZSI,X
TLOSIJZ,X
TLOSIZJ,X
TLOSJIZ,X
TLOSJZI,X
TLOSZIJ,X
TLOSZJI,X
TLOZIJS,X
TLOZISJ,X
TLOZJIS,X
TLOZJSI,X
TLOZSIJ,X
TLOZSJI,X
TJILSZO,O
TJILSOZ,O
TJILZSO,O
TJILZOS,X
TJILOSZ,X
TJILOZS,X
TJISLZO,O
TJISLOZ,O
TJISZLO,O
TJISZOL,O
TJISOLZ,O
TJISOZL,O
TJIZLSO,O
TJIZLOS,X
TJIZSLO,O
TJIZSOL,O
TJIZOLS,X
TJIZOSL,X
TJIOLSZ,X
TJIOLZS,X
TJIOSLZ,X
TJIOSZL,X
TJIOZLS,X
TJIOZSL,X
TJLISZO,O
TJLISOZ,O
TJLIZSO,O
TJLIZOS,X
TJLIOSZ,X
TJLIOZS,X
TJLSIZO,O
TJLSIOZ,O
TJLSZIO,O
TJLSZOI,O
TJLSOIZ,O
TJLSOZI,O
TJLZISO,O
TJLZIOS,X
TJLZSIO,O
TJLZSOI,O
TJLZOIS,X
TJLZOSI,X
TJLOISZ,X
TJLOIZS,X
TJLOSIZ,X
TJLOSZI,X
TJLOZIS,X
TJLOZSI,X
TJSILZO,O
TJSILOZ,O
TJSIZLO,O
TJSIZOL,O
TJSIOLZ,O
TJSIOZL,O
TJSLIZO,O
TJSLIOZ,O
TJSLZIO,O
TJSLZOI,O
TJSLOIZ,O
TJSLOZI,O
TJSZILO,O
TJSZIOL,O
TJSZLIO,O
TJSZLOI,O
TJSZOIL,O
TJSZOLI,O
TJSOILZ,O
TJSOIZL,O
TJSOLIZ,O
TJSOLZI,O
TJSOZIL,O
TJSOZLI,O
TJZILSO,O
TJZILOS,X
TJZISLO,O
TJZISOL,O
TJZIOLS,X
TJZIOSL,X
TJZLISO,O
TJZLIOS,X
TJZLSIO,O
TJZLSOI,O
TJZLOIS,X
TJZLOSI,X
TJZSILO,O
TJZSIOL,O
TJZSLIO,O
TJZSLOI,O
TJZSOIL,O
TJZSOLI,O
TJZOILS,X
TJZOISL,X
TJZOLIS,X
TJZOLSI,X
TJZOSIL,X
TJZOSLI,X
TJOILSZ,X
TJOILZS,X
TJOISLZ,X
TJOISZL,X
TJOIZLS,X
TJOIZSL,X
TJOLISZ,X
TJOLIZS,X
TJOLSIZ,X
TJOLSZI,X
TJOLZIS,X
TJOLZSI,X
TJOSILZ,X
TJOSIZL,X
TJOSLIZ,X
TJOSLZI,X
TJOSZIL,X
TJOSZLI,X
TJOZILS,X
TJOZISL,X
TJOZLIS,X
TJOZLSI,X
TJOZSIL,X
TJOZSLI,X
TSILJZO,O
TSILJOZ,O
TSILZJO,O
TSILZOJ,O
TSILOJZ,O
TSILOZJ,O
TSIJLZO,O
TSIJLOZ,O
TSIJZLO,O
TSIJZOL,O
TSIJOLZ,O
TSIJOZL,O
TSIZLJO,O
TSIZLOJ,O
TSIZJLO,O
TSIZJOL,O
TSIZOLJ,O
TSIZOJL,O
TSIOLJZ,O
TSIOLZJ,O
TSIOJLZ,O
TSIOJZL,O
TSIOZLJ,O
TSIOZJL,O
TSLIJZO,O
TSLIJOZ,O
TSLIZJO,O
TSLIZOJ,O
TSLIOJZ,O
TSLIOZJ,O
TSLJIZO,O
TSLJIOZ,O
TSLJZIO,O
TSLJZOI,O
TSLJOIZ,O
TSLJOZI,O
TSLZIJO,O
TSLZIOJ,O
TSLZJIO,O
TSLZJOI,O
TSLZOIJ,O
TSLZOJI,O
TSLOIJZ,O
TSLOIZJ,O
TSLOJIZ,O
TSLOJZI,O
TSLOZIJ,O
TSLOZJI,O
TSJILZO,O
TSJILOZ,O
TSJIZLO,O
TSJIZOL,O
TSJIOLZ,O
TSJIOZL,O
TSJLIZO,O
TSJLIOZ,O
TSJLZIO,O
TSJLZOI,O
TSJLOIZ,O
TSJLOZI,O
TSJZILO,O
TSJZIOL,O
TSJZLIO,O
TSJZLOI,O
TSJZOIL,O
TSJZOLI,O
TSJOILZ,O
TSJOIZL,O
TSJOLIZ,O
TSJOLZI,O
TSJOZIL,O
TSJOZLI,O
TSZILJO,O
TSZILOJ,O
TSZIJLO,O
TSZIJOL,O
TSZIOLJ,O
TSZIOJL,O
TSZLIJO,O
TSZLIOJ,O
TSZLJIO,O
TSZLJOI,O
TSZLOIJ,O
TSZLOJI,O
TSZJILO,O
TSZJIOL,O
TSZJLIO,O
TSZJLOI,O
TSZJOIL,O
TSZJOLI,O
TSZOILJ,O
TSZOIJL,O
TSZOLIJ,O
TSZOLJI,O
TSZOJIL,O
TSZOJLI,O
TSOILJZ,O
TSOILZJ,O
TSOIJLZ,O
TSOIJZL,O
TSOIZLJ,O
TSOIZJL,O
TSOLIJZ,O
TSOLIZJ,O
TSOLJIZ,O
TSOLJZI,O
TSOLZIJ,O
TSOLZJI,O
TSOJILZ,O
TSOJIZL,O
TSOJLIZ,O
TSOJLZI,O
TSOJZIL,O
TSOJZLI,O
TSOZILJ,O
TSOZIJL,O
TSOZLIJ,O
TSOZLJI,O
TSOZJIL,O
TSOZJLI,O
TZILJSO,O
TZILJOS,X
TZILSJO,O
TZILSOJ,O
TZILOJS,X
TZILOSJ,X
TZIJLSO,O
TZIJLOS,X
TZIJSLO,O
TZIJSOL,O
TZIJOLS,X
TZIJOSL,X
TZISLJO,O
TZISLOJ,O
TZISJLO,O
TZISJOL,O
TZISOLJ,O
TZISOJL,O
TZIOLJS,X
TZIOLSJ,X
TZIOJLS,X
TZIOJSL,X
TZIOSLJ,X
TZIOSJL,X
TZLIJSO,O
TZLIJOS,X
TZLISJO,O
TZLISOJ,O
TZLIOJS,X
TZLIOSJ,X
TZLJISO,O
TZLJIOS,X
TZLJSIO,O
TZLJSOI,O
TZLJOIS,X
TZLJOSI,X
TZLSIJO,O
TZLSIOJ,O
TZLSJIO,O
TZLSJOI,O
TZLSOIJ,O
TZLSOJI,O
TZLOIJS,X
TZLOISJ,X
TZLOJIS,X
TZLOJSI,X
TZLOSIJ,X
TZLOSJI,X
TZJILSO,O
TZJILOS,X
TZJISLO,O
TZJISOL,O
TZJIOLS,X
TZJIOSL,X
TZJLISO,O
TZJLIOS,X
TZJLSIO,O
TZJLSOI,O
TZJLOIS,X
TZJLOSI,X
TZJSILO,O
TZJSIOL,O
TZJSLIO,O
TZJSLOI,O
TZJSOIL,O
TZJSOLI,O
TZJOILS,X
TZJOISL,X
TZJOLIS,X
TZJOLSI,X
TZJOSIL,X
TZJOSLI,X
TZSILJO,O
TZSILOJ,O
TZSIJLO,O
TZSIJOL,O
TZSIOLJ,O
TZSIOJL,O
TZSLIJO,O
TZSLIOJ,O
TZSLJIO,O
TZSLJOI,O
TZSLOIJ,O
TZSLOJI,O
TZSJILO,O
TZSJIOL,O
TZSJLIO,O
TZSJLOI,O
TZSJOIL,O
TZSJOLI,O
TZSOILJ,O
TZSOIJL,O
TZSOLIJ,O
TZSOLJI,O
TZSOJIL,O
TZSOJLI,O
TZOILJS,X
TZOILSJ,X
TZOIJLS,X
TZOIJSL,X
TZOISLJ,X
TZOISJL,X
TZOLIJS,X
TZOLISJ,X
TZOLJIS,X
TZOLJSI,X
TZOLSIJ,X
TZOLSJI,X
TZOJILS,X
TZOJISL,X
TZOJLIS,X
TZOJLSI,X
TZOJSIL,X
TZOJSLI,X
TZOSILJ,X
TZOSIJL,X
TZOSLIJ,X
TZOSLJI,X
TZOSJIL,X
TZOSJLI,X
TOILJSZ,X
TOILJZS,X
TOILSJZ,X
TOILSZJ,X
TOILZJS,X
TOILZSJ,X
TOIJLSZ,X
TOIJLZS,X
TOIJSLZ,X
TOIJSZL,X
TOIJZLS,X
TOIJZSL,X
TOISLJZ,X
TOISLZJ,X
TOISJLZ,X
TOISJZL,X
TOISZLJ,X
TOISZJL,X
TOIZLJS,X
TOIZLSJ,X
TOIZJLS,X
TOIZJSL,X
TOIZSLJ,X
TOIZSJL,X
TOLIJSZ,X
TOLIJZS,X
TOLISJZ,X
TOLISZJ,X
TOLIZJS,X
TOLIZSJ,X
TOLJISZ,X
TOLJIZS,X
TOLJSIZ,X
TOLJSZI,X
TOLJZIS,X
TOLJZSI,X
TOLSIJZ,X
TOLSIZJ,X
TOLSJIZ,X
TOLSJZI,X
TOLSZIJ,X
TOLSZJI,X
TOLZIJS,X
TOLZISJ,X
TOLZJIS,X
TOLZJSI,X
TOLZSIJ,X
TOLZSJI,X
TOJILSZ,X
TOJILZS,X
TOJISLZ,X
TOJISZL,X
TOJIZLS,X
TOJIZSL,X
TOJLISZ,X
TOJLIZS,X
TOJLSIZ,X
TOJLSZI,X
TOJLZIS,X
TOJLZSI,X
TOJSILZ,X
TOJSIZL,X
TOJSLIZ,X
TOJSLZI,X
TOJSZIL,X
TOJSZLI,X
TOJZILS,X
TOJZISL,X
TOJZLIS,X
TOJZLSI,X
TOJZSIL,X
TOJZSLI,X
TOSILJZ,X
TOSILZJ,X
TOSIJLZ,X
TOSIJZL,X
TOSIZLJ,X
TOSIZJL,X
TOSLIJZ,X
TOSLIZJ,X
TOSLJIZ,X
