sequence,v115@ChA8GeC8IeB8CeA8CeE8KeT/IvhFigBmiB5oB0nBlp?B3qB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiB6tBXoB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiBXoB6tB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke0/IvhFTiBeoB5oB/pBiq?BlqB,v115@ChA8GeC8IeB8CeA8CeE8KeOEJvhFTiBVtBRqB8pB6t?B3qB,v115@ChA8GeC8IeB8CeA8CeE8KexCJvhFTkB2qB0nB6tBlp?B3qB
TILJSZO,X,X,X,O,O,X
TILJSOZ,X,O,O,O,O,X
TILJZSO,O,X,X,X,O,X
TILJZOS,O,O,X,X,O,X
TILJOSZ,X,O,O,O,O,X
TILJOZS,O,O,X,X,O,X
TILSJZO,O,X,X,O,X,X
TILSJOZ,O,O,O,O,X,X
TILSZJO,O,X,X,O,X,X
TILSZOJ,O,X,X,X,X,X
TILSOJZ,O,O,O,X,X,X
TILSOZJ,O,X,X,X,X,X
TILZJSO,O,O,X,X,X,X
TILZJOS,O,O,X,X,X,X
TILZSJO,O,O,X,X,X,X
TILZSOJ,O,O,X,X,X,X
TILZOJS,O,O,X,X,X,X
TILZOSJ,O,O,X,X,X,X
TILOJSZ,X,O,O,X,O,X
TILOJZS,O,O,X,X,O,X
TILOSJZ,X,O,O,X,X,X
TILOSZJ,O,X,X,X,X,X
TILOZJS,O,O,X,X,X,X
TILOZSJ,O,O,X,X,X,X
TIJLSZO,X,X,X,O,O,X
TIJLSOZ,X,O,O,O,O,X
TIJLZSO,O,X,X,X,O,X
TIJLZOS,O,O,X,X,O,X
TIJLOSZ,X,O,O,O,O,X
TIJLOZS,O,O,X,X,O,X
TIJSLZO,X,X,X,O,O,X
TIJSLOZ,X,O,O,O,O,X
TIJSZLO,X,X,X,X,O,X
TIJSZOL,X,X,O,O,O,X
TIJSOLZ,X,O,O,O,O,X
TIJSOZL,X,X,O,O,O,X
TIJZLSO,O,X,X,X,O,X
TIJZLOS,O,O,X,X,O,X
TIJZSLO,O,X,X,X,O,X
TIJZSOL,O,X,O,X,O,X
TIJZOLS,O,O,X,X,O,X
TIJZOSL,O,X,O,X,O,X
TIJOLSZ,X,O,O,O,O,X
TIJOLZS,O,O,X,X,O,X
TIJOSLZ,X,O,O,O,O,X
TIJOSZL,X,X,O,O,O,X
TIJOZLS,O,O,X,X,O,X
TIJOZSL,O,X,O,X,O,X
TISLJZO,O,X,X,O,X,X
TISLJOZ,O,O,O,O,X,X
TISLZJO,O,X,X,O,X,X
TISLZOJ,O,X,X,X,X,X
TISLOJZ,O,O,O,X,X,X
TISLOZJ,O,X,X,X,X,X
TISJLZO,O,X,X,O,O,X
TISJLOZ,O,O,O,O,O,X
TISJZLO,O,X,X,X,O,X
TISJZOL,O,X,O,O,O,X
TISJOLZ,O,O,O,O,O,X
TISJOZL,O,X,O,O,O,X
TISZLJO,O,X,O,X,X,X
TISZLOJ,O,X,O,X,X,X
TISZJLO,O,X,O,X,X,X
TISZJOL,O,X,O,O,X,X
TISZOLJ,O,X,O,X,X,X
TISZOJL,O,X,O,X,X,X
TISOLJZ,O,O,O,X,X,X
TISOLZJ,O,X,X,X,X,X
TISOJLZ,O,O,O,X,O,X
TISOJZL,O,X,O,X,O,X
TISOZLJ,O,X,O,X,X,X
TISOZJL,O,X,O,X,X,X
TIZLJSO,O,O,O,X,X,X
TIZLJOS,O,O,O,X,X,X
TIZLSJO,O,O,O,X,X,X
TIZLSOJ,O,O,O,X,X,X
TIZLOJS,O,O,O,X,X,X
