sequence,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBcmB6nBTjBdsBXtB,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBUiB9oBTmB3nByxB,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBcmB6oBXnBdtBTsB,v115@KhA8FeD8FeF8CeA8JeT/IvhFigBcmB3iB9oBRsB2xB
TILJSZO,O,X,O,X
TILJSOZ,O,O,X,X
TILJZSO,O,X,O,X
TILJZOS,O,O,O,X
TILJOSZ,X,O,X,X
TILJOZS,X,O,O,X
TILSJZO,O,X,O,X
TILSJOZ,O,O,X,X
TILSZJO,O,X,O,O
TILSZOJ,O,X,O,O
TILSOJZ,O,O,X,X
TILSOZJ,O,O,X,O
TILZJSO,O,X,O,O
TILZJOS,O,O,O,O
TILZSJO,O,X,O,O
TILZSOJ,O,X,O,O
TILZOJS,O,O,O,O
TILZOSJ,O,O,O,O
TILOJSZ,X,O,X,X
TILOJZS,X,O,O,X
TILOSJZ,X,O,X,X
TILOSZJ,X,O,X,O
TILOZJS,X,O,O,O
TILOZSJ,X,O,O,O
TIJLSZO,O,X,O,X
TIJLSOZ,O,O,X,X
TIJLZSO,O,X,O,X
TIJLZOS,O,O,O,X
TIJLOSZ,X,O,X,X
TIJLOZS,X,O,O,X
TIJSLZO,O,X,O,X
TIJSLOZ,O,O,X,X
TIJSZLO,O,X,O,O
TIJSZOL,O,X,O,O
TIJSOLZ,O,O,X,X
TIJSOZL,O,O,X,O
TIJZLSO,O,X,O,O
TIJZLOS,O,O,O,O
TIJZSLO,O,X,O,O
TIJZSOL,O,X,O,O
TIJZOLS,O,O,O,O
TIJZOSL,O,O,X,O
TIJOLSZ,X,O,X,X
TIJOLZS,X,O,O,X
TIJOSLZ,X,O,X,X
TIJOSZL,X,O,X,O
TIJOZLS,X,O,O,O
TIJOZSL,X,O,X,O
TISLJZO,O,X,O,X
TISLJOZ,O,O,X,X
TISLZJO,O,X,O,O
TISLZOJ,O,X,O,O
TISLOJZ,O,O,X,X
TISLOZJ,O,O,X,O
TISJLZO,O,X,O,X
TISJLOZ,O,O,X,X
TISJZLO,O,X,O,O
TISJZOL,O,X,O,O
TISJOLZ,O,O,X,X
TISJOZL,O,O,X,O
TISZLJO,O,X,O,O
TISZLOJ,O,X,O,O
TISZJLO,O,X,O,O
TISZJOL,O,X,O,O
TISZOLJ,O,X,O,O
TISZOJL,O,X,O,O
TISOLJZ,O,O,X,X
TISOLZJ,O,O,X,O
TISOJLZ,O,O,X,X
TISOJZL,O,O,X,O
TISOZLJ,O,X,X,O
TISOZJL,O,O,X,O
TIZLJSO,O,X,O,O
TIZLJOS,O,O,O,O
TIZLSJO,O,X,O,O
TIZLSOJ,O,X,O,O
TIZLOJS,O,O,O,O
TIZLOSJ,O,O,O,O
TIZJLSO,O,X,O,O
TIZJLOS,O,O,O,O
TIZJSLO,O,X,O,O
TIZJSOL,O,X,O,O
TIZJOLS,O,O,O,O
TIZJOSL,O,O,X,O
TIZSLJO,O,X,O,O
TIZSLOJ,O,X,O,O
TIZSJLO,O,X,O,O
TIZSJOL,O,X,O,O
TIZSOLJ,O,X,O,O
TIZSOJL,O,X,O,O
TIZOLJS,O,O,O,O
TIZOLSJ,O,O,O,O
TIZOJLS,O,O,O,O
TIZOJSL,O,O,X,O
TIZOSLJ,O,X,X,O
