sequence,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFWnBxiB6tBXlBlr?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MexAJvhFTjBSqB/rBFnBGt?B0sB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBGjB8rBznBRq?BSyB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBCjB8rBToBRq?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFGjBzmBqsB/tBRq?BlrB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBWoB8rB6tBRq?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBSoB8rBusBRq?BTtB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFliB5oBzlBetBXl?BCsB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nBOtBXlB6t?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFCiBxnBXlBToBlr?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nB6tBXlBOt?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFfoB6oBzmBRqBWy?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFxiBzlBGoBXlBCs?BVyB
TILJSZO,O,O,O,O,X,X,X,X,X,O,X,X,X
TILJSOZ,X,O,O,X,X,X,X,X,X,X,X,X,O
TILJZSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TILJZOS,O,X,O,O,X,X,X,X,O,O,O,X,O
TILJOSZ,X,O,O,O,X,X,X,X,X,X,X,X,O
TILJOZS,O,X,O,O,X,X,X,X,O,O,O,X,O
TILSJZO,O,O,O,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TILSZJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TILSZOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TILSOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
TILZJSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TILZJOS,O,X,O,O,X,X,X,X,O,O,O,X,X
TILZSJO,O,X,O,O,O,X,X,X,X,O,X,X,X
TILZSOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TILZOJS,O,X,O,X,X,O,O,X,O,O,O,X,X
TILZOSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TILOJSZ,X,X,O,X,X,X,X,X,X,X,X,X,O
