sequence,v115@OhB8FeA8AeD8DeE8Je0/IvhFxgBdnBGjB/pBarBTqB,v115@OhB8FeA8AeD8DeE8JeT/IvhFxgBdnBGjB/qBarB0pB,v115@OhB8FeA8AeD8DeE8Jex/IvhFNmBanBGjBTkB0qBXqB,v115@OhB8FeA8AeD8DeE8Jex/IvhFNmBanBGjBTkBXqB0qB,v115@OhB8FeA8AeD8DeE8JeT/IvhFNmBanBGjBxpBXqB0qB,v115@OhB8FeA8AeD8DeE8JeNEJvhFRgBanBGjBXmBzpB0qB,v115@OhB8FeA8AeD8DeE8JeT/IvhF0gBdnBGjBypBXmBRvB,v115@OhB8FeA8AeD8DeE8JeNGJvhFanBGjBxkBTkBXqB0qB,v115@OhB8FeA8AeD8DeE8JeNGJvhFanBGjBxkBTkB0qBXqB
TILJSZO,O,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,O,X,X
TILJOSZ,O,X,X,X,O,O,X,X,X
TILJOZS,X,X,X,X,X,X,O,X,X
TILSJZO,O,O,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,O,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X
TILSZOJ,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,O,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,X,X
TILZSJO,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,O,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,O,X,X,X,X
TILOJZS,X,X,X,X,X,X,O,X,X
TILOSJZ,O,X,X,X,O,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,O,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,O,X,X
TIJLOSZ,O,X,X,X,O,O,X,X,X
TIJLOZS,X,X,X,X,X,X,O,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,X
TIJZOSL,X,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,O,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,X,X,X
TISZOJL,X,O,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,X,X,X,X
TIZJOSL,X,O,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,O,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,O,X,X,X,X
