sequence,v115@NhA8IeA8BeD8AeF8JeOEJvhF8kBRhBCjB9qBTrBXtB,v115@NhA8IeA8BeD8AeF8Jei/IvhFRhBunBcoB3kB9qBTrB,v115@NhA8IeA8BeD8AeF8JeNEJvhFUgBRhBCjBTmBXoBGqB,v115@NhA8IeA8BeD8AeF8JeNEJvhFRgBumBqnBTjBXlB8qB
TILJSZO,X,X,X,X
TILJSOZ,X,X,X,O
TILJZSO,X,X,X,O
TILJZOS,X,X,X,O
TILJOSZ,X,X,X,O
TILJOZS,X,X,X,O
TILSJZO,O,O,O,X
TILSJOZ,X,X,X,O
TILSZJO,O,O,O,X
TILSZOJ,O,O,O,X
TILSOJZ,X,X,X,O
TILSOZJ,O,O,O,X
TILZJSO,O,O,X,O
TILZJOS,X,X,X,O
TILZSJO,O,O,O,O
TILZSOJ,O,O,O,O
TILZOJS,X,X,X,O
TILZOSJ,X,X,X,O
TILOJSZ,X,X,X,O
TILOJZS,X,X,X,O
TILOSJZ,X,X,X,O
TILOSZJ,X,X,X,X
TILOZJS,X,X,X,O
TILOZSJ,X,X,X,O
TIJLSZO,X,X,O,X
TIJLSOZ,X,X,O,O
TIJLZSO,X,X,O,O
TIJLZOS,X,X,X,O
TIJLOSZ,X,X,X,O
TIJLOZS,X,X,X,O
TIJSLZO,O,O,O,X
TIJSLOZ,X,X,O,O
TIJSZLO,O,O,O,X
TIJSZOL,O,O,O,X
TIJSOLZ,X,X,O,X
TIJSOZL,X,X,O,X
TIJZLSO,O,O,O,O
TIJZLOS,X,X,X,O
TIJZSLO,O,O,O,O
TIJZSOL,O,O,O,O
TIJZOLS,X,X,X,O
TIJZOSL,O,O,O,X
TIJOLSZ,X,X,X,O
TIJOLZS,X,X,X,O
TIJOSLZ,X,X,O,X
TIJOSZL,X,X,O,X
TIJOZLS,X,X,X,X
TIJOZSL,X,X,O,X
TISLJZO,O,O,O,X
TISLJOZ,X,X,O,O
TISLZJO,O,O,O,X
TISLZOJ,O,O,O,X
TISLOJZ,O,O,O,O
TISLOZJ,O,O,O,X
TISJLZO,O,O,O,X
TISJLOZ,X,X,O,O
TISJZLO,O,O,O,X
TISJZOL,O,O,O,X
TISJOLZ,X,X,O,X
TISJOZL,X,X,O,X
TISZLJO,O,O,O,X
TISZLOJ,O,O,O,X
TISZJLO,O,O,O,X
TISZJOL,O,O,X,X
TISZOLJ,O,O,O,X
TISZOJL,O,O,O,X
TISOLJZ,O,O,O,O
TISOLZJ,O,O,O,X
TISOJLZ,O,O,O,X
TISOJZL,O,O,O,X
TISOZLJ,O,O,O,X
TISOZJL,O,O,O,X
TIZLJSO,O,O,X,O
TIZLJOS,X,X,X,O
TIZLSJO,O,O,O,O
TIZLSOJ,O,O,O,O
TIZLOJS,X,X,X,O
TIZLOSJ,X,X,X,O
TIZJLSO,O,O,X,O
TIZJLOS,X,X,X,O
TIZJSLO,O,O,O,O
TIZJSOL,O,O,X,O
TIZJOLS,O,O,X,O
TIZJOSL,O,O,X,X
TIZSLJO,O,O,O,O
TIZSLOJ,O,O,O,O
TIZSJLO,O,O,O,O
TIZSJOL,O,O,X,O
TIZSOLJ,O,O,O,O
TIZSOJL,O,O,O,O
TIZOLJS,O,O,X,O
TIZOLSJ,O,O,O,O
TIZOJLS,O,O,X,O
TIZOJSL,O,O,O,X
TIZOSLJ,O,O,O,O
TIZOSJL,O,O,O,O
TIOLJSZ,X,X,X,O
TIOLJZS,X,X,X,O
TIOLSJZ,O,O,O,O
TIOLSZJ,O,O,O,X
TIOLZJS,O,O,X,O
TIOLZSJ,O,O,O,O
TIOJLSZ,X,X,O,O
TIOJLZS,X,X,O,O
TIOJSLZ,O,O,O,X
TIOJSZL,O,O,O,X
TIOJZLS,O,O,O,X
TIOJZSL,O,O,O,X
TIOSLJZ,O,O,O,O
TIOSLZJ,O,O,O,X
TIOSJLZ,O,O,O,X
TIOSJZL,O,O,O,X
TIOSZLJ,O,O,O,X
TIOSZJL,O,O,O,X
TIOZLJS,O,O,X,O
TIOZLSJ,O,O,O,O
TIOZJLS,O,O,X,O
TIOZJSL,O,O,O,X
TIOZSLJ,O,O,O,O
TIOZSJL,O,O,O,O
TLIJSZO,X,X,X,X
TLIJSOZ,X,X,X,O
TLIJZSO,X,X,X,O
TLIJZOS,X,X,X,O
TLIJOSZ,X,X,X,O
TLIJOZS,X,X,X,O
TLISJZO,O,O,O,X
TLISJOZ,X,X,X,O
TLISZJO,O,O,O,X
TLISZOJ,O,O,O,X
TLISOJZ,X,X,X,O
TLISOZJ,O,O,O,X
TLIZJSO,O,O,X,O
TLIZJOS,X,X,X,O
TLIZSJO,O,O,O,O
TLIZSOJ,O,O,O,O
TLIZOJS,X,X,X,O
TLIZOSJ,X,X,X,O
TLIOJSZ,X,X,X,O
TLIOJZS,X,X,X,O
TLIOSJZ,X,X,X,O
TLIOSZJ,X,X,X,X
TLIOZJS,X,X,X,O
TLIOZSJ,X,X,X,O
TLJISZO,X,X,X,X
TLJISOZ,X,X,X,O
TLJIZSO,X,X,X,O
TLJIZOS,X,X,X,O
TLJIOSZ,X,X,X,O
TLJIOZS,X,X,X,O
TLJSIZO,X,X,X,X
TLJSIOZ,X,X,X,O
TLJSZIO,X,X,X,O
TLJSZOI,X,X,X,O
TLJSOIZ,X,X,X,O
TLJSOZI,X,X,X,O
TLJZISO,X,X,X,O
TLJZIOS,X,X,X,O
TLJZSIO,X,X,X,O
TLJZSOI,X,X,X,O
TLJZOIS,X,X,X,O
TLJZOSI,X,X,X,O
TLJOISZ,X,X,X,O
TLJOIZS,X,X,X,O
TLJOSIZ,X,X,X,O
TLJOSZI,X,X,X,O
TLJOZIS,X,X,X,O
TLJOZSI,X,X,X,O
TLSIJZO,O,O,O,X
TLSIJOZ,X,X,X,O
TLSIZJO,O,O,O,X
TLSIZOJ,O,O,O,X
TLSIOJZ,O,O,O,O
TLSIOZJ,O,O,O,X
TLSJIZO,O,O,O,X
TLSJIOZ,X,X,X,O
TLSJZIO,O,O,O,O
TLSJZOI,O,O,O,O
TLSJOIZ,O,O,O,O
TLSJOZI,O,O,O,O
TLSZIJO,O,O,O,O
TLSZIOJ,O,O,O,O
TLSZJIO,O,O,O,O
TLSZJOI,O,O,O,O
TLSZOIJ,O,O,O,O
TLSZOJI,O,O,O,O
TLSOIJZ,O,O,O,O
TLSOIZJ,O,O,O,X
TLSOJIZ,O,O,O,O
TLSOJZI,O,O,O,O
TLSOZIJ,O,O,O,O
TLSOZJI,O,O,O,O
TLZIJSO,O,O,X,O
TLZIJOS,X,X,X,O
TLZISJO,O,O,O,O
TLZISOJ,O,O,O,O
TLZIOJS,X,X,X,O
TLZIOSJ,X,X,X,O
TLZJISO,O,O,X,O
TLZJIOS,X,X,X,O
TLZJSIO,O,O,X,O
TLZJSOI,O,O,X,O
TLZJOIS,O,O,X,O
TLZJOSI,O,O,X,O
TLZSIJO,O,O,O,O
TLZSIOJ,O,O,O,O
TLZSJIO,O,O,O,O
TLZSJOI,O,O,O,O
TLZSOIJ,O,O,O,O
TLZSOJI,O,O,O,O
TLZOIJS,O,O,X,O
TLZOISJ,O,O,O,O
TLZOJIS,O,O,X,O
TLZOJSI,O,O,X,O
TLZOSIJ,O,O,O,O
TLZOSJI,O,O,O,O
TLOIJSZ,X,X,X,O
TLOIJZS,X,X,X,O
TLOISJZ,O,O,O,O
TLOISZJ,O,O,O,X
TLOIZJS,O,O,X,O
TLOIZSJ,O,O,O,O
TLOJISZ,X,X,O,O
TLOJIZS,X,X,O,O
TLOJSIZ,X,X,O,O
TLOJSZI,X,X,O,O
TLOJZIS,X,X,O,O
TLOJZSI,X,X,O,O
TLOSIJZ,O,O,O,O
TLOSIZJ,O,O,O,X
TLOSJIZ,O,O,O,O
TLOSJZI,O,O,O,O
TLOSZIJ,O,O,O,O
TLOSZJI,O,O,O,O
TLOZIJS,O,O,X,O
TLOZISJ,O,O,O,O
TLOZJIS,O,O,X,O
TLOZJSI,O,O,X,O
TLOZSIJ,O,O,O,O
TLOZSJI,O,O,O,O
TJILSZO,X,X,O,X
TJILSOZ,X,X,O,O
TJILZSO,X,X,O,O
TJILZOS,X,X,X,O
TJILOSZ,X,X,X,O
TJILOZS,X,X,X,O
TJISLZO,O,O,O,X
TJISLOZ,X,X,O,O
TJISZLO,O,O,O,X
TJISZOL,O,O,O,X
TJISOLZ,X,X,O,X
TJISOZL,X,X,O,X
TJIZLSO,O,O,O,O
TJIZLOS,X,X,X,O
TJIZSLO,O,O,O,O
TJIZSOL,O,O,O,O
TJIZOLS,X,X,O,O
TJIZOSL,O,O,O,X
TJIOLSZ,X,X,O,O
TJIOLZS,X,X,O,O
TJIOSLZ,X,X,O,X
TJIOSZL,X,X,O,X
TJIOZLS,X,X,O,X
TJIOZSL,X,X,O,X
TJLISZO,X,X,O,X
TJLISOZ,X,X,O,O
TJLIZSO,X,X,O,O
TJLIZOS,X,X,X,O
TJLIOSZ,X,X,X,O
TJLIOZS,X,X,X,O
TJLSIZO,X,X,O,X
TJLSIOZ,X,X,O,O
TJLSZIO,X,X,O,O
TJLSZOI,X,X,O,O
TJLSOIZ,X,X,O,O
TJLSOZI,X,X,O,O
TJLZISO,X,X,O,O
TJLZIOS,X,X,X,O
TJLZSIO,X,X,O,O
TJLZSOI,X,X,O,O
TJLZOIS,X,X,O,O
TJLZOSI,X,X,O,O
TJLOISZ,X,X,O,O
TJLOIZS,X,X,O,O
TJLOSIZ,X,X,O,O
TJLOSZI,X,X,O,O
TJLOZIS,X,X,O,O
TJLOZSI,X,X,O,O
TJSILZO,O,O,O,X
TJSILOZ,X,X,O,O
TJSIZLO,O,O,O,X
TJSIZOL,O,O,O,X
TJSIOLZ,X,X,O,X
TJSIOZL,X,X,O,X
TJSLIZO,O,O,O,X
TJSLIOZ,X,X,O,O
TJSLZIO,O,O,O,O
TJSLZOI,O,O,O,O
TJSLOIZ,O,O,O,O
TJSLOZI,O,O,O,O
TJSZILO,O,O,O,O
TJSZIOL,O,O,O,O
TJSZLIO,O,O,O,O
TJSZLOI,O,O,O,O
TJSZOIL,O,O,O,O
TJSZOLI,O,O,O,O
TJSOILZ,O,O,O,X
TJSOIZL,O,O,O,X
TJSOLIZ,O,O,O,X
TJSOLZI,O,O,O,X
TJSOZIL,O,O,O,X
TJSOZLI,O,O,O,X
TJZILSO,O,O,O,O
TJZILOS,X,X,X,O
TJZISLO,O,O,O,O
TJZISOL,O,O,O,O
TJZIOLS,O,O,O,O
TJZIOSL,O,O,O,X
TJZLISO,O,O,O,O
TJZLIOS,X,X,X,O
TJZLSIO,O,O,O,O
TJZLSOI,O,O,O,O
TJZLOIS,O,O,O,O
TJZLOSI,O,O,O,O
TJZSILO,O,O,O,O
TJZSIOL,O,O,O,O
TJZSLIO,O,O,O,O
TJZSLOI,O,O,O,O
TJZSOIL,O,O,O,O
TJZSOLI,O,O,O,O
TJZOILS,O,O,O,O
TJZOISL,O,O,O,X
TJZOLIS,O,O,O,O
TJZOLSI,O,O,O,O
TJZOSIL,O,O,O,O
TJZOSLI,O,O,O,O
TJOILSZ,X,X,O,O
TJOILZS,X,X,O,O
TJOISLZ,O,O,O,X
TJOISZL,O,O,O,X
TJOIZLS,O,O,O,X
TJOIZSL,O,O,O,X
TJOLISZ,X,X,O,O
TJOLIZS,X,X,O,O
TJOLSIZ,X,X,O,O
TJOLSZI,X,X,O,O
TJOLZIS,X,X,O,O
TJOLZSI,X,X,O,O
TJOSILZ,O,O,O,X
TJOSIZL,O,O,O,X
TJOSLIZ,O,O,O,X
TJOSLZI,O,O,O,X
TJOSZIL,O,O,O,X
TJOSZLI,O,O,O,X
TJOZILS,O,O,O,O
TJOZISL,O,O,O,X
TJOZLIS,O,O,O,O
TJOZLSI,O,O,O,O
TJOZSIL,O,O,O,O
TJOZSLI,O,O,O,O
TSILJZO,O,O,O,X
TSILJOZ,X,X,O,O
TSILZJO,O,O,O,X
TSILZOJ,O,O,O,X
TSILOJZ,O,O,O,O
TSILOZJ,O,O,O,X
TSIJLZO,O,O,O,X
TSIJLOZ,X,X,O,O
TSIJZLO,O,O,O,X
TSIJZOL,O,O,O,X
TSIJOLZ,X,X,O,X
TSIJOZL,X,X,O,X
TSIZLJO,O,O,O,X
TSIZLOJ,O,O,O,X
TSIZJLO,O,O,O,X
TSIZJOL,O,O,X,X
TSIZOLJ,O,O,O,X
TSIZOJL,O,O,O,X
TSIOLJZ,O,O,O,O
TSIOLZJ,O,O,O,X
TSIOJLZ,O,O,O,X
TSIOJZL,O,O,O,X
TSIOZLJ,O,O,O,X
TSIOZJL,O,O,O,X
TSLIJZO,O,O,O,X
TSLIJOZ,X,X,O,O
TSLIZJO,O,O,O,X
TSLIZOJ,O,O,O,X
TSLIOJZ,O,O,O,O
TSLIOZJ,O,O,O,X
TSLJIZO,O,O,O,X
TSLJIOZ,X,X,O,O
TSLJZIO,O,O,O,O
TSLJZOI,O,O,O,O
TSLJOIZ,O,O,O,O
TSLJOZI,O,O,O,O
TSLZIJO,O,O,O,O
TSLZIOJ,O,O,O,O
TSLZJIO,O,O,O,O
TSLZJOI,O,O,O,O
TSLZOIJ,O,O,O,O
TSLZOJI,O,O,O,O
TSLOIJZ,O,O,O,O
TSLOIZJ,O,O,O,X
TSLOJIZ,O,O,O,O
TSLOJZI,O,O,O,O
TSLOZIJ,O,O,O,O
TSLOZJI,O,O,O,O
TSJILZO,O,O,O,X
TSJILOZ,X,X,O,O
TSJIZLO,O,O,O,X
TSJIZOL,O,O,O,X
TSJIOLZ,X,X,O,X
TSJIOZL,X,X,O,X
TSJLIZO,O,O,O,X
TSJLIOZ,X,X,O,O
TSJLZIO,O,O,O,O
TSJLZOI,O,O,O,O
TSJLOIZ,O,O,O,O
TSJLOZI,O,O,O,O
TSJZILO,O,O,O,O
TSJZIOL,O,O,O,O
TSJZLIO,O,O,O,O
TSJZLOI,O,O,O,O
TSJZOIL,O,O,O,O
TSJZOLI,O,O,O,O
TSJOILZ,O,O,O,X
TSJOIZL,O,O,O,X
TSJOLIZ,O,O,O,X
TSJOLZI,O,O,O,X
TSJOZIL,O,O,O,X
TSJOZLI,O,O,O,X
TSZILJO,O,O,O,O
TSZILOJ,O,O,O,O
TSZIJLO,O,O,O,O
TSZIJOL,O,O,X,O
TSZIOLJ,O,O,O,O
TSZIOJL,O,O,O,O
TSZLIJO,O,O,O,O
TSZLIOJ,O,O,O,O
TSZLJIO,O,O,O,O
TSZLJOI,O,O,O,O
TSZLOIJ,O,O,O,O
TSZLOJI,O,O,O,O
TSZJILO,O,O,O,O
TSZJIOL,O,O,X,O
TSZJLIO,O,O,O,O
TSZJLOI,O,O,O,O
TSZJOIL,O,O,O,O
TSZJOLI,O,O,O,O
TSZOILJ,O,O,O,O
TSZOIJL,O,O,O,O
TSZOLIJ,O,O,O,O
TSZOLJI,O,O,O,O
TSZOJIL,O,O,O,O
TSZOJLI,O,O,O,O
TSOILJZ,O,O,O,O
TSOILZJ,O,O,O,X
TSOIJLZ,O,O,O,X
TSOIJZL,O,O,O,X
TSOIZLJ,O,O,O,X
TSOIZJL,O,O,O,X
TSOLIJZ,O,O,O,O
TSOLIZJ,O,O,O,X
TSOLJIZ,O,O,O,O
TSOLJZI,O,O,O,O
TSOLZIJ,O,O,O,O
TSOLZJI,O,O,O,O
TSOJILZ,O,O,O,X
TSOJIZL,O,O,O,X
TSOJLIZ,O,O,O,X
TSOJLZI,O,O,O,X
TSOJZIL,O,O,O,X
TSOJZLI,O,O,O,X
TSOZILJ,O,O,O,O
TSOZIJL,O,O,O,O
TSOZLIJ,O,O,O,O
TSOZLJI,O,O,O,O
TSOZJIL,O,O,O,O
TSOZJLI,O,O,O,O
TZILJSO,O,O,X,O
TZILJOS,X,X,X,O
TZILSJO,O,O,O,O
TZILSOJ,O,O,O,O
TZILOJS,X,X,X,O
TZILOSJ,X,X,X,O
