sequence,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBGjBinB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeOEJvhFNlBRhB3iBcoBqp?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFUgBRhBGjBinBzp?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhB3iBcoB9pBOq?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBSoB2sB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhBcnBTjB9pBOq?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBOsBXoB0p?BCtB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBWoBKsBXo?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNFJvhFRhBGjBTkBinB3s?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFRhBunBcoBXlBKs?BzpB,v115@LhB8GeC8CeB8BeC8BeB8JeUAJvhFRhBTjBmpBisB/p?B9sB
TILJSZO,X,O,X,X,O,X,O,O,X,O,O
TILJSOZ,X,O,X,X,X,X,X,X,X,X,O
TILJZSO,X,O,O,O,O,X,O,O,X,O,O
TILJZOS,O,O,X,X,O,X,O,O,X,O,O
TILJOSZ,X,O,X,X,X,X,X,X,X,X,O
TILJOZS,X,O,X,O,O,X,X,O,X,X,O
TILSJZO,O,O,O,X,X,X,X,O,O,O,X
TILSJOZ,O,O,O,X,X,X,X,X,O,X,X
TILSZJO,O,O,O,O,X,O,X,O,O,O,X
TILSZOJ,O,O,O,O,X,O,X,O,O,O,X
TILSOJZ,O,O,O,X,X,X,X,X,O,X,X
TILSOZJ,O,O,O,O,X,O,X,X,O,O,X
TILZJSO,X,O,O,O,O,X,O,O,X,O,X
TILZJOS,O,O,X,X,O,X,O,O,X,O,X
TILZSJO,O,O,O,O,X,X,X,O,X,O,X
TILZSOJ,O,O,O,O,X,X,X,O,X,O,X
TILZOJS,O,O,X,O,O,X,O,O,X,O,X
TILZOSJ,O,O,X,O,X,X,X,O,X,O,X
TILOJSZ,X,O,X,X,X,X,X,X,X,X,X
