sequence,v115@GhA8GeC8BeA8EeB8AeB8DeC8Jei/IvhF3gBRiBcpBT?mBNsBWwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhFxgBiiBNpBG?mBzqBXsB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFukB9mBiiB0?lBXsBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFtkB0gBmhBq?rB3nBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhF6lBmhBNpBT?mB3nBRwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je9FJvhFOmB8mBTkB3?nBipBRwB
TILJSZO,O,X,O,O,X,X
TILJSOZ,X,X,O,X,X,X
TILJZSO,O,X,O,O,X,X
TILJZOS,O,X,X,O,O,O
TILJOSZ,X,X,X,O,O,X
TILJOZS,X,X,X,O,O,O
TILSJZO,X,O,O,O,X,X
TILSJOZ,X,O,O,X,X,X
TILSZJO,O,O,O,O,X,X
TILSZOJ,O,O,O,X,O,X
TILSOJZ,X,O,O,O,O,X
TILSOZJ,X,O,O,O,O,X
TILZJSO,O,O,O,O,X,X
TILZJOS,O,O,X,O,O,O
TILZSJO,O,O,O,O,X,X
TILZSOJ,O,O,O,X,O,X
TILZOJS,O,O,X,O,O,O
TILZOSJ,O,O,X,O,O,X
TILOJSZ,X,O,X,O,O,X
TILOJZS,X,O,X,O,O,O
TILOSJZ,X,X,X,O,O,X
TILOSZJ,X,X,X,O,O,X
TILOZJS,X,O,X,O,O,O
TILOZSJ,X,O,X,O,O,X
TIJLSZO,O,X,O,O,X,X
TIJLSOZ,X,X,O,X,X,X
TIJLZSO,O,X,O,O,X,X
TIJLZOS,O,X,X,O,O,O
TIJLOSZ,X,X,X,O,O,X
TIJLOZS,X,X,X,O,O,O
TIJSLZO,O,X,O,X,X,X
TIJSLOZ,X,X,O,X,X,X
TIJSZLO,O,X,O,X,X,X
TIJSZOL,O,X,O,X,X,O
TIJSOLZ,X,X,O,X,X,X
TIJSOZL,O,X,O,X,X,O
TIJZLSO,O,X,O,O,X,X
TIJZLOS,O,X,X,O,O,O
TIJZSLO,O,X,O,X,X,X
TIJZSOL,O,X,O,X,X,O
TIJZOLS,O,X,X,O,O,O
TIJZOSL,O,X,X,X,O,O
TIJOLSZ,O,X,X,O,O,X
TIJOLZS,O,X,X,O,O,O
TIJOSLZ,O,X,X,X,O,X
TIJOSZL,O,X,X,X,O,O
TIJOZLS,O,X,X,O,O,O
TIJOZSL,O,X,X,X,O,O
TISLJZO,X,O,O,O,X,X
TISLJOZ,X,O,O,X,X,X
TISLZJO,O,O,O,O,X,X
TISLZOJ,O,O,O,X,O,X
TISLOJZ,X,O,O,O,O,X
TISLOZJ,X,O,O,O,O,X
TISJLZO,O,O,O,X,X,X
TISJLOZ,X,O,O,X,X,X
TISJZLO,O,O,O,X,X,X
TISJZOL,O,O,O,X,X,O
TISJOLZ,X,O,O,X,X,X
TISJOZL,O,O,O,X,X,O
TISZLJO,O,O,O,O,X,X
TISZLOJ,O,O,O,X,O,X
TISZJLO,O,O,O,X,X,X
TISZJOL,O,O,O,X,X,O
TISZOLJ,O,O,O,O,O,X
TISZOJL,X,O,O,X,O,O
TISOLJZ,X,O,O,O,O,X
TISOLZJ,X,O,O,O,O,X
TISOJLZ,X,O,O,X,O,X
TISOJZL,X,O,O,X,O,O
TISOZLJ,O,O,O,O,O,X
TISOZJL,X,O,O,X,O,O
TIZLJSO,O,O,O,O,X,X
TIZLJOS,O,O,X,O,O,O
TIZLSJO,O,O,O,O,X,X
TIZLSOJ,O,O,O,X,O,X
TIZLOJS,O,O,X,O,O,O
TIZLOSJ,O,O,X,O,O,X
TIZJLSO,O,O,O,O,X,X
TIZJLOS,O,O,X,O,O,O
TIZJSLO,O,X,O,X,X,X
TIZJSOL,O,X,O,X,X,O
TIZJOLS,O,X,X,O,O,O
TIZJOSL,O,X,X,X,O,O
TIZSLJO,O,O,O,O,X,X
TIZSLOJ,O,O,O,X,O,X
TIZSJLO,O,O,O,X,X,X
TIZSJOL,O,O,O,X,X,O
TIZSOLJ,O,O,O,O,O,X
TIZSOJL,X,O,O,X,O,O
TIZOLJS,O,O,X,O,O,O
TIZOLSJ,O,O,X,O,O,X
TIZOJLS,O,O,X,O,O,O
TIZOJSL,O,O,X,X,O,O
TIZOSLJ,O,O,X,O,O,X
TIZOSJL,X,O,X,X,O,O
TIOLJSZ,X,O,X,O,O,X
TIOLJZS,X,O,X,O,O,O
TIOLSJZ,X,X,X,O,O,X
TIOLSZJ,X,X,X,O,O,X
TIOLZJS,X,O,X,O,O,O
