sequence,v115@GhA8IeA8CeA8CeA8AeB8BeE8AeA8JeT/IvhFOlBdmB?CiBZoBXnB0pB,v115@GhA8IeA8CeA8CeA8AeB8BeE8AeA8Je0/IvhFdmBqmB?TiBZoB2pBXqB,v115@GhA8IeA8CeA8CeA8AeB8BeE8AeA8JeT/IvhFNlBamB?WnBZoBXnB0pB,v115@GhA8IeA8CeA8CeA8AeB8BeE8AeA8JeNEJvhFUgBamB?WnBZoBXnBzpB,v115@GhA8IeA8CeA8CeA8AeB8BeE8AeA8Je0/IvhFdmBRiB?/pBzmBatBOqB
TILJSZO,X,X,X,X,X
TILJSOZ,X,X,X,X,X
TILJZSO,X,X,X,O,X
TILJZOS,X,O,O,X,X
TILJOSZ,X,X,X,X,X
TILJOZS,X,O,X,X,X
TILSJZO,X,X,X,X,X
TILSJOZ,X,X,X,X,X
TILSZJO,X,X,X,X,X
TILSZOJ,X,X,X,X,X
TILSOJZ,X,X,X,X,X
TILSOZJ,X,X,X,X,X
TILZJSO,X,X,X,O,X
TILZJOS,X,X,O,X,X
TILZSJO,X,X,X,X,X
TILZSOJ,X,X,X,X,X
TILZOJS,X,X,O,X,X
TILZOSJ,X,X,X,X,X
TILOJSZ,X,X,X,X,X
TILOJZS,X,O,X,X,X
TILOSJZ,X,X,X,X,X
TILOSZJ,X,X,X,X,X
TILOZJS,X,X,X,X,X
TILOZSJ,X,X,X,X,X
TIJLSZO,X,X,X,X,X
TIJLSOZ,X,X,X,X,X
TIJLZSO,X,X,X,O,X
TIJLZOS,X,O,O,X,X
TIJLOSZ,X,X,X,X,X
TIJLOZS,X,O,X,X,X
TIJSLZO,O,X,X,X,X
TIJSLOZ,X,X,X,X,X
TIJSZLO,O,X,X,X,X
TIJSZOL,O,X,X,X,X
TIJSOLZ,X,X,X,X,X
TIJSOZL,X,X,X,X,X
TIJZLSO,X,X,X,O,X
TIJZLOS,X,O,O,X,X
TIJZSLO,O,X,X,X,X
TIJZSOL,O,X,X,X,X
TIJZOLS,X,X,O,X,X
TIJZOSL,O,X,X,X,X
TIJOLSZ,X,X,X,X,X
TIJOLZS,X,X,X,X,X
TIJOSLZ,X,X,X,X,X
TIJOSZL,X,X,X,X,X
TIJOZLS,X,X,X,X,X
TIJOZSL,X,X,X,X,X
TISLJZO,O,X,X,X,X
TISLJOZ,X,X,X,X,X
TISLZJO,O,X,X,X,X
TISLZOJ,O,X,X,X,X
TISLOJZ,X,X,X,X,X
TISLOZJ,X,X,X,X,X
TISJLZO,O,X,X,X,X
TISJLOZ,X,X,X,X,X
TISJZLO,O,X,X,X,X
TISJZOL,O,X,X,X,X
TISJOLZ,X,X,X,X,X
TISJOZL,X,X,X,X,X
TISZLJO,O,X,X,X,X
TISZLOJ,O,X,X,X,X
TISZJLO,O,X,X,X,X
TISZJOL,O,X,X,X,X
TISZOLJ,O,X,X,X,X
TISZOJL,O,X,X,X,X
TISOLJZ,X,X,X,X,X
TISOLZJ,X,X,X,X,X
TISOJLZ,X,X,X,X,X
TISOJZL,X,X,X,X,X
TISOZLJ,X,X,X,X,X
TISOZJL,X,X,X,X,X
TIZLJSO,X,X,X,O,X
TIZLJOS,X,X,O,X,X
TIZLSJO,X,X,X,X,X
TIZLSOJ,X,X,X,X,X
TIZLOJS,X,X,O,X,X
TIZLOSJ,X,X,X,X,X
TIZJLSO,X,X,X,O,X
TIZJLOS,X,X,O,X,X
TIZJSLO,O,X,X,X,X
TIZJSOL,O,X,X,X,X
TIZJOLS,X,X,O,X,X
TIZJOSL,O,X,X,X,X
TIZSLJO,O,X,X,X,X
TIZSLOJ,O,X,X,X,X
TIZSJLO,O,X,X,X,X
TIZSJOL,O,X,X,X,X
TIZSOLJ,O,X,X,X,X
TIZSOJL,O,X,X,X,X
TIZOLJS,X,X,O,X,X
TIZOLSJ,X,X,X,X,X
TIZOJLS,X,X,O,X,X
TIZOJSL,O,X,X,X,X
TIZOSLJ,O,X,X,X,X
TIZOSJL,O,X,X,X,X
TIOLJSZ,X,X,X,X,X
TIOLJZS,X,X,X,X,X
TIOLSJZ,X,X,X,X,X
TIOLSZJ,X,X,X,X,X
TIOLZJS,X,X,X,X,X
TIOLZSJ,X,X,X,X,X
TIOJLSZ,X,X,X,X,X
TIOJLZS,X,X,X,X,X
TIOJSLZ,X,X,X,X,X
TIOJSZL,X,X,X,X,X
TIOJZLS,X,X,X,X,X
TIOJZSL,X,X,X,X,X
TIOSLJZ,X,X,X,X,X
TIOSLZJ,X,X,X,X,X
TIOSJLZ,X,X,X,X,X
TIOSJZL,X,X,X,X,X
TIOSZLJ,X,X,X,X,X
TIOSZJL,X,X,X,X,X
TIOZLJS,X,X,X,X,X
TIOZLSJ,X,X,X,X,X
TIOZJLS,X,X,X,X,X
TIOZJSL,X,X,X,X,X
TIOZSLJ,X,X,X,X,X
TIOZSJL,X,X,X,X,X
TLIJSZO,X,X,X,X,X
TLIJSOZ,X,X,X,X,X
TLIJZSO,X,X,X,O,X
TLIJZOS,X,O,O,X,X
TLIJOSZ,X,X,X,X,X
TLIJOZS,X,O,X,X,X
TLISJZO,X,X,X,X,X
TLISJOZ,X,X,X,X,X
TLISZJO,X,X,X,X,X
TLISZOJ,X,X,X,X,X
TLISOJZ,X,X,X,X,X
TLISOZJ,X,X,X,X,X
TLIZJSO,X,X,X,O,X
TLIZJOS,X,X,O,X,X
TLIZSJO,X,X,X,X,X
TLIZSOJ,X,X,X,X,X
TLIZOJS,X,X,O,X,X
TLIZOSJ,X,X,X,X,X
TLIOJSZ,X,X,X,X,X
TLIOJZS,X,O,X,X,X
TLIOSJZ,X,X,X,X,X
TLIOSZJ,X,X,X,X,X
TLIOZJS,X,X,X,X,X
TLIOZSJ,X,X,X,X,X
TLJISZO,X,X,X,X,X
TLJISOZ,X,X,X,X,X
TLJIZSO,X,X,X,O,X
TLJIZOS,X,O,O,X,X
TLJIOSZ,X,X,X,X,X
TLJIOZS,X,O,X,X,X
TLJSIZO,X,X,X,X,X
TLJSIOZ,X,X,X,X,X
TLJSZIO,X,X,X,X,X
TLJSZOI,X,X,X,X,X
TLJSOIZ,X,X,X,X,X
TLJSOZI,X,X,X,X,X
TLJZISO,X,X,X,O,X
TLJZIOS,X,O,O,X,X
TLJZSIO,X,X,X,X,X
TLJZSOI,X,X,X,X,X
TLJZOIS,X,O,O,X,X
TLJZOSI,X,X,X,X,X
TLJOISZ,X,X,X,X,X
TLJOIZS,X,O,X,X,X
TLJOSIZ,X,X,X,X,X
TLJOSZI,X,X,X,X,X
TLJOZIS,X,O,X,X,X
TLJOZSI,X,X,X,X,X
TLSIJZO,X,X,X,X,X
TLSIJOZ,X,X,X,X,X
TLSIZJO,X,X,X,X,X
TLSIZOJ,X,X,X,X,X
TLSIOJZ,X,X,X,X,X
TLSIOZJ,X,X,X,X,X
TLSJIZO,X,X,X,X,X
TLSJIOZ,X,X,X,X,X
TLSJZIO,X,X,X,X,X
TLSJZOI,X,X,X,X,X
TLSJOIZ,X,X,X,X,X
TLSJOZI,X,X,X,X,X
TLSZIJO,X,X,X,X,X
TLSZIOJ,X,X,X,X,X
TLSZJIO,X,X,X,X,X
TLSZJOI,X,X,X,X,X
TLSZOIJ,X,X,X,X,O
TLSZOJI,X,X,X,X,O
TLSOIJZ,X,X,X,X,X
TLSOIZJ,X,X,X,X,O
TLSOJIZ,X,X,X,X,X
TLSOJZI,X,X,X,X,X
TLSOZIJ,X,X,X,X,O
TLSOZJI,X,X,X,X,O
TLZIJSO,X,X,X,O,X
TLZIJOS,X,X,O,X,X
TLZISJO,X,X,X,X,X
TLZISOJ,X,X,X,X,X
TLZIOJS,X,X,O,X,X
TLZIOSJ,X,X,X,X,X
TLZJISO,X,X,X,O,X
TLZJIOS,X,X,O,X,X
TLZJSIO,X,X,X,X,X
TLZJSOI,X,X,X,X,X
TLZJOIS,X,X,O,X,X
TLZJOSI,X,X,X,X,X
TLZSIJO,X,X,X,X,X
TLZSIOJ,X,X,X,X,X
TLZSJIO,X,X,X,X,X
TLZSJOI,X,X,X,X,X
TLZSOIJ,X,X,X,X,X
TLZSOJI,X,X,X,X,X
TLZOIJS,X,X,O,X,X
TLZOISJ,X,X,X,X,X
TLZOJIS,X,X,O,X,X
TLZOJSI,X,X,X,X,X
TLZOSIJ,X,X,X,X,X
TLZOSJI,X,X,X,X,X
TLOIJSZ,X,X,X,X,X
TLOIJZS,X,O,X,X,X
TLOISJZ,X,X,X,X,X
TLOISZJ,X,X,X,X,O
TLOIZJS,X,X,X,X,X
TLOIZSJ,X,X,X,X,X
TLOJISZ,X,X,X,X,X
TLOJIZS,X,O,X,X,X
TLOJSIZ,X,X,X,X,X
TLOJSZI,X,X,X,X,X
TLOJZIS,X,O,X,X,X
TLOJZSI,X,X,X,X,X
TLOSIJZ,X,X,X,X,X
TLOSIZJ,X,X,X,X,O
TLOSJIZ,X,X,X,X,X
TLOSJZI,X,X,X,X,X
TLOSZIJ,X,X,X,X,O
TLOSZJI,X,X,X,X,O
TLOZIJS,X,X,X,X,X
TLOZISJ,X,X,X,X,X
TLOZJIS,X,X,X,X,X
TLOZJSI,X,X,X,X,X
TLOZSIJ,X,X,X,X,X
TLOZSJI,X,X,X,X,X
TJILSZO,X,X,X,X,X
TJILSOZ,X,X,X,X,X
TJILZSO,X,X,X,O,X
TJILZOS,X,O,O,X,X
TJILOSZ,X,X,X,X,X
TJILOZS,X,O,X,X,X
TJISLZO,O,X,X,X,X
TJISLOZ,X,X,X,X,X
TJISZLO,O,X,X,X,X
TJISZOL,O,X,X,X,X
