sequence,v115@OhC8GeC8CeA8AeE8Jei/IvhFzgBfnBxiBcpBeqBFrB,v115@OhC8GeC8CeA8AeE8JeOEJvhF8kBzgBfnBxnByuBFrB,v115@OhC8GeC8CeA8AeE8JeT/IvhF0hBxiBllBXlB2uBirB,v115@OhC8GeC8CeA8AeE8Jei/IvhFFhBxiBcpBzmBmqBXqB,v115@OhC8GeC8CeA8AeE8Jem/IvhFzgBfnBxiBipBFrB0pB,v115@OhC8GeC8CeA8AeE8JeyEJvhFzgBfnB0kBxnB2uBFrB,v115@OhC8GeC8CeA8AeE8JeOEJvhF8kBFhBxiBfrBzmByuB,v115@OhC8GeC8CeA8AeE8JezAJvhFfnBxiBmkB0pBFrBipB,v115@OhC8GeC8CeA8AeE8Je/EJvhFUgBxiByqBzmB2uBFrB,v115@OhC8GeC8CeA8AeE8JeFBJvhFxiBmkBfrBzmB0pBipB,v115@OhC8GeC8CeA8AeE8JefHJvhFxiBikBUmBFqBTpBmqB
TILJSZO,X,X,O,X,O,X,X,X,X,X,X
TILJSOZ,X,X,O,X,O,X,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,O,X,O,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,X,O,O,X,O,X,O,X,X,X,X
TILSJOZ,X,O,O,X,O,X,X,X,X,X,X
TILSZJO,X,O,O,X,O,X,O,X,X,X,X
TILSZOJ,X,O,X,X,O,X,O,X,X,X,X
TILSOJZ,X,O,X,X,O,X,X,X,X,X,X
TILSOZJ,X,O,X,X,O,X,O,X,X,X,X
TILZJSO,X,O,O,X,X,X,O,X,X,X,X
TILZJOS,X,O,O,X,X,X,O,X,X,X,X
TILZSJO,X,O,O,X,X,X,O,X,X,X,O
TILZSOJ,X,O,X,X,X,X,O,X,X,X,O
TILZOJS,X,O,O,X,X,X,O,X,X,X,X
TILZOSJ,X,O,X,X,X,X,O,X,X,X,X
TILOJSZ,X,X,O,X,O,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,O,X,O,X,X,X,X
TILOSZJ,X,O,X,X,O,X,O,X,X,X,X
TILOZJS,X,O,O,X,X,X,O,X,X,X,X
TILOZSJ,X,O,X,X,X,X,O,X,X,X,X
TIJLSZO,X,X,O,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,O,X,X,O,X,X,X,X,X
TIJLZSO,X,X,O,O,X,X,X,X,X,X,X
TIJLZOS,X,X,O,O,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,O,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,O,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,O,X,X,X,X,X
TIJSZLO,O,X,X,O,X,O,X,X,X,X,X
TIJSZOL,O,X,O,X,X,O,X,X,O,X,X
TIJSOLZ,O,X,X,X,X,O,X,X,O,X,X
TIJSOZL,O,X,O,X,X,O,X,X,O,X,X
TIJZLSO,O,X,X,O,X,X,X,X,X,X,X
TIJZLOS,O,X,O,O,X,X,X,X,X,X,X
TIJZSLO,O,X,X,O,X,X,X,X,X,X,X
TIJZSOL,O,X,O,X,X,X,X,X,X,X,X
TIJZOLS,O,X,O,O,X,X,X,X,X,X,X
TIJZOSL,O,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,O,X,X,O,X,X
TIJOLZS,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,O,X,X,O,X,X
TIJOSZL,O,X,O,X,X,O,X,X,O,X,X
TIJOZLS,O,X,O,O,X,X,X,X,X,X,X
TIJOZSL,O,X,O,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,X,O,O,O,X,X,X,X
TISLJOZ,O,O,X,X,O,O,X,X,X,X,X
TISLZJO,O,O,X,X,O,X,O,O,X,X,X
TISLZOJ,X,O,X,X,O,X,O,O,X,X,X
TISLOJZ,O,O,X,X,O,O,X,X,X,X,X
TISLOZJ,X,O,X,X,O,X,O,O,X,X,X
TISJLZO,O,O,X,X,O,O,O,X,X,X,X
TISJLOZ,O,O,X,X,O,O,X,X,X,X,X
TISJZLO,O,X,X,X,X,O,X,O,X,X,X
TISJZOL,O,X,O,X,X,O,X,O,X,X,X
