sequence,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF0hB6nBTjBOpBll?BXrB,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF6nBTjBOpB0lBlm?BXrB,v115@ShB8CeA8AeB8AeB8BeE8JeZEJvhFzfB3hBGjBqqBls?BUrB
TILJSZO,O,X,O
TILJSOZ,O,X,O
TILJZSO,O,O,O
TILJZOS,O,O,O
TILJOSZ,O,X,O
TILJOZS,O,O,O
TILSJZO,X,X,O
TILSJOZ,X,X,O
TILSZJO,X,X,O
TILSZOJ,O,X,O
TILSOJZ,X,X,O
TILSOZJ,O,X,O
TILZJSO,O,O,O
TILZJOS,O,O,O
TILZSJO,X,X,O
TILZSOJ,O,X,O
TILZOJS,O,O,O
TILZOSJ,O,X,O
TILOJSZ,O,X,O
TILOJZS,O,O,O
TILOSJZ,X,X,O
TILOSZJ,O,X,O
TILOZJS,O,O,O
TILOZSJ,O,X,O
TIJLSZO,O,X,O
TIJLSOZ,O,X,O
TIJLZSO,O,O,O
TIJLZOS,O,O,O
TIJLOSZ,O,X,O
TIJLOZS,O,O,O
TIJSLZO,O,X,O
TIJSLOZ,O,X,O
TIJSZLO,O,X,O
TIJSZOL,O,X,X
TIJSOLZ,O,X,O
TIJSOZL,O,X,X
TIJZLSO,O,O,O
TIJZLOS,O,O,O
TIJZSLO,O,O,O
TIJZSOL,O,O,X
TIJZOLS,O,O,O
TIJZOSL,O,O,X
TIJOLSZ,O,X,O
TIJOLZS,O,O,O
TIJOSLZ,O,X,O
TIJOSZL,O,X,X
TIJOZLS,O,O,O
TIJOZSL,O,O,X
TISLJZO,X,X,O
TISLJOZ,X,X,O
TISLZJO,X,X,O
TISLZOJ,O,X,O
TISLOJZ,X,X,O
TISLOZJ,O,X,O
TISJLZO,X,X,O
TISJLOZ,X,X,O
TISJZLO,X,X,O
TISJZOL,X,X,X
TISJOLZ,X,X,O
TISJOZL,X,X,X
TISZLJO,X,X,O
TISZLOJ,O,X,O
TISZJLO,X,X,O
TISZJOL,X,X,X
TISZOLJ,O,X,X
TISZOJL,X,X,X
TISOLJZ,X,X,O
TISOLZJ,O,X,O
TISOJLZ,X,X,O
TISOJZL,X,X,X
TISOZLJ,O,X,X
TISOZJL,X,X,X
